네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰6s"
"2017-08-01",34
"2017-08-02",32
"2017-08-03",31
"2017-08-04",29
"2017-08-05",30
"2017-08-06",29
"2017-08-07",35
"2017-08-08",35
"2017-08-09",37
"2017-08-10",32
"2017-08-11",30
"2017-08-12",30
"2017-08-13",31
"2017-08-14",35
"2017-08-15",38
"2017-08-16",34
"2017-08-17",31
"2017-08-18",32
"2017-08-19",42
"2017-08-20",45
"2017-08-21",33
"2017-08-22",33
"2017-08-23",43
"2017-08-24",50
"2017-08-25",37
"2017-08-26",45
"2017-08-27",44
"2017-08-28",32
"2017-08-29",39
"2017-08-30",43
"2017-08-31",36
"2017-09-01",35
"2017-09-02",43
"2017-09-03",41
"2017-09-04",35
"2017-09-05",33
"2017-09-06",32
"2017-09-07",36
"2017-09-08",34
"2017-09-09",39
"2017-09-10",43
"2017-09-11",48
"2017-09-12",47
"2017-09-13",62
"2017-09-14",45
"2017-09-15",47
"2017-09-16",49
"2017-09-17",51
"2017-09-18",49
"2017-09-19",46
"2017-09-20",50
"2017-09-21",39
"2017-09-22",39
"2017-09-23",44
"2017-09-24",48
"2017-09-25",62
"2017-09-26",73
"2017-09-27",69
"2017-09-28",60
"2017-09-29",56
"2017-09-30",72
"2017-10-01",100
"2017-10-02",74
"2017-10-03",76
"2017-10-04",74
"2017-10-05",90
"2017-10-06",87
"2017-10-07",85
"2017-10-08",79
"2017-10-09",96
"2017-10-10",87
"2017-10-11",78
"2017-10-12",66
"2017-10-13",58
"2017-10-14",56
"2017-10-15",56
"2017-10-16",62
"2017-10-17",61
"2017-10-18",55
"2017-10-19",50
"2017-10-20",51
"2017-10-21",62
"2017-10-22",63
"2017-10-23",51
"2017-10-24",47
"2017-10-25",44
"2017-10-26",39
"2017-10-27",46
"2017-10-28",44
"2017-10-29",39
"2017-10-30",39
"2017-10-31",31
"2017-11-01",38
"2017-11-02",34
"2017-11-03",35
"2017-11-04",38
"2017-11-05",35
"2017-11-06",37
"2017-11-07",32
"2017-11-08",30
"2017-11-09",29
"2017-11-10",32
"2017-11-11",36
"2017-11-12",37
"2017-11-13",31
"2017-11-14",23
"2017-11-15",20
"2017-11-16",71
"2017-11-17",75
"2017-11-18",65
"2017-11-19",74
"2017-11-20",61
"2017-11-21",47
"2017-11-22",44
"2017-11-23",44
"2017-11-24",52
"2017-11-25",46
"2017-11-26",43
"2017-11-27",38
"2017-11-28",34
"2017-11-29",31
"2017-11-30",25
"2017-12-01",28
"2017-12-02",33
"2017-12-03",34
"2017-12-04",42
"2017-12-05",33
"2017-12-06",37
"2017-12-07",35
"2017-12-08",35
"2017-12-09",38
"2017-12-10",44
"2017-12-11",35
"2017-12-12",33
"2017-12-13",29
"2017-12-14",31
"2017-12-15",28
"2017-12-16",35
"2017-12-17",31
"2017-12-18",32
"2017-12-19",31
"2017-12-20",29
"2017-12-21",27
"2017-12-22",25
"2017-12-23",26
"2017-12-24",26
"2017-12-25",26
"2017-12-26",24
"2017-12-27",21
"2017-12-28",19
"2017-12-29",16
"2017-12-30",22
"2017-12-31",22
"2018-01-01",31
"2018-01-02",37
"2018-01-03",31
"2018-01-04",29
"2018-01-05",36
"2018-01-06",41
"2018-01-07",41
"2018-01-08",48
"2018-01-09",44
"2018-01-10",43
"2018-01-11",42
"2018-01-12",43
"2018-01-13",44
"2018-01-14",38
"2018-01-15",40
"2018-01-16",41
"2018-01-17",37
"2018-01-18",36
"2018-01-19",36
"2018-01-20",31
"2018-01-21",36
"2018-01-22",36
"2018-01-23",44
"2018-01-24",46
"2018-01-25",34
"2018-01-26",29
"2018-01-27",35
"2018-01-28",35
"2018-01-29",33
"2018-01-30",34
"2018-01-31",28
"2018-02-01",30
"2018-02-02",26
"2018-02-03",31
"2018-02-04",27
"2018-02-05",31
"2018-02-06",25
"2018-02-07",25
"2018-02-08",28
"2018-02-09",22
"2018-02-10",25
"2018-02-11",28
"2018-02-12",26
"2018-02-13",27
"2018-02-14",25
"2018-02-15",28
"2018-02-16",33
"2018-02-17",37
"2018-02-18",43
"2018-02-19",39
"2018-02-20",35
"2018-02-21",31
"2018-02-22",33
"2018-02-23",29
"2018-02-24",33
"2018-02-25",35
"2018-02-26",44
"2018-02-27",36
"2018-02-28",36
"2018-03-01",37
"2018-03-02",32
"2018-03-03",35
"2018-03-04",38
"2018-03-05",30
"2018-03-06",27
"2018-03-07",29
"2018-03-08",28
"2018-03-09",33
"2018-03-10",39
"2018-03-11",41
"2018-03-12",36
"2018-03-13",34
"2018-03-14",37
"2018-03-15",36
"2018-03-16",33
"2018-03-17",45
"2018-03-18",44
"2018-03-19",37
"2018-03-20",38
"2018-03-21",37
"2018-03-22",35
"2018-03-23",33
"2018-03-24",43
"2018-03-25",42
"2018-03-26",38
"2018-03-27",33
"2018-03-28",30
"2018-03-29",28
"2018-03-30",30
"2018-03-31",32
"2018-04-01",33
"2018-04-02",29
"2018-04-03",29
"2018-04-04",32
"2018-04-05",32
"2018-04-06",29
"2018-04-07",32
"2018-04-08",36
"2018-04-09",30
"2018-04-10",32
"2018-04-11",29
"2018-04-12",32
"2018-04-13",31
"2018-04-14",40
"2018-04-15",36
"2018-04-16",35
"2018-04-17",34
"2018-04-18",28
"2018-04-19",27
