네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","김치냉장고"
"2017-08-01",18
"2017-08-02",17
"2017-08-03",18
"2017-08-04",17
"2017-08-05",19
"2017-08-06",25
"2017-08-07",23
"2017-08-08",21
"2017-08-09",19
"2017-08-10",18
"2017-08-11",17
"2017-08-12",18
"2017-08-13",22
"2017-08-14",21
"2017-08-15",22
"2017-08-16",23
"2017-08-17",20
"2017-08-18",17
"2017-08-19",21
"2017-08-20",23
"2017-08-21",21
"2017-08-22",19
"2017-08-23",19
"2017-08-24",19
"2017-08-25",18
"2017-08-26",19
"2017-08-27",21
"2017-08-28",17
"2017-08-29",20
"2017-08-30",18
"2017-08-31",17
"2017-09-01",18
"2017-09-02",20
"2017-09-03",24
"2017-09-04",21
"2017-09-05",20
"2017-09-06",19
"2017-09-07",17
"2017-09-08",16
"2017-09-09",19
"2017-09-10",25
"2017-09-11",21
"2017-09-12",18
"2017-09-13",19
"2017-09-14",16
"2017-09-15",15
"2017-09-16",21
"2017-09-17",22
"2017-09-18",21
"2017-09-19",20
"2017-09-20",20
"2017-09-21",17
"2017-09-22",16
"2017-09-23",17
"2017-09-24",24
"2017-09-25",27
"2017-09-26",25
"2017-09-27",25
"2017-09-28",22
"2017-09-29",19
"2017-09-30",27
"2017-10-01",33
"2017-10-02",30
"2017-10-03",30
"2017-10-04",39
"2017-10-05",45
"2017-10-06",46
"2017-10-07",43
"2017-10-08",45
"2017-10-09",48
"2017-10-10",41
"2017-10-11",33
"2017-10-12",32
"2017-10-13",28
"2017-10-14",33
"2017-10-15",40
"2017-10-16",36
"2017-10-17",33
"2017-10-18",31
"2017-10-19",28
"2017-10-20",29
"2017-10-21",33
"2017-10-22",41
"2017-10-23",40
"2017-10-24",37
"2017-10-25",34
"2017-10-26",33
"2017-10-27",30
"2017-10-28",36
"2017-10-29",48
"2017-10-30",43
"2017-10-31",34
"2017-11-01",43
"2017-11-02",39
"2017-11-03",43
"2017-11-04",49
"2017-11-05",64
"2017-11-06",59
"2017-11-07",58
"2017-11-08",52
"2017-11-09",53
"2017-11-10",53
"2017-11-11",61
"2017-11-12",87
"2017-11-13",76
"2017-11-14",66
"2017-11-15",57
"2017-11-16",59
"2017-11-17",54
"2017-11-18",72
"2017-11-19",100
"2017-11-20",81
"2017-11-21",68
"2017-11-22",65
"2017-11-23",58
"2017-11-24",52
"2017-11-25",68
"2017-11-26",92
"2017-11-27",76
"2017-11-28",65
"2017-11-29",54
"2017-11-30",51
"2017-12-01",43
"2017-12-02",53
"2017-12-03",71
"2017-12-04",53
"2017-12-05",44
"2017-12-06",38
"2017-12-07",37
"2017-12-08",33
"2017-12-09",45
"2017-12-10",51
"2017-12-11",38
"2017-12-12",33
"2017-12-13",29
"2017-12-14",28
"2017-12-15",22
"2017-12-16",28
"2017-12-17",37
"2017-12-18",29
"2017-12-19",25
"2017-12-20",22
"2017-12-21",21
"2017-12-22",20
"2017-12-23",27
"2017-12-24",27
"2017-12-25",34
"2017-12-26",28
"2017-12-27",23
"2017-12-28",22
"2017-12-29",22
"2017-12-30",24
"2017-12-31",27
"2018-01-01",31
"2018-01-02",27
"2018-01-03",23
"2018-01-04",23
"2018-01-05",20
"2018-01-06",23
"2018-01-07",32
"2018-01-08",24
"2018-01-09",19
"2018-01-10",19
"2018-01-11",20
"2018-01-12",18
"2018-01-13",20
"2018-01-14",26
"2018-01-15",21
"2018-01-16",25
"2018-01-17",24
"2018-01-18",22
"2018-01-19",19
"2018-01-20",27
"2018-01-21",32
"2018-01-22",26
"2018-01-23",24
"2018-01-24",19
"2018-01-25",19
"2018-01-26",19
"2018-01-27",24
"2018-01-28",32
"2018-01-29",27
"2018-01-30",23
"2018-01-31",27
"2018-02-01",21
"2018-02-02",19
"2018-02-03",24
"2018-02-04",28
"2018-02-05",23
"2018-02-06",22
"2018-02-07",20
"2018-02-08",21
"2018-02-09",16
"2018-02-10",20
"2018-02-11",24
"2018-02-12",22
"2018-02-13",16
"2018-02-14",18
"2018-02-15",23
"2018-02-16",30
"2018-02-17",40
"2018-02-18",44
"2018-02-19",35
"2018-02-20",24
"2018-02-21",21
"2018-02-22",20
"2018-02-23",18
"2018-02-24",24
"2018-02-25",25
"2018-02-26",24
"2018-02-27",21
"2018-02-28",21
"2018-03-01",24
"2018-03-02",20
"2018-03-03",23
"2018-03-04",30
"2018-03-05",24
"2018-03-06",20
"2018-03-07",16
"2018-03-08",19
"2018-03-09",18
"2018-03-10",22
"2018-03-11",26
"2018-03-12",20
"2018-03-13",18
"2018-03-14",19
"2018-03-15",17
"2018-03-16",20
"2018-03-17",19
"2018-03-18",27
"2018-03-19",24
"2018-03-20",19
"2018-03-21",21
"2018-03-22",19
"2018-03-23",16
"2018-03-24",21
"2018-03-25",28
"2018-03-26",24
"2018-03-27",21
"2018-03-28",19
"2018-03-29",20
"2018-03-30",20
"2018-03-31",21
"2018-04-01",30
"2018-04-02",23
"2018-04-03",22
"2018-04-04",23
"2018-04-05",20
"2018-04-06",20
"2018-04-07",21
"2018-04-08",27
"2018-04-09",23
"2018-04-10",20
"2018-04-11",21
"2018-04-12",18
"2018-04-13",16
"2018-04-14",22
"2018-04-15",28
"2018-04-16",20
"2018-04-17",18
"2018-04-18",20
"2018-04-19",20
