네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","노트북"
"2017-08-01",39
"2017-08-02",35
"2017-08-03",35
"2017-08-04",34
"2017-08-05",33
"2017-08-06",41
"2017-08-07",39
"2017-08-08",39
"2017-08-09",39
"2017-08-10",36
"2017-08-11",34
"2017-08-12",35
"2017-08-13",38
"2017-08-14",38
"2017-08-15",50
"2017-08-16",45
"2017-08-17",43
"2017-08-18",42
"2017-08-19",38
"2017-08-20",44
"2017-08-21",45
"2017-08-22",42
"2017-08-23",42
"2017-08-24",40
"2017-08-25",39
"2017-08-26",39
"2017-08-27",45
"2017-08-28",40
"2017-08-29",42
"2017-08-30",42
"2017-08-31",40
"2017-09-01",38
"2017-09-02",41
"2017-09-03",44
"2017-09-04",40
"2017-09-05",39
"2017-09-06",39
"2017-09-07",38
"2017-09-08",32
"2017-09-09",37
"2017-09-10",44
"2017-09-11",41
"2017-09-12",39
"2017-09-13",40
"2017-09-14",33
"2017-09-15",32
"2017-09-16",34
"2017-09-17",42
"2017-09-18",37
"2017-09-19",39
"2017-09-20",35
"2017-09-21",33
"2017-09-22",29
"2017-09-23",29
"2017-09-24",34
"2017-09-25",39
"2017-09-26",41
"2017-09-27",42
"2017-09-28",37
"2017-09-29",33
"2017-09-30",34
"2017-10-01",39
"2017-10-02",36
"2017-10-03",33
"2017-10-04",35
"2017-10-05",38
"2017-10-06",41
"2017-10-07",41
"2017-10-08",41
"2017-10-09",50
"2017-10-10",48
"2017-10-11",48
"2017-10-12",47
"2017-10-13",37
"2017-10-14",39
"2017-10-15",44
"2017-10-16",47
"2017-10-17",45
"2017-10-18",40
"2017-10-19",40
"2017-10-20",37
"2017-10-21",40
"2017-10-22",48
"2017-10-23",47
"2017-10-24",48
"2017-10-25",44
"2017-10-26",40
"2017-10-27",38
"2017-10-28",39
"2017-10-29",44
"2017-10-30",40
"2017-10-31",43
"2017-11-01",48
"2017-11-02",50
"2017-11-03",43
"2017-11-04",50
"2017-11-05",53
"2017-11-06",47
"2017-11-07",49
"2017-11-08",47
"2017-11-09",42
"2017-11-10",39
"2017-11-11",49
"2017-11-12",51
"2017-11-13",47
"2017-11-14",47
"2017-11-15",43
"2017-11-16",41
"2017-11-17",37
"2017-11-18",44
"2017-11-19",50
"2017-11-20",46
"2017-11-21",47
"2017-11-22",45
"2017-11-23",40
"2017-11-24",40
"2017-11-25",46
"2017-11-26",53
"2017-11-27",50
"2017-11-28",49
"2017-11-29",53
"2017-11-30",46
"2017-12-01",49
"2017-12-02",55
"2017-12-03",61
"2017-12-04",57
"2017-12-05",57
"2017-12-06",56
"2017-12-07",52
"2017-12-08",50
"2017-12-09",60
"2017-12-10",65
"2017-12-11",60
"2017-12-12",53
"2017-12-13",60
"2017-12-14",56
"2017-12-15",52
"2017-12-16",56
"2017-12-17",73
"2017-12-18",65
"2017-12-19",57
"2017-12-20",62
"2017-12-21",58
"2017-12-22",51
"2017-12-23",64
"2017-12-24",71
"2017-12-25",76
"2017-12-26",75
"2017-12-27",68
"2017-12-28",69
"2017-12-29",64
"2017-12-30",73
"2017-12-31",77
"2018-01-01",87
"2018-01-02",86
"2018-01-03",84
"2018-01-04",79
"2018-01-05",74
"2018-01-06",78
"2018-01-07",86
"2018-01-08",85
"2018-01-09",79
"2018-01-10",73
"2018-01-11",74
"2018-01-12",62
"2018-01-13",71
"2018-01-14",85
"2018-01-15",77
"2018-01-16",76
"2018-01-17",76
"2018-01-18",76
"2018-01-19",66
"2018-01-20",75
"2018-01-21",88
"2018-01-22",84
"2018-01-23",81
"2018-01-24",75
"2018-01-25",74
"2018-01-26",67
"2018-01-27",73
"2018-01-28",85
"2018-01-29",75
"2018-01-30",68
"2018-01-31",68
"2018-02-01",64
"2018-02-02",59
"2018-02-03",71
"2018-02-04",83
"2018-02-05",72
"2018-02-06",66
"2018-02-07",63
"2018-02-08",64
"2018-02-09",54
"2018-02-10",60
"2018-02-11",69
"2018-02-12",64
"2018-02-13",59
"2018-02-14",54
"2018-02-15",62
"2018-02-16",82
"2018-02-17",86
"2018-02-18",100
"2018-02-19",96
"2018-02-20",79
"2018-02-21",78
"2018-02-22",75
"2018-02-23",63
"2018-02-24",72
"2018-02-25",85
"2018-02-26",74
"2018-02-27",80
"2018-02-28",75
"2018-03-01",87
"2018-03-02",72
"2018-03-03",70
"2018-03-04",80
"2018-03-05",73
"2018-03-06",70
"2018-03-07",69
"2018-03-08",65
"2018-03-09",57
"2018-03-10",70
"2018-03-11",78
"2018-03-12",70
"2018-03-13",64
"2018-03-14",59
"2018-03-15",57
"2018-03-16",52
"2018-03-17",61
"2018-03-18",72
"2018-03-19",65
"2018-03-20",59
"2018-03-21",58
"2018-03-22",57
"2018-03-23",50
"2018-03-24",56
"2018-03-25",64
"2018-03-26",60
"2018-03-27",52
"2018-03-28",48
"2018-03-29",47
"2018-03-30",44
"2018-03-31",47
"2018-04-01",55
"2018-04-02",50
"2018-04-03",51
"2018-04-04",52
"2018-04-05",51
"2018-04-06",48
"2018-04-07",54
"2018-04-08",65
"2018-04-09",53
"2018-04-10",50
"2018-04-11",50
"2018-04-12",46
"2018-04-13",44
"2018-04-14",50
"2018-04-15",55
"2018-04-16",49
"2018-04-17",49
"2018-04-18",46
"2018-04-19",47
