네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","건조기"
"2017-08-01",18
"2017-08-02",15
"2017-08-03",16
"2017-08-04",15
"2017-08-05",18
"2017-08-06",21
"2017-08-07",18
"2017-08-08",15
"2017-08-09",14
"2017-08-10",15
"2017-08-11",13
"2017-08-12",16
"2017-08-13",17
"2017-08-14",16
"2017-08-15",24
"2017-08-16",19
"2017-08-17",17
"2017-08-18",16
"2017-08-19",20
"2017-08-20",27
"2017-08-21",25
"2017-08-22",26
"2017-08-23",25
"2017-08-24",24
"2017-08-25",17
"2017-08-26",17
"2017-08-27",20
"2017-08-28",16
"2017-08-29",14
"2017-08-30",15
"2017-08-31",13
"2017-09-01",14
"2017-09-02",20
"2017-09-03",21
"2017-09-04",16
"2017-09-05",13
"2017-09-06",16
"2017-09-07",14
"2017-09-08",12
"2017-09-09",16
"2017-09-10",22
"2017-09-11",22
"2017-09-12",16
"2017-09-13",14
"2017-09-14",11
"2017-09-15",12
"2017-09-16",15
"2017-09-17",20
"2017-09-18",16
"2017-09-19",15
"2017-09-20",12
"2017-09-21",14
"2017-09-22",11
"2017-09-23",11
"2017-09-24",20
"2017-09-25",21
"2017-09-26",22
"2017-09-27",16
"2017-09-28",18
"2017-09-29",14
"2017-09-30",16
"2017-10-01",29
"2017-10-02",22
"2017-10-03",21
"2017-10-04",23
"2017-10-05",33
"2017-10-06",41
"2017-10-07",41
"2017-10-08",46
"2017-10-09",47
"2017-10-10",37
"2017-10-11",41
"2017-10-12",35
"2017-10-13",29
"2017-10-14",32
"2017-10-15",37
"2017-10-16",38
"2017-10-17",33
"2017-10-18",31
"2017-10-19",26
"2017-10-20",27
"2017-10-21",29
"2017-10-22",34
"2017-10-23",35
"2017-10-24",27
"2017-10-25",31
"2017-10-26",33
"2017-10-27",28
"2017-10-28",29
"2017-10-29",45
"2017-10-30",36
"2017-10-31",27
"2017-11-01",36
"2017-11-02",37
"2017-11-03",36
"2017-11-04",50
"2017-11-05",53
"2017-11-06",47
"2017-11-07",42
"2017-11-08",46
"2017-11-09",38
"2017-11-10",35
"2017-11-11",44
"2017-11-12",52
"2017-11-13",48
"2017-11-14",46
"2017-11-15",37
"2017-11-16",36
"2017-11-17",29
"2017-11-18",39
"2017-11-19",49
"2017-11-20",38
"2017-11-21",36
"2017-11-22",38
"2017-11-23",33
"2017-11-24",33
"2017-11-25",41
"2017-11-26",48
"2017-11-27",43
"2017-11-28",35
"2017-11-29",42
"2017-11-30",37
"2017-12-01",43
"2017-12-02",49
"2017-12-03",56
"2017-12-04",45
"2017-12-05",44
"2017-12-06",36
"2017-12-07",35
"2017-12-08",33
"2017-12-09",53
"2017-12-10",69
"2017-12-11",54
"2017-12-12",44
"2017-12-13",41
"2017-12-14",40
"2017-12-15",38
"2017-12-16",45
"2017-12-17",62
"2017-12-18",46
"2017-12-19",45
"2017-12-20",42
"2017-12-21",40
"2017-12-22",37
"2017-12-23",43
"2017-12-24",58
"2017-12-25",57
"2017-12-26",47
"2017-12-27",40
"2017-12-28",37
"2017-12-29",42
"2017-12-30",48
"2017-12-31",59
"2018-01-01",53
"2018-01-02",51
"2018-01-03",44
"2018-01-04",42
"2018-01-05",36
"2018-01-06",49
"2018-01-07",50
"2018-01-08",39
"2018-01-09",36
"2018-01-10",42
"2018-01-11",36
"2018-01-12",33
"2018-01-13",50
"2018-01-14",55
"2018-01-15",41
"2018-01-16",44
"2018-01-17",47
"2018-01-18",44
"2018-01-19",39
"2018-01-20",51
"2018-01-21",60
"2018-01-22",44
"2018-01-23",42
"2018-01-24",36
"2018-01-25",31
"2018-01-26",35
"2018-01-27",48
"2018-01-28",70
"2018-01-29",53
"2018-01-30",45
"2018-01-31",40
"2018-02-01",43
"2018-02-02",37
"2018-02-03",48
"2018-02-04",66
"2018-02-05",46
"2018-02-06",41
"2018-02-07",46
"2018-02-08",41
"2018-02-09",38
"2018-02-10",50
"2018-02-11",60
"2018-02-12",45
"2018-02-13",42
"2018-02-14",42
"2018-02-15",40
"2018-02-16",38
"2018-02-17",64
"2018-02-18",68
"2018-02-19",64
"2018-02-20",46
"2018-02-21",46
"2018-02-22",40
"2018-02-23",35
"2018-02-24",53
"2018-02-25",57
"2018-02-26",50
"2018-02-27",50
"2018-02-28",45
"2018-03-01",65
"2018-03-02",45
"2018-03-03",54
"2018-03-04",66
"2018-03-05",54
"2018-03-06",48
"2018-03-07",48
"2018-03-08",43
"2018-03-09",40
"2018-03-10",59
"2018-03-11",67
"2018-03-12",51
"2018-03-13",49
"2018-03-14",40
"2018-03-15",59
"2018-03-16",45
"2018-03-17",55
"2018-03-18",80
"2018-03-19",73
"2018-03-20",54
"2018-03-21",53
"2018-03-22",52
"2018-03-23",47
"2018-03-24",61
"2018-03-25",87
"2018-03-26",78
"2018-03-27",70
"2018-03-28",67
"2018-03-29",66
"2018-03-30",63
"2018-03-31",67
"2018-04-01",94
"2018-04-02",75
"2018-04-03",75
"2018-04-04",70
"2018-04-05",66
"2018-04-06",61
"2018-04-07",68
"2018-04-08",90
"2018-04-09",65
"2018-04-10",60
"2018-04-11",60
"2018-04-12",51
"2018-04-13",44
"2018-04-14",73
"2018-04-15",100
"2018-04-16",75
"2018-04-17",66
"2018-04-18",54
"2018-04-19",51
