네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s7케이스"
"2017-08-01",70
"2017-08-02",70
"2017-08-03",74
"2017-08-04",62
"2017-08-05",65
"2017-08-06",94
"2017-08-07",76
"2017-08-08",80
"2017-08-09",78
"2017-08-10",81
"2017-08-11",76
"2017-08-12",60
"2017-08-13",94
"2017-08-14",79
"2017-08-15",87
"2017-08-16",80
"2017-08-17",75
"2017-08-18",74
"2017-08-19",67
"2017-08-20",83
"2017-08-21",69
"2017-08-22",72
"2017-08-23",70
"2017-08-24",71
"2017-08-25",59
"2017-08-26",60
"2017-08-27",71
"2017-08-28",59
"2017-08-29",66
"2017-08-30",66
"2017-08-31",52
"2017-09-01",49
"2017-09-02",60
"2017-09-03",61
"2017-09-04",57
"2017-09-05",66
"2017-09-06",63
"2017-09-07",54
"2017-09-08",47
"2017-09-09",59
"2017-09-10",71
"2017-09-11",65
"2017-09-12",71
"2017-09-13",60
"2017-09-14",53
"2017-09-15",61
"2017-09-16",69
"2017-09-17",70
"2017-09-18",77
"2017-09-19",80
"2017-09-20",70
"2017-09-21",62
"2017-09-22",49
"2017-09-23",56
"2017-09-24",74
"2017-09-25",59
"2017-09-26",71
"2017-09-27",65
"2017-09-28",56
"2017-09-29",42
"2017-09-30",54
"2017-10-01",49
"2017-10-02",46
"2017-10-03",43
"2017-10-04",49
"2017-10-05",50
"2017-10-06",67
"2017-10-07",77
"2017-10-08",68
"2017-10-09",78
"2017-10-10",74
"2017-10-11",74
"2017-10-12",69
"2017-10-13",58
"2017-10-14",61
"2017-10-15",74
"2017-10-16",64
"2017-10-17",66
"2017-10-18",67
"2017-10-19",62
"2017-10-20",52
"2017-10-21",61
"2017-10-22",88
"2017-10-23",78
"2017-10-24",65
"2017-10-25",76
"2017-10-26",79
"2017-10-27",71
"2017-10-28",65
"2017-10-29",91
"2017-10-30",73
"2017-10-31",74
"2017-11-01",78
"2017-11-02",72
"2017-11-03",69
"2017-11-04",74
"2017-11-05",95
"2017-11-06",91
"2017-11-07",95
"2017-11-08",91
"2017-11-09",79
"2017-11-10",66
"2017-11-11",82
"2017-11-12",97
"2017-11-13",77
"2017-11-14",78
"2017-11-15",77
"2017-11-16",74
"2017-11-17",69
"2017-11-18",71
"2017-11-19",86
"2017-11-20",79
"2017-11-21",73
"2017-11-22",64
"2017-11-23",68
"2017-11-24",59
"2017-11-25",75
"2017-11-26",87
"2017-11-27",81
"2017-11-28",75
"2017-11-29",74
"2017-11-30",78
"2017-12-01",72
"2017-12-02",100
"2017-12-03",86
"2017-12-04",81
"2017-12-05",69
"2017-12-06",60
"2017-12-07",53
"2017-12-08",43
"2017-12-09",48
"2017-12-10",66
"2017-12-11",62
"2017-12-12",54
"2017-12-13",57
"2017-12-14",47
"2017-12-15",43
"2017-12-16",56
"2017-12-17",53
"2017-12-18",50
"2017-12-19",44
"2017-12-20",45
"2017-12-21",52
"2017-12-22",36
"2017-12-23",49
"2017-12-24",42
"2017-12-25",56
"2017-12-26",57
"2017-12-27",55
"2017-12-28",49
"2017-12-29",38
"2017-12-30",57
"2017-12-31",48
"2018-01-01",66
"2018-01-02",63
"2018-01-03",62
"2018-01-04",52
"2018-01-05",44
"2018-01-06",61
"2018-01-07",70
"2018-01-08",60
"2018-01-09",66
"2018-01-10",54
"2018-01-11",55
"2018-01-12",43
"2018-01-13",50
"2018-01-14",61
"2018-01-15",52
"2018-01-16",50
"2018-01-17",41
"2018-01-18",49
"2018-01-19",38
"2018-01-20",45
"2018-01-21",56
"2018-01-22",49
"2018-01-23",50
"2018-01-24",46
"2018-01-25",48
"2018-01-26",41
"2018-01-27",47
"2018-01-28",60
"2018-01-29",51
"2018-01-30",47
"2018-01-31",42
"2018-02-01",55
"2018-02-02",43
"2018-02-03",51
"2018-02-04",59
"2018-02-05",55
"2018-02-06",55
"2018-02-07",46
"2018-02-08",58
"2018-02-09",41
"2018-02-10",46
"2018-02-11",57
"2018-02-12",48
"2018-02-13",38
"2018-02-14",33
"2018-02-15",47
"2018-02-16",48
"2018-02-17",63
"2018-02-18",64
"2018-02-19",67
"2018-02-20",65
"2018-02-21",59
"2018-02-22",62
"2018-02-23",60
"2018-02-24",56
"2018-02-25",70
"2018-02-26",66
"2018-02-27",63
"2018-02-28",52
"2018-03-01",59
"2018-03-02",54
"2018-03-03",57
"2018-03-04",66
"2018-03-05",55
"2018-03-06",53
"2018-03-07",50
"2018-03-08",53
"2018-03-09",49
"2018-03-10",52
"2018-03-11",59
"2018-03-12",49
"2018-03-13",47
"2018-03-14",45
"2018-03-15",51
"2018-03-16",42
"2018-03-17",53
"2018-03-18",60
"2018-03-19",57
"2018-03-20",52
"2018-03-21",58
"2018-03-22",50
"2018-03-23",42
"2018-03-24",51
"2018-03-25",56
"2018-03-26",41
"2018-03-27",54
"2018-03-28",50
"2018-03-29",48
"2018-03-30",39
"2018-03-31",46
"2018-04-01",54
"2018-04-02",48
"2018-04-03",49
"2018-04-04",53
"2018-04-05",47
"2018-04-06",42
"2018-04-07",41
"2018-04-08",52
"2018-04-09",53
"2018-04-10",45
"2018-04-11",44
"2018-04-12",44
"2018-04-13",35
"2018-04-14",42
"2018-04-15",47
"2018-04-16",38
"2018-04-17",45
"2018-04-18",38
"2018-04-19",39
