네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블랙박스"
"2017-08-01",52
"2017-08-02",51
"2017-08-03",51
"2017-08-04",46
"2017-08-05",44
"2017-08-06",51
"2017-08-07",60
"2017-08-08",62
"2017-08-09",61
"2017-08-10",56
"2017-08-11",44
"2017-08-12",42
"2017-08-13",55
"2017-08-14",59
"2017-08-15",59
"2017-08-16",61
"2017-08-17",55
"2017-08-18",53
"2017-08-19",51
"2017-08-20",61
"2017-08-21",62
"2017-08-22",56
"2017-08-23",61
"2017-08-24",50
"2017-08-25",47
"2017-08-26",38
"2017-08-27",52
"2017-08-28",53
"2017-08-29",56
"2017-08-30",51
"2017-08-31",49
"2017-09-01",51
"2017-09-02",40
"2017-09-03",56
"2017-09-04",59
"2017-09-05",55
"2017-09-06",49
"2017-09-07",48
"2017-09-08",45
"2017-09-09",42
"2017-09-10",50
"2017-09-11",54
"2017-09-12",49
"2017-09-13",59
"2017-09-14",48
"2017-09-15",44
"2017-09-16",43
"2017-09-17",53
"2017-09-18",69
"2017-09-19",60
"2017-09-20",61
"2017-09-21",56
"2017-09-22",46
"2017-09-23",42
"2017-09-24",52
"2017-09-25",67
"2017-09-26",78
"2017-09-27",69
"2017-09-28",67
"2017-09-29",45
"2017-09-30",52
"2017-10-01",55
"2017-10-02",60
"2017-10-03",51
"2017-10-04",47
"2017-10-05",56
"2017-10-06",58
"2017-10-07",67
"2017-10-08",79
"2017-10-09",75
"2017-10-10",93
"2017-10-11",100
"2017-10-12",85
"2017-10-13",75
"2017-10-14",70
"2017-10-15",80
"2017-10-16",82
"2017-10-17",86
"2017-10-18",88
"2017-10-19",79
"2017-10-20",84
"2017-10-21",73
"2017-10-22",84
"2017-10-23",94
"2017-10-24",85
"2017-10-25",87
"2017-10-26",84
"2017-10-27",68
"2017-10-28",64
"2017-10-29",83
"2017-10-30",87
"2017-10-31",83
"2017-11-01",87
"2017-11-02",73
"2017-11-03",78
"2017-11-04",83
"2017-11-05",75
"2017-11-06",82
"2017-11-07",76
"2017-11-08",78
"2017-11-09",70
"2017-11-10",57
"2017-11-11",63
"2017-11-12",76
"2017-11-13",75
"2017-11-14",75
"2017-11-15",73
"2017-11-16",69
"2017-11-17",54
"2017-11-18",56
"2017-11-19",66
"2017-11-20",79
"2017-11-21",70
"2017-11-22",65
"2017-11-23",58
"2017-11-24",54
"2017-11-25",58
"2017-11-26",72
"2017-11-27",68
"2017-11-28",64
"2017-11-29",68
"2017-11-30",59
"2017-12-01",57
"2017-12-02",62
"2017-12-03",61
"2017-12-04",75
"2017-12-05",75
"2017-12-06",73
"2017-12-07",56
"2017-12-08",51
"2017-12-09",57
"2017-12-10",62
"2017-12-11",74
"2017-12-12",67
"2017-12-13",58
"2017-12-14",55
"2017-12-15",56
"2017-12-16",45
"2017-12-17",57
"2017-12-18",64
"2017-12-19",61
"2017-12-20",55
"2017-12-21",59
"2017-12-22",52
"2017-12-23",49
"2017-12-24",53
"2017-12-25",53
"2017-12-26",69
"2017-12-27",65
"2017-12-28",67
"2017-12-29",59
"2017-12-30",58
"2017-12-31",60
"2018-01-01",66
"2018-01-02",69
"2018-01-03",62
"2018-01-04",62
"2018-01-05",56
"2018-01-06",56
"2018-01-07",68
"2018-01-08",62
"2018-01-09",65
"2018-01-10",57
"2018-01-11",55
"2018-01-12",48
"2018-01-13",52
"2018-01-14",53
"2018-01-15",68
"2018-01-16",63
"2018-01-17",62
"2018-01-18",57
"2018-01-19",56
"2018-01-20",53
"2018-01-21",60
"2018-01-22",63
"2018-01-23",59
"2018-01-24",57
"2018-01-25",56
"2018-01-26",51
"2018-01-27",61
"2018-01-28",67
"2018-01-29",65
"2018-01-30",70
"2018-01-31",72
"2018-02-01",61
"2018-02-02",57
"2018-02-03",67
"2018-02-04",71
"2018-02-05",76
"2018-02-06",71
"2018-02-07",75
"2018-02-08",58
"2018-02-09",50
"2018-02-10",50
"2018-02-11",62
"2018-02-12",60
"2018-02-13",55
"2018-02-14",49
"2018-02-15",46
"2018-02-16",55
"2018-02-17",54
"2018-02-18",62
"2018-02-19",82
"2018-02-20",67
"2018-02-21",62
"2018-02-22",66
"2018-02-23",55
"2018-02-24",54
"2018-02-25",58
"2018-02-26",77
"2018-02-27",70
"2018-02-28",74
"2018-03-01",63
"2018-03-02",63
"2018-03-03",63
"2018-03-04",75
"2018-03-05",73
"2018-03-06",70
"2018-03-07",76
"2018-03-08",63
"2018-03-09",54
"2018-03-10",54
"2018-03-11",72
"2018-03-12",78
"2018-03-13",71
"2018-03-14",61
"2018-03-15",62
"2018-03-16",57
"2018-03-17",64
"2018-03-18",65
"2018-03-19",70
"2018-03-20",77
"2018-03-21",66
"2018-03-22",69
"2018-03-23",60
"2018-03-24",61
"2018-03-25",65
"2018-03-26",67
"2018-03-27",64
"2018-03-28",60
"2018-03-29",54
"2018-03-30",54
"2018-03-31",56
"2018-04-01",61
"2018-04-02",67
"2018-04-03",74
"2018-04-04",74
"2018-04-05",70
"2018-04-06",55
"2018-04-07",56
"2018-04-08",64
"2018-04-09",73
"2018-04-10",75
"2018-04-11",68
"2018-04-12",71
"2018-04-13",62
"2018-04-14",65
"2018-04-15",67
"2018-04-16",67
"2018-04-17",76
"2018-04-18",73
"2018-04-19",71
