네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s7엣지케이스"
"2017-08-01",68
"2017-08-02",66
"2017-08-03",58
"2017-08-04",58
"2017-08-05",53
"2017-08-06",88
"2017-08-07",72
"2017-08-08",70
"2017-08-09",74
"2017-08-10",69
"2017-08-11",60
"2017-08-12",58
"2017-08-13",73
"2017-08-14",65
"2017-08-15",69
"2017-08-16",66
"2017-08-17",65
"2017-08-18",61
"2017-08-19",55
"2017-08-20",71
"2017-08-21",69
"2017-08-22",64
"2017-08-23",61
"2017-08-24",65
"2017-08-25",58
"2017-08-26",56
"2017-08-27",74
"2017-08-28",50
"2017-08-29",64
"2017-08-30",57
"2017-08-31",58
"2017-09-01",55
"2017-09-02",55
"2017-09-03",70
"2017-09-04",71
"2017-09-05",58
"2017-09-06",65
"2017-09-07",55
"2017-09-08",50
"2017-09-09",53
"2017-09-10",67
"2017-09-11",71
"2017-09-12",65
"2017-09-13",62
"2017-09-14",67
"2017-09-15",73
"2017-09-16",77
"2017-09-17",80
"2017-09-18",82
"2017-09-19",92
"2017-09-20",83
"2017-09-21",71
"2017-09-22",65
"2017-09-23",72
"2017-09-24",77
"2017-09-25",79
"2017-09-26",81
"2017-09-27",77
"2017-09-28",64
"2017-09-29",46
"2017-09-30",62
"2017-10-01",61
"2017-10-02",56
"2017-10-03",65
"2017-10-04",63
"2017-10-05",61
"2017-10-06",73
"2017-10-07",86
"2017-10-08",89
"2017-10-09",93
"2017-10-10",90
"2017-10-11",94
"2017-10-12",86
"2017-10-13",74
"2017-10-14",80
"2017-10-15",79
"2017-10-16",87
"2017-10-17",80
"2017-10-18",85
"2017-10-19",86
"2017-10-20",70
"2017-10-21",74
"2017-10-22",100
"2017-10-23",89
"2017-10-24",84
"2017-10-25",86
"2017-10-26",81
"2017-10-27",74
"2017-10-28",79
"2017-10-29",95
"2017-10-30",78
"2017-10-31",67
"2017-11-01",71
"2017-11-02",80
"2017-11-03",63
"2017-11-04",79
"2017-11-05",87
"2017-11-06",76
"2017-11-07",85
"2017-11-08",80
"2017-11-09",75
"2017-11-10",61
"2017-11-11",67
"2017-11-12",86
"2017-11-13",80
"2017-11-14",79
"2017-11-15",71
"2017-11-16",69
"2017-11-17",65
"2017-11-18",62
"2017-11-19",72
"2017-11-20",69
"2017-11-21",60
"2017-11-22",69
"2017-11-23",70
"2017-11-24",56
"2017-11-25",73
"2017-11-26",72
"2017-11-27",68
"2017-11-28",64
"2017-11-29",73
"2017-11-30",65
"2017-12-01",78
"2017-12-02",93
"2017-12-03",97
"2017-12-04",72
"2017-12-05",71
"2017-12-06",65
"2017-12-07",57
"2017-12-08",47
"2017-12-09",49
"2017-12-10",63
"2017-12-11",71
"2017-12-12",60
"2017-12-13",48
"2017-12-14",42
"2017-12-15",56
"2017-12-16",59
"2017-12-17",62
"2017-12-18",53
"2017-12-19",43
"2017-12-20",52
"2017-12-21",42
"2017-12-22",41
"2017-12-23",46
"2017-12-24",53
"2017-12-25",63
"2017-12-26",63
"2017-12-27",57
"2017-12-28",57
"2017-12-29",46
"2017-12-30",46
"2017-12-31",54
"2018-01-01",59
"2018-01-02",79
"2018-01-03",70
"2018-01-04",57
"2018-01-05",55
"2018-01-06",59
"2018-01-07",69
"2018-01-08",67
"2018-01-09",66
"2018-01-10",55
"2018-01-11",51
"2018-01-12",55
"2018-01-13",62
"2018-01-14",58
"2018-01-15",62
"2018-01-16",53
"2018-01-17",56
"2018-01-18",45
"2018-01-19",44
"2018-01-20",54
"2018-01-21",64
"2018-01-22",55
"2018-01-23",56
"2018-01-24",58
"2018-01-25",48
"2018-01-26",44
"2018-01-27",41
"2018-01-28",63
"2018-01-29",56
"2018-01-30",57
"2018-01-31",54
"2018-02-01",55
"2018-02-02",46
"2018-02-03",47
"2018-02-04",72
"2018-02-05",59
"2018-02-06",56
"2018-02-07",54
"2018-02-08",50
"2018-02-09",39
"2018-02-10",47
"2018-02-11",61
"2018-02-12",49
"2018-02-13",40
"2018-02-14",33
"2018-02-15",36
"2018-02-16",43
"2018-02-17",52
"2018-02-18",57
"2018-02-19",65
"2018-02-20",58
"2018-02-21",58
"2018-02-22",70
"2018-02-23",61
"2018-02-24",63
"2018-02-25",73
"2018-02-26",63
"2018-02-27",65
"2018-02-28",62
"2018-03-01",60
"2018-03-02",49
"2018-03-03",65
"2018-03-04",76
"2018-03-05",65
"2018-03-06",56
"2018-03-07",66
"2018-03-08",65
"2018-03-09",43
"2018-03-10",56
"2018-03-11",73
"2018-03-12",69
"2018-03-13",60
"2018-03-14",57
"2018-03-15",52
"2018-03-16",47
"2018-03-17",52
"2018-03-18",69
"2018-03-19",60
"2018-03-20",58
"2018-03-21",54
"2018-03-22",47
"2018-03-23",44
"2018-03-24",52
"2018-03-25",67
"2018-03-26",54
"2018-03-27",49
"2018-03-28",45
"2018-03-29",46
"2018-03-30",36
"2018-03-31",44
"2018-04-01",61
"2018-04-02",50
"2018-04-03",56
"2018-04-04",49
"2018-04-05",48
"2018-04-06",44
"2018-04-07",42
"2018-04-08",54
"2018-04-09",53
"2018-04-10",50
"2018-04-11",52
"2018-04-12",51
"2018-04-13",49
"2018-04-14",60
"2018-04-15",69
"2018-04-16",63
"2018-04-17",53
"2018-04-18",47
"2018-04-19",48
