네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","소형냉장고"
"2017-08-01",68
"2017-08-02",59
"2017-08-03",64
"2017-08-04",57
"2017-08-05",61
"2017-08-06",62
"2017-08-07",75
"2017-08-08",65
"2017-08-09",63
"2017-08-10",57
"2017-08-11",58
"2017-08-12",49
"2017-08-13",51
"2017-08-14",56
"2017-08-15",55
"2017-08-16",56
"2017-08-17",50
"2017-08-18",43
"2017-08-19",43
"2017-08-20",49
"2017-08-21",58
"2017-08-22",64
"2017-08-23",64
"2017-08-24",59
"2017-08-25",50
"2017-08-26",43
"2017-08-27",51
"2017-08-28",49
"2017-08-29",49
"2017-08-30",48
"2017-08-31",45
"2017-09-01",38
"2017-09-02",39
"2017-09-03",41
"2017-09-04",46
"2017-09-05",48
"2017-09-06",48
"2017-09-07",43
"2017-09-08",36
"2017-09-09",35
"2017-09-10",42
"2017-09-11",51
"2017-09-12",45
"2017-09-13",45
"2017-09-14",42
"2017-09-15",34
"2017-09-16",33
"2017-09-17",39
"2017-09-18",52
"2017-09-19",47
"2017-09-20",45
"2017-09-21",41
"2017-09-22",38
"2017-09-23",35
"2017-09-24",39
"2017-09-25",51
"2017-09-26",48
"2017-09-27",46
"2017-09-28",35
"2017-09-29",32
"2017-09-30",33
"2017-10-01",37
"2017-10-02",34
"2017-10-03",30
"2017-10-04",28
"2017-10-05",30
"2017-10-06",40
"2017-10-07",41
"2017-10-08",48
"2017-10-09",60
"2017-10-10",72
"2017-10-11",59
"2017-10-12",56
"2017-10-13",41
"2017-10-14",40
"2017-10-15",46
"2017-10-16",47
"2017-10-17",51
"2017-10-18",53
"2017-10-19",53
"2017-10-20",44
"2017-10-21",45
"2017-10-22",48
"2017-10-23",53
"2017-10-24",51
"2017-10-25",51
"2017-10-26",51
"2017-10-27",40
"2017-10-28",44
"2017-10-29",51
"2017-10-30",47
"2017-10-31",48
"2017-11-01",60
"2017-11-02",44
"2017-11-03",45
"2017-11-04",41
"2017-11-05",51
"2017-11-06",56
"2017-11-07",47
"2017-11-08",57
"2017-11-09",52
"2017-11-10",39
"2017-11-11",43
"2017-11-12",46
"2017-11-13",52
"2017-11-14",44
"2017-11-15",41
"2017-11-16",49
"2017-11-17",34
"2017-11-18",39
"2017-11-19",41
"2017-11-20",46
"2017-11-21",41
"2017-11-22",36
"2017-11-23",35
"2017-11-24",36
"2017-11-25",32
"2017-11-26",46
"2017-11-27",50
"2017-11-28",42
"2017-11-29",40
"2017-11-30",40
"2017-12-01",35
"2017-12-02",40
"2017-12-03",55
"2017-12-04",49
"2017-12-05",39
"2017-12-06",40
"2017-12-07",34
"2017-12-08",41
"2017-12-09",39
"2017-12-10",47
"2017-12-11",48
"2017-12-12",45
"2017-12-13",38
"2017-12-14",25
"2017-12-15",32
"2017-12-16",37
"2017-12-17",44
"2017-12-18",38
"2017-12-19",37
"2017-12-20",33
"2017-12-21",24
"2017-12-22",30
"2017-12-23",36
"2017-12-24",30
"2017-12-25",39
"2017-12-26",40
"2017-12-27",45
"2017-12-28",40
"2017-12-29",36
"2017-12-30",38
"2017-12-31",35
"2018-01-01",44
"2018-01-02",52
"2018-01-03",53
"2018-01-04",52
"2018-01-05",46
"2018-01-06",41
"2018-01-07",48
"2018-01-08",48
"2018-01-09",50
"2018-01-10",44
"2018-01-11",35
"2018-01-12",30
"2018-01-13",29
"2018-01-14",31
"2018-01-15",34
"2018-01-16",34
"2018-01-17",31
"2018-01-18",29
"2018-01-19",28
"2018-01-20",34
"2018-01-21",33
"2018-01-22",38
"2018-01-23",34
"2018-01-24",29
"2018-01-25",32
"2018-01-26",31
"2018-01-27",27
"2018-01-28",30
"2018-01-29",36
"2018-01-30",35
"2018-01-31",31
"2018-02-01",47
"2018-02-02",44
"2018-02-03",42
"2018-02-04",46
"2018-02-05",50
"2018-02-06",46
"2018-02-07",45
"2018-02-08",50
"2018-02-09",48
"2018-02-10",46
"2018-02-11",44
"2018-02-12",42
"2018-02-13",39
"2018-02-14",30
"2018-02-15",31
"2018-02-16",24
"2018-02-17",32
"2018-02-18",36
"2018-02-19",53
"2018-02-20",42
"2018-02-21",44
"2018-02-22",47
"2018-02-23",38
"2018-02-24",38
"2018-02-25",44
"2018-02-26",56
"2018-02-27",52
"2018-02-28",41
"2018-03-01",56
"2018-03-02",66
"2018-03-03",52
"2018-03-04",54
"2018-03-05",59
"2018-03-06",55
"2018-03-07",66
"2018-03-08",53
"2018-03-09",43
"2018-03-10",40
"2018-03-11",47
"2018-03-12",51
"2018-03-13",60
"2018-03-14",62
"2018-03-15",51
"2018-03-16",50
"2018-03-17",46
"2018-03-18",47
"2018-03-19",52
"2018-03-20",45
"2018-03-21",40
"2018-03-22",42
"2018-03-23",39
"2018-03-24",39
"2018-03-25",46
"2018-03-26",60
"2018-03-27",61
"2018-03-28",61
"2018-03-29",58
"2018-03-30",50
"2018-03-31",51
"2018-04-01",49
"2018-04-02",64
"2018-04-03",74
"2018-04-04",58
"2018-04-05",78
"2018-04-06",80
"2018-04-07",76
"2018-04-08",89
"2018-04-09",92
"2018-04-10",97
"2018-04-11",98
"2018-04-12",86
"2018-04-13",74
"2018-04-14",80
"2018-04-15",83
"2018-04-16",100
"2018-04-17",96
"2018-04-18",83
"2018-04-19",83
