네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이패드"
"2017-08-01",16
"2017-08-02",17
"2017-08-03",18
"2017-08-04",15
"2017-08-05",14
"2017-08-06",15
"2017-08-07",16
"2017-08-08",16
"2017-08-09",16
"2017-08-10",15
"2017-08-11",14
"2017-08-12",14
"2017-08-13",14
"2017-08-14",16
"2017-08-15",24
"2017-08-16",22
"2017-08-17",16
"2017-08-18",13
"2017-08-19",14
"2017-08-20",18
"2017-08-21",19
"2017-08-22",15
"2017-08-23",16
"2017-08-24",15
"2017-08-25",13
"2017-08-26",14
"2017-08-27",13
"2017-08-28",13
"2017-08-29",13
"2017-08-30",14
"2017-08-31",14
"2017-09-01",14
"2017-09-02",14
"2017-09-03",17
"2017-09-04",14
"2017-09-05",14
"2017-09-06",13
"2017-09-07",14
"2017-09-08",13
"2017-09-09",14
"2017-09-10",17
"2017-09-11",16
"2017-09-12",15
"2017-09-13",17
"2017-09-14",15
"2017-09-15",13
"2017-09-16",13
"2017-09-17",16
"2017-09-18",16
"2017-09-19",14
"2017-09-20",14
"2017-09-21",14
"2017-09-22",12
"2017-09-23",12
"2017-09-24",15
"2017-09-25",22
"2017-09-26",25
"2017-09-27",27
"2017-09-28",24
"2017-09-29",19
"2017-09-30",20
"2017-10-01",22
"2017-10-02",21
"2017-10-03",21
"2017-10-04",23
"2017-10-05",23
"2017-10-06",25
"2017-10-07",22
"2017-10-08",25
"2017-10-09",27
"2017-10-10",27
"2017-10-11",26
"2017-10-12",23
"2017-10-13",19
"2017-10-14",22
"2017-10-15",27
"2017-10-16",25
"2017-10-17",21
"2017-10-18",23
"2017-10-19",18
"2017-10-20",18
"2017-10-21",24
"2017-10-22",25
"2017-10-23",24
"2017-10-24",22
"2017-10-25",24
"2017-10-26",20
"2017-10-27",20
"2017-10-28",20
"2017-10-29",23
"2017-10-30",19
"2017-10-31",16
"2017-11-01",20
"2017-11-02",22
"2017-11-03",22
"2017-11-04",24
"2017-11-05",25
"2017-11-06",26
"2017-11-07",25
"2017-11-08",24
"2017-11-09",22
"2017-11-10",22
"2017-11-11",22
"2017-11-12",26
"2017-11-13",23
"2017-11-14",21
"2017-11-15",19
"2017-11-16",21
"2017-11-17",20
"2017-11-18",22
"2017-11-19",26
"2017-11-20",25
"2017-11-21",24
"2017-11-22",22
"2017-11-23",23
"2017-11-24",25
"2017-11-25",22
"2017-11-26",28
"2017-11-27",25
"2017-11-28",24
"2017-11-29",22
"2017-11-30",22
"2017-12-01",22
"2017-12-02",31
"2017-12-03",30
"2017-12-04",28
"2017-12-05",29
"2017-12-06",28
"2017-12-07",27
"2017-12-08",23
"2017-12-09",23
"2017-12-10",26
"2017-12-11",24
"2017-12-12",22
"2017-12-13",21
"2017-12-14",21
"2017-12-15",20
"2017-12-16",26
"2017-12-17",36
"2017-12-18",28
"2017-12-19",24
"2017-12-20",28
"2017-12-21",23
"2017-12-22",22
"2017-12-23",26
"2017-12-24",27
"2017-12-25",32
"2017-12-26",29
"2017-12-27",26
"2017-12-28",25
"2017-12-29",24
"2017-12-30",28
"2017-12-31",26
"2018-01-01",34
"2018-01-02",35
"2018-01-03",34
"2018-01-04",29
"2018-01-05",25
"2018-01-06",27
"2018-01-07",33
"2018-01-08",30
"2018-01-09",30
"2018-01-10",30
"2018-01-11",28
"2018-01-12",26
"2018-01-13",29
"2018-01-14",34
"2018-01-15",31
"2018-01-16",32
"2018-01-17",30
"2018-01-18",28
"2018-01-19",27
"2018-01-20",26
"2018-01-21",29
"2018-01-22",31
"2018-01-23",29
"2018-01-24",26
"2018-01-25",32
"2018-01-26",27
"2018-01-27",32
"2018-01-28",36
"2018-01-29",31
"2018-01-30",30
"2018-01-31",31
"2018-02-01",29
"2018-02-02",32
"2018-02-03",32
"2018-02-04",35
"2018-02-05",37
"2018-02-06",32
"2018-02-07",35
"2018-02-08",33
"2018-02-09",32
"2018-02-10",37
"2018-02-11",42
"2018-02-12",38
"2018-02-13",32
"2018-02-14",29
"2018-02-15",33
"2018-02-16",38
"2018-02-17",41
"2018-02-18",47
"2018-02-19",43
"2018-02-20",34
"2018-02-21",34
"2018-02-22",32
"2018-02-23",31
"2018-02-24",30
"2018-02-25",33
"2018-02-26",33
"2018-02-27",32
"2018-02-28",31
"2018-03-01",35
"2018-03-02",31
"2018-03-03",29
"2018-03-04",34
"2018-03-05",33
"2018-03-06",32
"2018-03-07",32
"2018-03-08",31
"2018-03-09",30
"2018-03-10",34
"2018-03-11",36
"2018-03-12",33
"2018-03-13",33
"2018-03-14",30
"2018-03-15",31
"2018-03-16",30
"2018-03-17",30
"2018-03-18",38
"2018-03-19",31
"2018-03-20",28
"2018-03-21",30
"2018-03-22",31
"2018-03-23",24
"2018-03-24",29
"2018-03-25",32
"2018-03-26",30
"2018-03-27",29
"2018-03-28",100
"2018-03-29",26
"2018-03-30",22
"2018-03-31",20
"2018-04-01",28
"2018-04-02",28
"2018-04-03",28
"2018-04-04",32
"2018-04-05",28
"2018-04-06",29
"2018-04-07",28
"2018-04-08",34
"2018-04-09",30
"2018-04-10",31
"2018-04-11",30
"2018-04-12",28
"2018-04-13",27
"2018-04-14",34
"2018-04-15",34
"2018-04-16",29
"2018-04-17",31
"2018-04-18",30
"2018-04-19",26
