네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삼성노트북"
"2017-08-01",29
"2017-08-02",29
"2017-08-03",29
"2017-08-04",25
"2017-08-05",25
"2017-08-06",29
"2017-08-07",33
"2017-08-08",32
"2017-08-09",35
"2017-08-10",35
"2017-08-11",26
"2017-08-12",28
"2017-08-13",29
"2017-08-14",34
"2017-08-15",39
"2017-08-16",39
"2017-08-17",33
"2017-08-18",31
"2017-08-19",30
"2017-08-20",41
"2017-08-21",39
"2017-08-22",39
"2017-08-23",39
"2017-08-24",35
"2017-08-25",34
"2017-08-26",31
"2017-08-27",32
"2017-08-28",33
"2017-08-29",33
"2017-08-30",34
"2017-08-31",34
"2017-09-01",29
"2017-09-02",33
"2017-09-03",38
"2017-09-04",36
"2017-09-05",33
"2017-09-06",31
"2017-09-07",34
"2017-09-08",29
"2017-09-09",30
"2017-09-10",36
"2017-09-11",36
"2017-09-12",29
"2017-09-13",32
"2017-09-14",27
"2017-09-15",26
"2017-09-16",29
"2017-09-17",32
"2017-09-18",29
"2017-09-19",35
"2017-09-20",29
"2017-09-21",30
"2017-09-22",24
"2017-09-23",23
"2017-09-24",28
"2017-09-25",36
"2017-09-26",40
"2017-09-27",40
"2017-09-28",37
"2017-09-29",29
"2017-09-30",33
"2017-10-01",38
"2017-10-02",35
"2017-10-03",36
"2017-10-04",33
"2017-10-05",38
"2017-10-06",43
"2017-10-07",41
"2017-10-08",55
"2017-10-09",54
"2017-10-10",53
"2017-10-11",51
"2017-10-12",47
"2017-10-13",39
"2017-10-14",35
"2017-10-15",46
"2017-10-16",46
"2017-10-17",44
"2017-10-18",36
"2017-10-19",37
"2017-10-20",36
"2017-10-21",37
"2017-10-22",40
"2017-10-23",46
"2017-10-24",42
"2017-10-25",41
"2017-10-26",40
"2017-10-27",38
"2017-10-28",33
"2017-10-29",43
"2017-10-30",43
"2017-10-31",46
"2017-11-01",45
"2017-11-02",43
"2017-11-03",35
"2017-11-04",37
"2017-11-05",45
"2017-11-06",44
"2017-11-07",44
"2017-11-08",41
"2017-11-09",40
"2017-11-10",37
"2017-11-11",41
"2017-11-12",47
"2017-11-13",49
"2017-11-14",46
"2017-11-15",39
"2017-11-16",37
"2017-11-17",36
"2017-11-18",42
"2017-11-19",48
"2017-11-20",44
"2017-11-21",42
"2017-11-22",38
"2017-11-23",45
"2017-11-24",43
"2017-11-25",44
"2017-11-26",52
"2017-11-27",50
"2017-11-28",47
"2017-11-29",45
"2017-11-30",46
"2017-12-01",46
"2017-12-02",46
"2017-12-03",51
"2017-12-04",52
"2017-12-05",48
"2017-12-06",44
"2017-12-07",44
"2017-12-08",43
"2017-12-09",42
"2017-12-10",58
"2017-12-11",54
"2017-12-12",50
"2017-12-13",46
"2017-12-14",47
"2017-12-15",47
"2017-12-16",51
"2017-12-17",56
"2017-12-18",54
"2017-12-19",55
"2017-12-20",48
"2017-12-21",53
"2017-12-22",45
"2017-12-23",63
"2017-12-24",62
"2017-12-25",62
"2017-12-26",65
"2017-12-27",60
"2017-12-28",59
"2017-12-29",50
"2017-12-30",67
"2017-12-31",64
"2018-01-01",74
"2018-01-02",76
"2018-01-03",76
"2018-01-04",76
"2018-01-05",64
"2018-01-06",68
"2018-01-07",81
"2018-01-08",79
"2018-01-09",82
"2018-01-10",72
"2018-01-11",67
"2018-01-12",67
"2018-01-13",81
"2018-01-14",80
"2018-01-15",77
"2018-01-16",83
"2018-01-17",72
"2018-01-18",75
"2018-01-19",64
"2018-01-20",67
"2018-01-21",77
"2018-01-22",76
"2018-01-23",72
"2018-01-24",69
"2018-01-25",68
"2018-01-26",65
"2018-01-27",80
"2018-01-28",90
"2018-01-29",78
"2018-01-30",73
"2018-01-31",67
"2018-02-01",63
"2018-02-02",59
"2018-02-03",74
"2018-02-04",86
"2018-02-05",73
"2018-02-06",73
"2018-02-07",64
"2018-02-08",67
"2018-02-09",66
"2018-02-10",66
"2018-02-11",75
"2018-02-12",70
"2018-02-13",63
"2018-02-14",59
"2018-02-15",63
"2018-02-16",77
"2018-02-17",91
"2018-02-18",93
"2018-02-19",100
"2018-02-20",82
"2018-02-21",81
"2018-02-22",78
"2018-02-23",72
"2018-02-24",81
"2018-02-25",93
"2018-02-26",86
"2018-02-27",84
"2018-02-28",76
"2018-03-01",93
"2018-03-02",77
"2018-03-03",71
"2018-03-04",89
"2018-03-05",76
"2018-03-06",74
"2018-03-07",72
"2018-03-08",69
"2018-03-09",56
"2018-03-10",78
"2018-03-11",88
"2018-03-12",68
"2018-03-13",68
"2018-03-14",56
"2018-03-15",59
"2018-03-16",58
"2018-03-17",62
"2018-03-18",71
"2018-03-19",68
"2018-03-20",62
"2018-03-21",58
"2018-03-22",58
"2018-03-23",53
"2018-03-24",58
"2018-03-25",66
"2018-03-26",63
"2018-03-27",53
"2018-03-28",53
"2018-03-29",43
"2018-03-30",45
"2018-03-31",49
"2018-04-01",49
"2018-04-02",45
"2018-04-03",46
"2018-04-04",46
"2018-04-05",43
"2018-04-06",50
"2018-04-07",47
"2018-04-08",51
"2018-04-09",51
"2018-04-10",49
"2018-04-11",46
"2018-04-12",45
"2018-04-13",40
"2018-04-14",48
"2018-04-15",48
"2018-04-16",51
"2018-04-17",48
"2018-04-18",47
"2018-04-19",45
