네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","usb"
"2017-08-01",43
"2017-08-02",39
"2017-08-03",42
"2017-08-04",38
"2017-08-05",30
"2017-08-06",34
"2017-08-07",49
"2017-08-08",53
"2017-08-09",50
"2017-08-10",47
"2017-08-11",38
"2017-08-12",31
"2017-08-13",41
"2017-08-14",56
"2017-08-15",51
"2017-08-16",57
"2017-08-17",53
"2017-08-18",39
"2017-08-19",35
"2017-08-20",44
"2017-08-21",59
"2017-08-22",55
"2017-08-23",59
"2017-08-24",51
"2017-08-25",42
"2017-08-26",36
"2017-08-27",37
"2017-08-28",48
"2017-08-29",51
"2017-08-30",58
"2017-08-31",49
"2017-09-01",39
"2017-09-02",38
"2017-09-03",46
"2017-09-04",60
"2017-09-05",56
"2017-09-06",65
"2017-09-07",58
"2017-09-08",41
"2017-09-09",39
"2017-09-10",49
"2017-09-11",66
"2017-09-12",57
"2017-09-13",48
"2017-09-14",48
"2017-09-15",47
"2017-09-16",42
"2017-09-17",42
"2017-09-18",58
"2017-09-19",60
"2017-09-20",53
"2017-09-21",48
"2017-09-22",40
"2017-09-23",31
"2017-09-24",37
"2017-09-25",57
"2017-09-26",55
"2017-09-27",58
"2017-09-28",46
"2017-09-29",35
"2017-09-30",31
"2017-10-01",33
"2017-10-02",29
"2017-10-03",26
"2017-10-04",25
"2017-10-05",29
"2017-10-06",39
"2017-10-07",38
"2017-10-08",44
"2017-10-09",57
"2017-10-10",66
"2017-10-11",63
"2017-10-12",67
"2017-10-13",50
"2017-10-14",38
"2017-10-15",46
"2017-10-16",60
"2017-10-17",66
"2017-10-18",72
"2017-10-19",70
"2017-10-20",56
"2017-10-21",40
"2017-10-22",48
"2017-10-23",65
"2017-10-24",64
"2017-10-25",59
"2017-10-26",59
"2017-10-27",46
"2017-10-28",42
"2017-10-29",41
"2017-10-30",56
"2017-10-31",63
"2017-11-01",62
"2017-11-02",59
"2017-11-03",49
"2017-11-04",43
"2017-11-05",45
"2017-11-06",67
"2017-11-07",65
"2017-11-08",63
"2017-11-09",58
"2017-11-10",51
"2017-11-11",42
"2017-11-12",55
"2017-11-13",70
"2017-11-14",63
"2017-11-15",61
"2017-11-16",63
"2017-11-17",50
"2017-11-18",42
"2017-11-19",49
"2017-11-20",65
"2017-11-21",66
"2017-11-22",57
"2017-11-23",55
"2017-11-24",46
"2017-11-25",38
"2017-11-26",49
"2017-11-27",64
"2017-11-28",66
"2017-11-29",57
"2017-11-30",58
"2017-12-01",60
"2017-12-02",49
"2017-12-03",60
"2017-12-04",76
"2017-12-05",72
"2017-12-06",69
"2017-12-07",58
"2017-12-08",53
"2017-12-09",44
"2017-12-10",54
"2017-12-11",69
"2017-12-12",68
"2017-12-13",63
"2017-12-14",61
"2017-12-15",50
"2017-12-16",41
"2017-12-17",57
"2017-12-18",62
"2017-12-19",70
"2017-12-20",63
"2017-12-21",66
"2017-12-22",50
"2017-12-23",43
"2017-12-24",46
"2017-12-25",54
"2017-12-26",87
"2017-12-27",72
"2017-12-28",67
"2017-12-29",53
"2017-12-30",45
"2017-12-31",45
"2018-01-01",49
"2018-01-02",77
"2018-01-03",64
"2018-01-04",68
"2018-01-05",53
"2018-01-06",48
"2018-01-07",56
"2018-01-08",77
"2018-01-09",78
"2018-01-10",75
"2018-01-11",67
"2018-01-12",55
"2018-01-13",46
"2018-01-14",61
"2018-01-15",87
"2018-01-16",96
"2018-01-17",87
"2018-01-18",90
"2018-01-19",67
"2018-01-20",60
"2018-01-21",71
"2018-01-22",99
"2018-01-23",87
"2018-01-24",80
"2018-01-25",76
"2018-01-26",59
"2018-01-27",47
"2018-01-28",55
"2018-01-29",77
"2018-01-30",72
"2018-01-31",69
"2018-02-01",48
"2018-02-02",48
"2018-02-03",43
"2018-02-04",55
"2018-02-05",65
"2018-02-06",65
"2018-02-07",62
"2018-02-08",54
"2018-02-09",44
"2018-02-10",36
"2018-02-11",39
"2018-02-12",50
"2018-02-13",41
"2018-02-14",32
"2018-02-15",31
"2018-02-16",38
"2018-02-17",50
"2018-02-18",73
"2018-02-19",100
"2018-02-20",87
"2018-02-21",84
"2018-02-22",84
"2018-02-23",74
"2018-02-24",63
"2018-02-25",69
"2018-02-26",87
"2018-02-27",85
"2018-02-28",73
"2018-03-01",75
"2018-03-02",59
"2018-03-03",59
"2018-03-04",77
"2018-03-05",84
"2018-03-06",79
"2018-03-07",81
"2018-03-08",79
"2018-03-09",59
"2018-03-10",53
"2018-03-11",67
"2018-03-12",85
"2018-03-13",72
"2018-03-14",68
"2018-03-15",67
"2018-03-16",59
"2018-03-17",45
"2018-03-18",64
"2018-03-19",79
"2018-03-20",77
"2018-03-21",75
"2018-03-22",65
"2018-03-23",49
"2018-03-24",42
"2018-03-25",54
"2018-03-26",66
"2018-03-27",62
"2018-03-28",62
"2018-03-29",61
"2018-03-30",45
"2018-03-31",38
"2018-04-01",53
"2018-04-02",57
"2018-04-03",62
"2018-04-04",64
"2018-04-05",63
"2018-04-06",46
"2018-04-07",43
"2018-04-08",51
"2018-04-09",64
"2018-04-10",63
"2018-04-11",60
"2018-04-12",61
"2018-04-13",45
"2018-04-14",48
"2018-04-15",53
"2018-04-16",65
"2018-04-17",60
"2018-04-18",60
"2018-04-19",56
