네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시탭s3"
"2017-08-01",55
"2017-08-02",58
"2017-08-03",53
"2017-08-04",47
"2017-08-05",42
"2017-08-06",53
"2017-08-07",56
"2017-08-08",59
"2017-08-09",59
"2017-08-10",56
"2017-08-11",50
"2017-08-12",45
"2017-08-13",46
"2017-08-14",51
"2017-08-15",66
"2017-08-16",57
"2017-08-17",50
"2017-08-18",49
"2017-08-19",47
"2017-08-20",60
"2017-08-21",59
"2017-08-22",67
"2017-08-23",68
"2017-08-24",70
"2017-08-25",60
"2017-08-26",62
"2017-08-27",62
"2017-08-28",53
"2017-08-29",61
"2017-08-30",53
"2017-08-31",47
"2017-09-01",42
"2017-09-02",39
"2017-09-03",48
"2017-09-04",46
"2017-09-05",51
"2017-09-06",47
"2017-09-07",50
"2017-09-08",44
"2017-09-09",46
"2017-09-10",44
"2017-09-11",54
"2017-09-12",45
"2017-09-13",50
"2017-09-14",43
"2017-09-15",40
"2017-09-16",46
"2017-09-17",50
"2017-09-18",47
"2017-09-19",50
"2017-09-20",46
"2017-09-21",41
"2017-09-22",34
"2017-09-23",34
"2017-09-24",43
"2017-09-25",52
"2017-09-26",61
"2017-09-27",65
"2017-09-28",55
"2017-09-29",49
"2017-09-30",45
"2017-10-01",48
"2017-10-02",62
"2017-10-03",55
"2017-10-04",51
"2017-10-05",53
"2017-10-06",61
"2017-10-07",57
"2017-10-08",58
"2017-10-09",71
"2017-10-10",74
"2017-10-11",80
"2017-10-12",75
"2017-10-13",65
"2017-10-14",49
"2017-10-15",53
"2017-10-16",62
"2017-10-17",57
"2017-10-18",56
"2017-10-19",57
"2017-10-20",60
"2017-10-21",64
"2017-10-22",62
"2017-10-23",69
"2017-10-24",68
"2017-10-25",68
"2017-10-26",67
"2017-10-27",57
"2017-10-28",54
"2017-10-29",62
"2017-10-30",57
"2017-10-31",66
"2017-11-01",71
"2017-11-02",67
"2017-11-03",56
"2017-11-04",55
"2017-11-05",55
"2017-11-06",59
"2017-11-07",55
"2017-11-08",59
"2017-11-09",56
"2017-11-10",50
"2017-11-11",69
"2017-11-12",60
"2017-11-13",59
"2017-11-14",54
"2017-11-15",50
"2017-11-16",54
"2017-11-17",48
"2017-11-18",45
"2017-11-19",55
"2017-11-20",58
"2017-11-21",53
"2017-11-22",52
"2017-11-23",59
"2017-11-24",55
"2017-11-25",52
"2017-11-26",59
"2017-11-27",64
"2017-11-28",61
"2017-11-29",56
"2017-11-30",56
"2017-12-01",57
"2017-12-02",56
"2017-12-03",64
"2017-12-04",63
"2017-12-05",62
"2017-12-06",52
"2017-12-07",55
"2017-12-08",52
"2017-12-09",53
"2017-12-10",59
"2017-12-11",53
"2017-12-12",54
"2017-12-13",51
"2017-12-14",49
"2017-12-15",52
"2017-12-16",51
"2017-12-17",70
"2017-12-18",69
"2017-12-19",57
"2017-12-20",54
"2017-12-21",52
"2017-12-22",47
"2017-12-23",49
"2017-12-24",55
"2017-12-25",66
"2017-12-26",72
"2017-12-27",75
"2017-12-28",69
"2017-12-29",56
"2017-12-30",56
"2017-12-31",55
"2018-01-01",79
"2018-01-02",83
"2018-01-03",79
"2018-01-04",70
"2018-01-05",68
"2018-01-06",72
"2018-01-07",78
"2018-01-08",75
"2018-01-09",77
"2018-01-10",75
"2018-01-11",72
"2018-01-12",66
"2018-01-13",62
"2018-01-14",68
"2018-01-15",76
"2018-01-16",66
"2018-01-17",78
"2018-01-18",60
"2018-01-19",60
"2018-01-20",61
"2018-01-21",67
"2018-01-22",79
"2018-01-23",71
"2018-01-24",73
"2018-01-25",69
"2018-01-26",64
"2018-01-27",63
"2018-01-28",64
"2018-01-29",68
"2018-01-30",66
"2018-01-31",62
"2018-02-01",74
"2018-02-02",63
"2018-02-03",75
"2018-02-04",87
"2018-02-05",72
"2018-02-06",78
"2018-02-07",75
"2018-02-08",70
"2018-02-09",60
"2018-02-10",78
"2018-02-11",87
"2018-02-12",88
"2018-02-13",66
"2018-02-14",73
"2018-02-15",70
"2018-02-16",75
"2018-02-17",76
"2018-02-18",89
"2018-02-19",100
"2018-02-20",77
"2018-02-21",76
"2018-02-22",64
"2018-02-23",62
"2018-02-24",64
"2018-02-25",73
"2018-02-26",71
"2018-02-27",72
"2018-02-28",61
"2018-03-01",91
"2018-03-02",78
"2018-03-03",71
"2018-03-04",66
"2018-03-05",67
"2018-03-06",61
"2018-03-07",64
"2018-03-08",66
"2018-03-09",60
"2018-03-10",61
"2018-03-11",72
"2018-03-12",74
"2018-03-13",67
"2018-03-14",66
"2018-03-15",68
"2018-03-16",56
"2018-03-17",62
"2018-03-18",76
"2018-03-19",71
"2018-03-20",65
"2018-03-21",64
"2018-03-22",79
"2018-03-23",64
"2018-03-24",58
"2018-03-25",64
"2018-03-26",67
"2018-03-27",52
"2018-03-28",67
"2018-03-29",51
"2018-03-30",46
"2018-03-31",46
"2018-04-01",55
"2018-04-02",52
"2018-04-03",47
"2018-04-04",49
"2018-04-05",45
"2018-04-06",40
"2018-04-07",45
"2018-04-08",51
"2018-04-09",47
"2018-04-10",50
"2018-04-11",42
"2018-04-12",35
"2018-04-13",35
"2018-04-14",38
"2018-04-15",43
"2018-04-16",45
"2018-04-17",39
"2018-04-18",35
"2018-04-19",37
