네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블루투스키보드"
"2017-08-01",39
"2017-08-02",38
"2017-08-03",39
"2017-08-04",38
"2017-08-05",33
"2017-08-06",40
"2017-08-07",38
"2017-08-08",42
"2017-08-09",45
"2017-08-10",35
"2017-08-11",36
"2017-08-12",37
"2017-08-13",38
"2017-08-14",41
"2017-08-15",41
"2017-08-16",45
"2017-08-17",41
"2017-08-18",44
"2017-08-19",40
"2017-08-20",46
"2017-08-21",47
"2017-08-22",47
"2017-08-23",53
"2017-08-24",41
"2017-08-25",43
"2017-08-26",35
"2017-08-27",49
"2017-08-28",45
"2017-08-29",49
"2017-08-30",45
"2017-08-31",41
"2017-09-01",43
"2017-09-02",37
"2017-09-03",49
"2017-09-04",51
"2017-09-05",48
"2017-09-06",50
"2017-09-07",43
"2017-09-08",40
"2017-09-09",33
"2017-09-10",43
"2017-09-11",45
"2017-09-12",45
"2017-09-13",41
"2017-09-14",43
"2017-09-15",35
"2017-09-16",37
"2017-09-17",35
"2017-09-18",39
"2017-09-19",44
"2017-09-20",39
"2017-09-21",37
"2017-09-22",31
"2017-09-23",29
"2017-09-24",33
"2017-09-25",47
"2017-09-26",57
"2017-09-27",46
"2017-09-28",47
"2017-09-29",42
"2017-09-30",38
"2017-10-01",40
"2017-10-02",36
"2017-10-03",41
"2017-10-04",36
"2017-10-05",37
"2017-10-06",40
"2017-10-07",42
"2017-10-08",47
"2017-10-09",66
"2017-10-10",63
"2017-10-11",58
"2017-10-12",66
"2017-10-13",53
"2017-10-14",48
"2017-10-15",54
"2017-10-16",51
"2017-10-17",61
"2017-10-18",60
"2017-10-19",52
"2017-10-20",41
"2017-10-21",43
"2017-10-22",56
"2017-10-23",60
"2017-10-24",59
"2017-10-25",52
"2017-10-26",49
"2017-10-27",43
"2017-10-28",37
"2017-10-29",49
"2017-10-30",47
"2017-10-31",51
"2017-11-01",53
"2017-11-02",52
"2017-11-03",52
"2017-11-04",44
"2017-11-05",52
"2017-11-06",55
"2017-11-07",53
"2017-11-08",56
"2017-11-09",53
"2017-11-10",47
"2017-11-11",40
"2017-11-12",58
"2017-11-13",53
"2017-11-14",57
"2017-11-15",57
"2017-11-16",54
"2017-11-17",46
"2017-11-18",41
"2017-11-19",49
"2017-11-20",60
"2017-11-21",56
"2017-11-22",55
"2017-11-23",51
"2017-11-24",47
"2017-11-25",50
"2017-11-26",60
"2017-11-27",64
"2017-11-28",54
"2017-11-29",53
"2017-11-30",57
"2017-12-01",42
"2017-12-02",48
"2017-12-03",59
"2017-12-04",57
"2017-12-05",58
"2017-12-06",60
"2017-12-07",54
"2017-12-08",50
"2017-12-09",50
"2017-12-10",56
"2017-12-11",62
"2017-12-12",56
"2017-12-13",53
"2017-12-14",59
"2017-12-15",50
"2017-12-16",48
"2017-12-17",68
"2017-12-18",69
"2017-12-19",56
"2017-12-20",54
"2017-12-21",49
"2017-12-22",48
"2017-12-23",48
"2017-12-24",48
"2017-12-25",59
"2017-12-26",69
"2017-12-27",58
"2017-12-28",60
"2017-12-29",54
"2017-12-30",57
"2017-12-31",58
"2018-01-01",66
"2018-01-02",69
"2018-01-03",72
"2018-01-04",75
"2018-01-05",58
"2018-01-06",55
"2018-01-07",70
"2018-01-08",68
"2018-01-09",70
"2018-01-10",64
"2018-01-11",66
"2018-01-12",61
"2018-01-13",57
"2018-01-14",66
"2018-01-15",75
"2018-01-16",75
"2018-01-17",71
"2018-01-18",64
"2018-01-19",58
"2018-01-20",51
"2018-01-21",62
"2018-01-22",77
"2018-01-23",71
"2018-01-24",79
"2018-01-25",84
"2018-01-26",71
"2018-01-27",59
"2018-01-28",80
"2018-01-29",77
"2018-01-30",78
"2018-01-31",73
"2018-02-01",79
"2018-02-02",67
"2018-02-03",61
"2018-02-04",69
"2018-02-05",77
"2018-02-06",81
"2018-02-07",70
"2018-02-08",62
"2018-02-09",68
"2018-02-10",67
"2018-02-11",68
"2018-02-12",76
"2018-02-13",63
"2018-02-14",61
"2018-02-15",54
"2018-02-16",54
"2018-02-17",56
"2018-02-18",78
"2018-02-19",93
"2018-02-20",87
"2018-02-21",81
"2018-02-22",83
"2018-02-23",74
"2018-02-24",75
"2018-02-25",80
"2018-02-26",85
"2018-02-27",86
"2018-02-28",83
"2018-03-01",88
"2018-03-02",78
"2018-03-03",74
"2018-03-04",80
"2018-03-05",84
"2018-03-06",83
"2018-03-07",100
"2018-03-08",87
"2018-03-09",77
"2018-03-10",81
"2018-03-11",91
"2018-03-12",92
"2018-03-13",82
"2018-03-14",83
"2018-03-15",94
"2018-03-16",69
"2018-03-17",68
"2018-03-18",90
"2018-03-19",93
"2018-03-20",86
"2018-03-21",85
"2018-03-22",83
"2018-03-23",78
"2018-03-24",61
"2018-03-25",84
"2018-03-26",91
"2018-03-27",69
"2018-03-28",71
"2018-03-29",70
"2018-03-30",73
"2018-03-31",66
"2018-04-01",80
"2018-04-02",75
"2018-04-03",76
"2018-04-04",73
"2018-04-05",73
"2018-04-06",65
"2018-04-07",59
"2018-04-08",78
"2018-04-09",77
"2018-04-10",79
"2018-04-11",76
"2018-04-12",61
"2018-04-13",58
"2018-04-14",60
"2018-04-15",62
"2018-04-16",72
"2018-04-17",60
"2018-04-18",77
"2018-04-19",62
