네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","커피머신"
"2017-08-01",22
"2017-08-02",21
"2017-08-03",20
"2017-08-04",20
"2017-08-05",20
"2017-08-06",32
"2017-08-07",27
"2017-08-08",27
"2017-08-09",25
"2017-08-10",25
"2017-08-11",19
"2017-08-12",23
"2017-08-13",28
"2017-08-14",25
"2017-08-15",34
"2017-08-16",27
"2017-08-17",23
"2017-08-18",22
"2017-08-19",24
"2017-08-20",34
"2017-08-21",29
"2017-08-22",24
"2017-08-23",23
"2017-08-24",25
"2017-08-25",18
"2017-08-26",22
"2017-08-27",28
"2017-08-28",21
"2017-08-29",25
"2017-08-30",19
"2017-08-31",19
"2017-09-01",21
"2017-09-02",22
"2017-09-03",26
"2017-09-04",21
"2017-09-05",24
"2017-09-06",23
"2017-09-07",21
"2017-09-08",20
"2017-09-09",25
"2017-09-10",33
"2017-09-11",26
"2017-09-12",24
"2017-09-13",24
"2017-09-14",21
"2017-09-15",21
"2017-09-16",23
"2017-09-17",25
"2017-09-18",23
"2017-09-19",25
"2017-09-20",20
"2017-09-21",25
"2017-09-22",19
"2017-09-23",20
"2017-09-24",31
"2017-09-25",29
"2017-09-26",33
"2017-09-27",28
"2017-09-28",26
"2017-09-29",23
"2017-09-30",26
"2017-10-01",34
"2017-10-02",30
"2017-10-03",27
"2017-10-04",28
"2017-10-05",37
"2017-10-06",41
"2017-10-07",34
"2017-10-08",35
"2017-10-09",45
"2017-10-10",34
"2017-10-11",34
"2017-10-12",30
"2017-10-13",30
"2017-10-14",30
"2017-10-15",37
"2017-10-16",32
"2017-10-17",33
"2017-10-18",32
"2017-10-19",30
"2017-10-20",27
"2017-10-21",27
"2017-10-22",44
"2017-10-23",30
"2017-10-24",31
"2017-10-25",28
"2017-10-26",31
"2017-10-27",26
"2017-10-28",28
"2017-10-29",36
"2017-10-30",35
"2017-10-31",29
"2017-11-01",31
"2017-11-02",31
"2017-11-03",27
"2017-11-04",29
"2017-11-05",38
"2017-11-06",31
"2017-11-07",33
"2017-11-08",33
"2017-11-09",31
"2017-11-10",29
"2017-11-11",32
"2017-11-12",40
"2017-11-13",29
"2017-11-14",31
"2017-11-15",28
"2017-11-16",28
"2017-11-17",27
"2017-11-18",30
"2017-11-19",40
"2017-11-20",32
"2017-11-21",30
"2017-11-22",34
"2017-11-23",35
"2017-11-24",32
"2017-11-25",35
"2017-11-26",39
"2017-11-27",37
"2017-11-28",30
"2017-11-29",31
"2017-11-30",32
"2017-12-01",32
"2017-12-02",35
"2017-12-03",47
"2017-12-04",39
"2017-12-05",44
"2017-12-06",39
"2017-12-07",37
"2017-12-08",35
"2017-12-09",38
"2017-12-10",47
"2017-12-11",40
"2017-12-12",38
"2017-12-13",39
"2017-12-14",38
"2017-12-15",34
"2017-12-16",36
"2017-12-17",49
"2017-12-18",40
"2017-12-19",38
"2017-12-20",34
"2017-12-21",34
"2017-12-22",30
"2017-12-23",36
"2017-12-24",45
"2017-12-25",46
"2017-12-26",37
"2017-12-27",39
"2017-12-28",36
"2017-12-29",29
"2017-12-30",41
"2017-12-31",35
"2018-01-01",45
"2018-01-02",46
"2018-01-03",45
"2018-01-04",39
"2018-01-05",37
"2018-01-06",45
"2018-01-07",50
"2018-01-08",47
"2018-01-09",53
"2018-01-10",45
"2018-01-11",50
"2018-01-12",51
"2018-01-13",71
"2018-01-14",72
"2018-01-15",55
"2018-01-16",59
"2018-01-17",64
"2018-01-18",69
"2018-01-19",63
"2018-01-20",68
"2018-01-21",91
"2018-01-22",65
"2018-01-23",75
"2018-01-24",66
"2018-01-25",64
"2018-01-26",59
"2018-01-27",66
"2018-01-28",91
"2018-01-29",71
"2018-01-30",74
"2018-01-31",68
"2018-02-01",67
"2018-02-02",50
"2018-02-03",65
"2018-02-04",100
"2018-02-05",76
"2018-02-06",68
"2018-02-07",65
"2018-02-08",58
"2018-02-09",52
"2018-02-10",58
"2018-02-11",89
"2018-02-12",71
"2018-02-13",52
"2018-02-14",44
"2018-02-15",52
"2018-02-16",60
"2018-02-17",73
"2018-02-18",86
"2018-02-19",73
"2018-02-20",64
"2018-02-21",56
"2018-02-22",60
"2018-02-23",55
"2018-02-24",63
"2018-02-25",82
"2018-02-26",66
"2018-02-27",64
"2018-02-28",67
"2018-03-01",80
"2018-03-02",62
"2018-03-03",66
"2018-03-04",86
"2018-03-05",66
"2018-03-06",64
"2018-03-07",72
"2018-03-08",71
"2018-03-09",54
"2018-03-10",66
"2018-03-11",83
"2018-03-12",71
"2018-03-13",63
"2018-03-14",61
"2018-03-15",64
"2018-03-16",55
"2018-03-17",64
"2018-03-18",88
"2018-03-19",72
"2018-03-20",63
"2018-03-21",63
"2018-03-22",56
"2018-03-23",65
"2018-03-24",74
"2018-03-25",86
"2018-03-26",62
"2018-03-27",60
"2018-03-28",55
"2018-03-29",52
"2018-03-30",47
"2018-03-31",47
"2018-04-01",53
"2018-04-02",43
"2018-04-03",41
"2018-04-04",47
"2018-04-05",54
"2018-04-06",47
"2018-04-07",52
"2018-04-08",58
"2018-04-09",50
"2018-04-10",47
"2018-04-11",46
"2018-04-12",46
"2018-04-13",40
"2018-04-14",49
"2018-04-15",56
"2018-04-16",51
"2018-04-17",50
"2018-04-18",51
"2018-04-19",47
