네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","무선청소기"
"2017-08-01",42
"2017-08-02",41
"2017-08-03",41
"2017-08-04",40
"2017-08-05",43
"2017-08-06",56
"2017-08-07",47
"2017-08-08",45
"2017-08-09",43
"2017-08-10",43
"2017-08-11",38
"2017-08-12",44
"2017-08-13",60
"2017-08-14",51
"2017-08-15",59
"2017-08-16",47
"2017-08-17",52
"2017-08-18",36
"2017-08-19",42
"2017-08-20",64
"2017-08-21",50
"2017-08-22",44
"2017-08-23",46
"2017-08-24",39
"2017-08-25",34
"2017-08-26",39
"2017-08-27",53
"2017-08-28",41
"2017-08-29",41
"2017-08-30",34
"2017-08-31",33
"2017-09-01",30
"2017-09-02",31
"2017-09-03",51
"2017-09-04",43
"2017-09-05",34
"2017-09-06",31
"2017-09-07",32
"2017-09-08",30
"2017-09-09",35
"2017-09-10",50
"2017-09-11",42
"2017-09-12",37
"2017-09-13",37
"2017-09-14",34
"2017-09-15",30
"2017-09-16",34
"2017-09-17",48
"2017-09-18",39
"2017-09-19",42
"2017-09-20",37
"2017-09-21",34
"2017-09-22",25
"2017-09-23",32
"2017-09-24",47
"2017-09-25",39
"2017-09-26",43
"2017-09-27",39
"2017-09-28",30
"2017-09-29",34
"2017-09-30",42
"2017-10-01",56
"2017-10-02",49
"2017-10-03",54
"2017-10-04",57
"2017-10-05",70
"2017-10-06",77
"2017-10-07",80
"2017-10-08",87
"2017-10-09",99
"2017-10-10",84
"2017-10-11",73
"2017-10-12",62
"2017-10-13",50
"2017-10-14",56
"2017-10-15",77
"2017-10-16",72
"2017-10-17",60
"2017-10-18",64
"2017-10-19",59
"2017-10-20",50
"2017-10-21",63
"2017-10-22",89
"2017-10-23",72
"2017-10-24",63
"2017-10-25",58
"2017-10-26",54
"2017-10-27",49
"2017-10-28",63
"2017-10-29",88
"2017-10-30",67
"2017-10-31",54
"2017-11-01",52
"2017-11-02",52
"2017-11-03",49
"2017-11-04",55
"2017-11-05",87
"2017-11-06",67
"2017-11-07",53
"2017-11-08",52
"2017-11-09",47
"2017-11-10",52
"2017-11-11",62
"2017-11-12",85
"2017-11-13",61
"2017-11-14",61
"2017-11-15",49
"2017-11-16",44
"2017-11-17",40
"2017-11-18",49
"2017-11-19",80
"2017-11-20",60
"2017-11-21",51
"2017-11-22",52
"2017-11-23",48
"2017-11-24",49
"2017-11-25",54
"2017-11-26",74
"2017-11-27",59
"2017-11-28",53
"2017-11-29",48
"2017-11-30",44
"2017-12-01",39
"2017-12-02",49
"2017-12-03",67
"2017-12-04",51
"2017-12-05",47
"2017-12-06",46
"2017-12-07",44
"2017-12-08",49
"2017-12-09",48
"2017-12-10",66
"2017-12-11",51
"2017-12-12",50
"2017-12-13",49
"2017-12-14",46
"2017-12-15",41
"2017-12-16",51
"2017-12-17",69
"2017-12-18",48
"2017-12-19",47
"2017-12-20",42
"2017-12-21",39
"2017-12-22",32
"2017-12-23",44
"2017-12-24",51
"2017-12-25",66
"2017-12-26",54
"2017-12-27",46
"2017-12-28",42
"2017-12-29",39
"2017-12-30",45
"2017-12-31",54
"2018-01-01",69
"2018-01-02",58
"2018-01-03",52
"2018-01-04",50
"2018-01-05",43
"2018-01-06",54
"2018-01-07",73
"2018-01-08",59
"2018-01-09",52
"2018-01-10",44
"2018-01-11",46
"2018-01-12",41
"2018-01-13",52
"2018-01-14",73
"2018-01-15",61
"2018-01-16",51
"2018-01-17",46
"2018-01-18",46
"2018-01-19",39
"2018-01-20",48
"2018-01-21",88
"2018-01-22",58
"2018-01-23",50
"2018-01-24",45
"2018-01-25",48
"2018-01-26",43
"2018-01-27",50
"2018-01-28",67
"2018-01-29",55
"2018-01-30",47
"2018-01-31",44
"2018-02-01",50
"2018-02-02",46
"2018-02-03",53
"2018-02-04",83
"2018-02-05",70
"2018-02-06",64
"2018-02-07",55
"2018-02-08",55
"2018-02-09",45
"2018-02-10",56
"2018-02-11",76
"2018-02-12",49
"2018-02-13",50
"2018-02-14",44
"2018-02-15",56
"2018-02-16",56
"2018-02-17",85
"2018-02-18",100
"2018-02-19",75
"2018-02-20",65
"2018-02-21",64
"2018-02-22",58
"2018-02-23",47
"2018-02-24",59
"2018-02-25",79
"2018-02-26",70
"2018-02-27",57
"2018-02-28",60
"2018-03-01",74
"2018-03-02",51
"2018-03-03",57
"2018-03-04",77
"2018-03-05",65
"2018-03-06",51
"2018-03-07",54
"2018-03-08",55
"2018-03-09",50
"2018-03-10",65
"2018-03-11",80
"2018-03-12",62
"2018-03-13",59
"2018-03-14",50
"2018-03-15",43
"2018-03-16",38
"2018-03-17",44
"2018-03-18",62
"2018-03-19",50
"2018-03-20",47
"2018-03-21",45
"2018-03-22",46
"2018-03-23",39
"2018-03-24",42
"2018-03-25",68
"2018-03-26",57
"2018-03-27",44
"2018-03-28",41
"2018-03-29",42
"2018-03-30",36
"2018-03-31",41
"2018-04-01",57
"2018-04-02",51
"2018-04-03",43
"2018-04-04",40
"2018-04-05",39
"2018-04-06",37
"2018-04-07",43
"2018-04-08",53
"2018-04-09",45
"2018-04-10",44
"2018-04-11",41
"2018-04-12",38
"2018-04-13",34
"2018-04-14",47
"2018-04-15",60
"2018-04-16",48
"2018-04-17",38
"2018-04-18",36
"2018-04-19",34
