네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","일렉트로룩스무선청소기"
"2017-08-01",37
"2017-08-02",28
"2017-08-03",31
"2017-08-04",28
"2017-08-05",30
"2017-08-06",41
"2017-08-07",35
"2017-08-08",34
"2017-08-09",28
"2017-08-10",30
"2017-08-11",29
"2017-08-12",46
"2017-08-13",34
"2017-08-14",35
"2017-08-15",39
"2017-08-16",38
"2017-08-17",30
"2017-08-18",24
"2017-08-19",28
"2017-08-20",44
"2017-08-21",42
"2017-08-22",40
"2017-08-23",35
"2017-08-24",29
"2017-08-25",29
"2017-08-26",29
"2017-08-27",37
"2017-08-28",32
"2017-08-29",29
"2017-08-30",28
"2017-08-31",28
"2017-09-01",25
"2017-09-02",34
"2017-09-03",36
"2017-09-04",37
"2017-09-05",30
"2017-09-06",30
"2017-09-07",27
"2017-09-08",24
"2017-09-09",29
"2017-09-10",48
"2017-09-11",38
"2017-09-12",32
"2017-09-13",26
"2017-09-14",25
"2017-09-15",22
"2017-09-16",28
"2017-09-17",36
"2017-09-18",33
"2017-09-19",32
"2017-09-20",27
"2017-09-21",26
"2017-09-22",22
"2017-09-23",26
"2017-09-24",35
"2017-09-25",43
"2017-09-26",48
"2017-09-27",40
"2017-09-28",34
"2017-09-29",31
"2017-09-30",37
"2017-10-01",66
"2017-10-02",50
"2017-10-03",45
"2017-10-04",53
"2017-10-05",58
"2017-10-06",70
"2017-10-07",100
"2017-10-08",77
"2017-10-09",91
"2017-10-10",80
"2017-10-11",69
"2017-10-12",62
"2017-10-13",51
"2017-10-14",54
"2017-10-15",63
"2017-10-16",70
"2017-10-17",61
"2017-10-18",60
"2017-10-19",49
"2017-10-20",47
"2017-10-21",52
"2017-10-22",70
"2017-10-23",64
"2017-10-24",56
"2017-10-25",49
"2017-10-26",47
"2017-10-27",49
"2017-10-28",47
"2017-10-29",60
"2017-10-30",54
"2017-10-31",42
"2017-11-01",50
"2017-11-02",45
"2017-11-03",39
"2017-11-04",43
"2017-11-05",62
"2017-11-06",55
"2017-11-07",49
"2017-11-08",44
"2017-11-09",44
"2017-11-10",37
"2017-11-11",45
"2017-11-12",50
"2017-11-13",44
"2017-11-14",43
"2017-11-15",36
"2017-11-16",35
"2017-11-17",32
"2017-11-18",41
"2017-11-19",54
"2017-11-20",45
"2017-11-21",38
"2017-11-22",44
"2017-11-23",45
"2017-11-24",40
"2017-11-25",46
"2017-11-26",51
"2017-11-27",50
"2017-11-28",45
"2017-11-29",42
"2017-11-30",37
"2017-12-01",35
"2017-12-02",45
"2017-12-03",44
"2017-12-04",45
"2017-12-05",40
"2017-12-06",36
"2017-12-07",36
"2017-12-08",31
"2017-12-09",35
"2017-12-10",40
"2017-12-11",47
"2017-12-12",46
"2017-12-13",44
"2017-12-14",37
"2017-12-15",30
"2017-12-16",32
"2017-12-17",51
"2017-12-18",44
"2017-12-19",36
"2017-12-20",33
"2017-12-21",28
"2017-12-22",29
"2017-12-23",33
"2017-12-24",38
"2017-12-25",40
"2017-12-26",53
"2017-12-27",37
"2017-12-28",31
"2017-12-29",36
"2017-12-30",48
"2017-12-31",42
"2018-01-01",58
"2018-01-02",59
"2018-01-03",48
"2018-01-04",46
"2018-01-05",39
"2018-01-06",54
"2018-01-07",59
"2018-01-08",46
"2018-01-09",42
"2018-01-10",38
"2018-01-11",41
"2018-01-12",32
"2018-01-13",38
"2018-01-14",58
"2018-01-15",46
"2018-01-16",44
"2018-01-17",44
"2018-01-18",45
"2018-01-19",34
"2018-01-20",47
"2018-01-21",67
"2018-01-22",49
"2018-01-23",46
"2018-01-24",38
"2018-01-25",38
"2018-01-26",34
"2018-01-27",51
"2018-01-28",49
"2018-01-29",46
"2018-01-30",42
"2018-01-31",32
"2018-02-01",36
"2018-02-02",34
"2018-02-03",42
"2018-02-04",59
"2018-02-05",52
"2018-02-06",37
"2018-02-07",42
"2018-02-08",38
"2018-02-09",28
"2018-02-10",29
"2018-02-11",42
"2018-02-12",40
"2018-02-13",28
"2018-02-14",24
"2018-02-15",39
"2018-02-16",42
"2018-02-17",64
"2018-02-18",70
"2018-02-19",69
"2018-02-20",47
"2018-02-21",49
"2018-02-22",41
"2018-02-23",38
"2018-02-24",64
"2018-02-25",62
"2018-02-26",53
"2018-02-27",44
"2018-02-28",70
"2018-03-01",78
"2018-03-02",53
"2018-03-03",58
"2018-03-04",90
"2018-03-05",63
"2018-03-06",51
"2018-03-07",51
"2018-03-08",53
"2018-03-09",44
"2018-03-10",65
"2018-03-11",67
"2018-03-12",60
"2018-03-13",46
"2018-03-14",73
"2018-03-15",53
"2018-03-16",43
"2018-03-17",48
"2018-03-18",70
"2018-03-19",54
"2018-03-20",52
"2018-03-21",54
"2018-03-22",54
"2018-03-23",40
"2018-03-24",50
"2018-03-25",62
"2018-03-26",60
"2018-03-27",48
"2018-03-28",46
"2018-03-29",50
"2018-03-30",40
"2018-03-31",51
"2018-04-01",69
"2018-04-02",52
"2018-04-03",45
"2018-04-04",41
"2018-04-05",40
"2018-04-06",37
"2018-04-07",63
"2018-04-08",61
"2018-04-09",59
"2018-04-10",50
"2018-04-11",54
"2018-04-12",52
"2018-04-13",45
"2018-04-14",62
"2018-04-15",70
"2018-04-16",63
"2018-04-17",58
"2018-04-18",52
"2018-04-19",40
