네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","드럼세탁기"
"2017-08-01",31
"2017-08-02",32
"2017-08-03",33
"2017-08-04",31
"2017-08-05",34
"2017-08-06",35
"2017-08-07",31
"2017-08-08",34
"2017-08-09",31
"2017-08-10",31
"2017-08-11",30
"2017-08-12",33
"2017-08-13",43
"2017-08-14",32
"2017-08-15",49
"2017-08-16",40
"2017-08-17",29
"2017-08-18",30
"2017-08-19",31
"2017-08-20",39
"2017-08-21",38
"2017-08-22",40
"2017-08-23",35
"2017-08-24",37
"2017-08-25",35
"2017-08-26",36
"2017-08-27",37
"2017-08-28",37
"2017-08-29",34
"2017-08-30",28
"2017-08-31",32
"2017-09-01",30
"2017-09-02",33
"2017-09-03",40
"2017-09-04",34
"2017-09-05",34
"2017-09-06",31
"2017-09-07",35
"2017-09-08",27
"2017-09-09",30
"2017-09-10",40
"2017-09-11",37
"2017-09-12",32
"2017-09-13",31
"2017-09-14",28
"2017-09-15",30
"2017-09-16",30
"2017-09-17",39
"2017-09-18",37
"2017-09-19",32
"2017-09-20",31
"2017-09-21",28
"2017-09-22",27
"2017-09-23",25
"2017-09-24",34
"2017-09-25",33
"2017-09-26",39
"2017-09-27",31
"2017-09-28",34
"2017-09-29",34
"2017-09-30",36
"2017-10-01",43
"2017-10-02",38
"2017-10-03",35
"2017-10-04",35
"2017-10-05",47
"2017-10-06",65
"2017-10-07",62
"2017-10-08",64
"2017-10-09",62
"2017-10-10",60
"2017-10-11",52
"2017-10-12",46
"2017-10-13",40
"2017-10-14",52
"2017-10-15",50
"2017-10-16",51
"2017-10-17",52
"2017-10-18",49
"2017-10-19",46
"2017-10-20",43
"2017-10-21",43
"2017-10-22",56
"2017-10-23",54
"2017-10-24",46
"2017-10-25",40
"2017-10-26",41
"2017-10-27",38
"2017-10-28",45
"2017-10-29",51
"2017-10-30",52
"2017-10-31",40
"2017-11-01",42
"2017-11-02",43
"2017-11-03",44
"2017-11-04",51
"2017-11-05",50
"2017-11-06",51
"2017-11-07",46
"2017-11-08",44
"2017-11-09",51
"2017-11-10",40
"2017-11-11",53
"2017-11-12",57
"2017-11-13",51
"2017-11-14",47
"2017-11-15",46
"2017-11-16",35
"2017-11-17",34
"2017-11-18",43
"2017-11-19",55
"2017-11-20",53
"2017-11-21",48
"2017-11-22",49
"2017-11-23",42
"2017-11-24",34
"2017-11-25",41
"2017-11-26",52
"2017-11-27",42
"2017-11-28",48
"2017-11-29",42
"2017-11-30",41
"2017-12-01",41
"2017-12-02",51
"2017-12-03",59
"2017-12-04",51
"2017-12-05",49
"2017-12-06",38
"2017-12-07",42
"2017-12-08",35
"2017-12-09",46
"2017-12-10",59
"2017-12-11",55
"2017-12-12",46
"2017-12-13",45
"2017-12-14",40
"2017-12-15",37
"2017-12-16",47
"2017-12-17",54
"2017-12-18",51
"2017-12-19",48
"2017-12-20",43
"2017-12-21",39
"2017-12-22",44
"2017-12-23",43
"2017-12-24",51
"2017-12-25",58
"2017-12-26",49
"2017-12-27",47
"2017-12-28",43
"2017-12-29",44
"2017-12-30",53
"2017-12-31",54
"2018-01-01",58
"2018-01-02",59
"2018-01-03",59
"2018-01-04",47
"2018-01-05",38
"2018-01-06",48
"2018-01-07",61
"2018-01-08",53
"2018-01-09",41
"2018-01-10",42
"2018-01-11",43
"2018-01-12",43
"2018-01-13",55
"2018-01-14",63
"2018-01-15",54
"2018-01-16",54
"2018-01-17",52
"2018-01-18",51
"2018-01-19",42
"2018-01-20",64
"2018-01-21",67
"2018-01-22",58
"2018-01-23",58
"2018-01-24",52
"2018-01-25",60
"2018-01-26",57
"2018-01-27",79
"2018-01-28",100
"2018-01-29",76
"2018-01-30",67
"2018-01-31",70
"2018-02-01",61
"2018-02-02",53
"2018-02-03",74
"2018-02-04",73
"2018-02-05",59
"2018-02-06",56
"2018-02-07",60
"2018-02-08",54
"2018-02-09",46
"2018-02-10",58
"2018-02-11",62
"2018-02-12",58
"2018-02-13",56
"2018-02-14",50
"2018-02-15",48
"2018-02-16",49
"2018-02-17",67
"2018-02-18",80
"2018-02-19",78
"2018-02-20",55
"2018-02-21",51
"2018-02-22",54
"2018-02-23",53
"2018-02-24",60
"2018-02-25",69
"2018-02-26",65
"2018-02-27",54
"2018-02-28",49
"2018-03-01",65
"2018-03-02",60
"2018-03-03",61
"2018-03-04",68
"2018-03-05",63
"2018-03-06",51
"2018-03-07",60
"2018-03-08",51
"2018-03-09",41
"2018-03-10",61
"2018-03-11",59
"2018-03-12",60
"2018-03-13",57
"2018-03-14",54
"2018-03-15",47
"2018-03-16",47
"2018-03-17",50
"2018-03-18",67
"2018-03-19",58
"2018-03-20",61
"2018-03-21",48
"2018-03-22",49
"2018-03-23",45
"2018-03-24",53
"2018-03-25",74
"2018-03-26",65
"2018-03-27",55
"2018-03-28",54
"2018-03-29",51
"2018-03-30",43
"2018-03-31",55
"2018-04-01",76
"2018-04-02",70
"2018-04-03",62
"2018-04-04",63
"2018-04-05",57
"2018-04-06",55
"2018-04-07",57
"2018-04-08",68
"2018-04-09",60
"2018-04-10",58
"2018-04-11",55
"2018-04-12",55
"2018-04-13",47
"2018-04-14",58
"2018-04-15",64
"2018-04-16",63
"2018-04-17",53
"2018-04-18",53
"2018-04-19",52
