네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시노트8케이스"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",
"2017-08-21",
"2017-08-22",
"2017-08-23",1
"2017-08-24",3
"2017-08-25",8
"2017-08-26",8
"2017-08-27",11
"2017-08-28",13
"2017-08-29",13
"2017-08-30",11
"2017-08-31",10
"2017-09-01",9
"2017-09-02",9
"2017-09-03",13
"2017-09-04",14
"2017-09-05",17
"2017-09-06",17
"2017-09-07",31
"2017-09-08",37
"2017-09-09",37
"2017-09-10",40
"2017-09-11",49
"2017-09-12",62
"2017-09-13",74
"2017-09-14",88
"2017-09-15",87
"2017-09-16",82
"2017-09-17",80
"2017-09-18",100
"2017-09-19",97
"2017-09-20",83
"2017-09-21",77
"2017-09-22",64
"2017-09-23",60
"2017-09-24",71
"2017-09-25",87
"2017-09-26",89
"2017-09-27",85
"2017-09-28",71
"2017-09-29",57
"2017-09-30",54
"2017-10-01",50
"2017-10-02",58
"2017-10-03",57
"2017-10-04",49
"2017-10-05",53
"2017-10-06",63
"2017-10-07",67
"2017-10-08",66
"2017-10-09",90
"2017-10-10",92
"2017-10-11",92
"2017-10-12",91
"2017-10-13",72
"2017-10-14",68
"2017-10-15",80
"2017-10-16",86
"2017-10-17",83
"2017-10-18",83
"2017-10-19",74
"2017-10-20",59
"2017-10-21",56
"2017-10-22",66
"2017-10-23",74
"2017-10-24",74
"2017-10-25",67
"2017-10-26",65
"2017-10-27",57
"2017-10-28",52
"2017-10-29",63
"2017-10-30",67
"2017-10-31",65
"2017-11-01",69
"2017-11-02",66
"2017-11-03",58
"2017-11-04",62
"2017-11-05",72
"2017-11-06",82
"2017-11-07",82
"2017-11-08",79
"2017-11-09",71
"2017-11-10",63
"2017-11-11",63
"2017-11-12",74
"2017-11-13",76
"2017-11-14",73
"2017-11-15",68
"2017-11-16",67
"2017-11-17",56
"2017-11-18",57
"2017-11-19",63
"2017-11-20",67
"2017-11-21",68
"2017-11-22",64
"2017-11-23",56
"2017-11-24",51
"2017-11-25",53
"2017-11-26",62
"2017-11-27",68
"2017-11-28",69
"2017-11-29",66
"2017-11-30",63
"2017-12-01",59
"2017-12-02",74
"2017-12-03",78
"2017-12-04",70
"2017-12-05",64
"2017-12-06",63
"2017-12-07",56
"2017-12-08",42
"2017-12-09",47
"2017-12-10",61
"2017-12-11",52
"2017-12-12",47
"2017-12-13",50
"2017-12-14",41
"2017-12-15",40
"2017-12-16",41
"2017-12-17",48
"2017-12-18",46
"2017-12-19",43
"2017-12-20",45
"2017-12-21",43
"2017-12-22",34
"2017-12-23",34
"2017-12-24",36
"2017-12-25",45
"2017-12-26",49
"2017-12-27",46
"2017-12-28",48
"2017-12-29",43
"2017-12-30",45
"2017-12-31",42
"2018-01-01",57
"2018-01-02",62
"2018-01-03",62
"2018-01-04",58
"2018-01-05",48
"2018-01-06",60
"2018-01-07",70
"2018-01-08",59
"2018-01-09",64
"2018-01-10",56
"2018-01-11",51
"2018-01-12",49
"2018-01-13",58
"2018-01-14",68
"2018-01-15",60
"2018-01-16",57
"2018-01-17",59
"2018-01-18",52
"2018-01-19",49
"2018-01-20",50
"2018-01-21",60
"2018-01-22",52
"2018-01-23",54
"2018-01-24",53
"2018-01-25",52
"2018-01-26",41
"2018-01-27",44
"2018-01-28",53
"2018-01-29",48
"2018-01-30",52
"2018-01-31",50
"2018-02-01",49
"2018-02-02",42
"2018-02-03",49
"2018-02-04",55
"2018-02-05",49
"2018-02-06",49
"2018-02-07",50
"2018-02-08",50
"2018-02-09",39
"2018-02-10",42
"2018-02-11",54
"2018-02-12",45
"2018-02-13",39
"2018-02-14",34
"2018-02-15",39
"2018-02-16",39
"2018-02-17",43
"2018-02-18",54
"2018-02-19",53
"2018-02-20",49
"2018-02-21",49
"2018-02-22",52
"2018-02-23",43
"2018-02-24",45
"2018-02-25",48
"2018-02-26",50
"2018-02-27",48
"2018-02-28",45
"2018-03-01",49
"2018-03-02",42
"2018-03-03",42
"2018-03-04",51
"2018-03-05",44
"2018-03-06",45
"2018-03-07",46
"2018-03-08",42
"2018-03-09",36
"2018-03-10",38
"2018-03-11",49
"2018-03-12",41
"2018-03-13",43
"2018-03-14",39
"2018-03-15",42
"2018-03-16",38
"2018-03-17",39
"2018-03-18",47
"2018-03-19",43
"2018-03-20",40
"2018-03-21",38
"2018-03-22",34
"2018-03-23",31
"2018-03-24",36
"2018-03-25",40
"2018-03-26",36
"2018-03-27",29
"2018-03-28",34
"2018-03-29",32
"2018-03-30",29
"2018-03-31",31
"2018-04-01",35
"2018-04-02",33
"2018-04-03",33
"2018-04-04",34
"2018-04-05",32
"2018-04-06",29
"2018-04-07",29
"2018-04-08",39
"2018-04-09",32
"2018-04-10",34
"2018-04-11",32
"2018-04-12",30
"2018-04-13",24
"2018-04-14",34
"2018-04-15",36
"2018-04-16",31
"2018-04-17",31
"2018-04-18",29
"2018-04-19",27
