네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s8플러스"
"2017-08-01",37
"2017-08-02",37
"2017-08-03",40
"2017-08-04",33
"2017-08-05",43
"2017-08-06",43
"2017-08-07",44
"2017-08-08",39
"2017-08-09",41
"2017-08-10",40
"2017-08-11",35
"2017-08-12",45
"2017-08-13",44
"2017-08-14",36
"2017-08-15",52
"2017-08-16",40
"2017-08-17",42
"2017-08-18",41
"2017-08-19",48
"2017-08-20",53
"2017-08-21",42
"2017-08-22",39
"2017-08-23",37
"2017-08-24",66
"2017-08-25",39
"2017-08-26",46
"2017-08-27",47
"2017-08-28",29
"2017-08-29",40
"2017-08-30",33
"2017-08-31",28
"2017-09-01",27
"2017-09-02",37
"2017-09-03",37
"2017-09-04",36
"2017-09-05",34
"2017-09-06",33
"2017-09-07",40
"2017-09-08",30
"2017-09-09",33
"2017-09-10",59
"2017-09-11",50
"2017-09-12",41
"2017-09-13",43
"2017-09-14",39
"2017-09-15",41
"2017-09-16",45
"2017-09-17",49
"2017-09-18",40
"2017-09-19",39
"2017-09-20",36
"2017-09-21",32
"2017-09-22",31
"2017-09-23",34
"2017-09-24",35
"2017-09-25",43
"2017-09-26",48
"2017-09-27",47
"2017-09-28",38
"2017-09-29",32
"2017-09-30",45
"2017-10-01",72
"2017-10-02",59
"2017-10-03",55
"2017-10-04",51
"2017-10-05",61
"2017-10-06",57
"2017-10-07",55
"2017-10-08",58
"2017-10-09",65
"2017-10-10",68
"2017-10-11",66
"2017-10-12",59
"2017-10-13",47
"2017-10-14",44
"2017-10-15",47
"2017-10-16",53
"2017-10-17",59
"2017-10-18",52
"2017-10-19",43
"2017-10-20",42
"2017-10-21",41
"2017-10-22",44
"2017-10-23",49
"2017-10-24",43
"2017-10-25",40
"2017-10-26",43
"2017-10-27",40
"2017-10-28",41
"2017-10-29",41
"2017-10-30",47
"2017-10-31",45
"2017-11-01",50
"2017-11-02",42
"2017-11-03",42
"2017-11-04",50
"2017-11-05",52
"2017-11-06",52
"2017-11-07",49
"2017-11-08",52
"2017-11-09",47
"2017-11-10",40
"2017-11-11",49
"2017-11-12",51
"2017-11-13",48
"2017-11-14",50
"2017-11-15",41
"2017-11-16",46
"2017-11-17",44
"2017-11-18",49
"2017-11-19",51
"2017-11-20",53
"2017-11-21",49
"2017-11-22",46
"2017-11-23",48
"2017-11-24",55
"2017-11-25",55
"2017-11-26",55
"2017-11-27",56
"2017-11-28",56
"2017-11-29",49
"2017-11-30",41
"2017-12-01",40
"2017-12-02",46
"2017-12-03",47
"2017-12-04",55
"2017-12-05",45
"2017-12-06",41
"2017-12-07",50
"2017-12-08",43
"2017-12-09",45
"2017-12-10",48
"2017-12-11",51
"2017-12-12",43
"2017-12-13",46
"2017-12-14",41
"2017-12-15",42
"2017-12-16",45
"2017-12-17",48
"2017-12-18",46
"2017-12-19",47
"2017-12-20",42
"2017-12-21",42
"2017-12-22",40
"2017-12-23",51
"2017-12-24",50
"2017-12-25",45
"2017-12-26",64
"2017-12-27",47
"2017-12-28",47
"2017-12-29",42
"2017-12-30",61
"2017-12-31",61
"2018-01-01",53
"2018-01-02",56
"2018-01-03",66
"2018-01-04",53
"2018-01-05",58
"2018-01-06",66
"2018-01-07",63
"2018-01-08",51
"2018-01-09",47
"2018-01-10",41
"2018-01-11",46
"2018-01-12",49
"2018-01-13",63
"2018-01-14",62
"2018-01-15",49
"2018-01-16",50
"2018-01-17",52
"2018-01-18",45
"2018-01-19",58
"2018-01-20",70
"2018-01-21",67
"2018-01-22",57
"2018-01-23",47
"2018-01-24",49
"2018-01-25",41
"2018-01-26",37
"2018-01-27",58
"2018-01-28",55
"2018-01-29",50
"2018-01-30",41
"2018-01-31",44
"2018-02-01",39
"2018-02-02",41
"2018-02-03",61
"2018-02-04",59
"2018-02-05",44
"2018-02-06",42
"2018-02-07",45
"2018-02-08",45
"2018-02-09",38
"2018-02-10",56
"2018-02-11",59
"2018-02-12",46
"2018-02-13",38
"2018-02-14",44
"2018-02-15",52
"2018-02-16",57
"2018-02-17",58
"2018-02-18",63
"2018-02-19",64
"2018-02-20",56
"2018-02-21",53
"2018-02-22",44
"2018-02-23",40
"2018-02-24",56
"2018-02-25",67
"2018-02-26",100
"2018-02-27",67
"2018-02-28",65
"2018-03-01",61
"2018-03-02",57
"2018-03-03",67
"2018-03-04",80
"2018-03-05",53
"2018-03-06",49
"2018-03-07",54
"2018-03-08",53
"2018-03-09",59
"2018-03-10",76
"2018-03-11",66
"2018-03-12",47
"2018-03-13",39
"2018-03-14",40
"2018-03-15",32
"2018-03-16",37
"2018-03-17",48
"2018-03-18",48
"2018-03-19",39
"2018-03-20",36
"2018-03-21",29
"2018-03-22",28
"2018-03-23",26
"2018-03-24",42
"2018-03-25",43
"2018-03-26",29
"2018-03-27",24
"2018-03-28",28
"2018-03-29",23
"2018-03-30",29
"2018-03-31",48
"2018-04-01",69
"2018-04-02",70
"2018-04-03",74
"2018-04-04",67
"2018-04-05",49
"2018-04-06",59
"2018-04-07",75
"2018-04-08",75
"2018-04-09",76
"2018-04-10",66
"2018-04-11",68
"2018-04-12",58
"2018-04-13",49
"2018-04-14",65
"2018-04-15",55
"2018-04-16",52
"2018-04-17",49
"2018-04-18",40
"2018-04-19",42
