네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","lg노트북"
"2017-08-01",31
"2017-08-02",28
"2017-08-03",29
"2017-08-04",25
"2017-08-05",24
"2017-08-06",28
"2017-08-07",37
"2017-08-08",33
"2017-08-09",27
"2017-08-10",29
"2017-08-11",30
"2017-08-12",27
"2017-08-13",28
"2017-08-14",36
"2017-08-15",30
"2017-08-16",30
"2017-08-17",32
"2017-08-18",25
"2017-08-19",30
"2017-08-20",32
"2017-08-21",35
"2017-08-22",38
"2017-08-23",37
"2017-08-24",33
"2017-08-25",28
"2017-08-26",32
"2017-08-27",37
"2017-08-28",29
"2017-08-29",35
"2017-08-30",32
"2017-08-31",26
"2017-09-01",30
"2017-09-02",33
"2017-09-03",34
"2017-09-04",39
"2017-09-05",34
"2017-09-06",31
"2017-09-07",32
"2017-09-08",35
"2017-09-09",30
"2017-09-10",36
"2017-09-11",38
"2017-09-12",27
"2017-09-13",31
"2017-09-14",28
"2017-09-15",28
"2017-09-16",29
"2017-09-17",28
"2017-09-18",36
"2017-09-19",31
"2017-09-20",30
"2017-09-21",23
"2017-09-22",23
"2017-09-23",24
"2017-09-24",24
"2017-09-25",35
"2017-09-26",44
"2017-09-27",38
"2017-09-28",39
"2017-09-29",27
"2017-09-30",34
"2017-10-01",38
"2017-10-02",34
"2017-10-03",27
"2017-10-04",30
"2017-10-05",35
"2017-10-06",41
"2017-10-07",36
"2017-10-08",41
"2017-10-09",56
"2017-10-10",45
"2017-10-11",56
"2017-10-12",45
"2017-10-13",35
"2017-10-14",36
"2017-10-15",49
"2017-10-16",43
"2017-10-17",41
"2017-10-18",43
"2017-10-19",43
"2017-10-20",38
"2017-10-21",43
"2017-10-22",48
"2017-10-23",51
"2017-10-24",43
"2017-10-25",39
"2017-10-26",44
"2017-10-27",38
"2017-10-28",35
"2017-10-29",46
"2017-10-30",45
"2017-10-31",39
"2017-11-01",41
"2017-11-02",43
"2017-11-03",40
"2017-11-04",39
"2017-11-05",48
"2017-11-06",49
"2017-11-07",43
"2017-11-08",46
"2017-11-09",39
"2017-11-10",40
"2017-11-11",49
"2017-11-12",46
"2017-11-13",50
"2017-11-14",40
"2017-11-15",42
"2017-11-16",45
"2017-11-17",39
"2017-11-18",37
"2017-11-19",45
"2017-11-20",46
"2017-11-21",49
"2017-11-22",38
"2017-11-23",41
"2017-11-24",38
"2017-11-25",41
"2017-11-26",45
"2017-11-27",51
"2017-11-28",45
"2017-11-29",44
"2017-11-30",38
"2017-12-01",40
"2017-12-02",47
"2017-12-03",55
"2017-12-04",60
"2017-12-05",53
"2017-12-06",51
"2017-12-07",46
"2017-12-08",47
"2017-12-09",40
"2017-12-10",48
"2017-12-11",48
"2017-12-12",46
"2017-12-13",48
"2017-12-14",43
"2017-12-15",37
"2017-12-16",49
"2017-12-17",58
"2017-12-18",51
"2017-12-19",48
"2017-12-20",42
"2017-12-21",39
"2017-12-22",46
"2017-12-23",61
"2017-12-24",67
"2017-12-25",55
"2017-12-26",74
"2017-12-27",56
"2017-12-28",64
"2017-12-29",57
"2017-12-30",61
"2017-12-31",53
"2018-01-01",66
"2018-01-02",73
"2018-01-03",72
"2018-01-04",73
"2018-01-05",63
"2018-01-06",65
"2018-01-07",74
"2018-01-08",74
"2018-01-09",77
"2018-01-10",67
"2018-01-11",67
"2018-01-12",56
"2018-01-13",64
"2018-01-14",74
"2018-01-15",74
"2018-01-16",70
"2018-01-17",62
"2018-01-18",61
"2018-01-19",60
"2018-01-20",62
"2018-01-21",70
"2018-01-22",74
"2018-01-23",72
"2018-01-24",72
"2018-01-25",61
"2018-01-26",55
"2018-01-27",68
"2018-01-28",73
"2018-01-29",65
"2018-01-30",58
"2018-01-31",57
"2018-02-01",61
"2018-02-02",52
"2018-02-03",62
"2018-02-04",78
"2018-02-05",66
"2018-02-06",59
"2018-02-07",56
"2018-02-08",63
"2018-02-09",48
"2018-02-10",50
"2018-02-11",56
"2018-02-12",63
"2018-02-13",53
"2018-02-14",45
"2018-02-15",54
"2018-02-16",70
"2018-02-17",84
"2018-02-18",100
"2018-02-19",86
"2018-02-20",65
"2018-02-21",70
"2018-02-22",58
"2018-02-23",61
"2018-02-24",70
"2018-02-25",70
"2018-02-26",72
"2018-02-27",66
"2018-02-28",75
"2018-03-01",81
"2018-03-02",68
"2018-03-03",58
"2018-03-04",67
"2018-03-05",64
"2018-03-06",61
"2018-03-07",63
"2018-03-08",55
"2018-03-09",48
"2018-03-10",69
"2018-03-11",77
"2018-03-12",66
"2018-03-13",59
"2018-03-14",46
"2018-03-15",53
"2018-03-16",46
"2018-03-17",56
"2018-03-18",71
"2018-03-19",59
"2018-03-20",53
"2018-03-21",56
"2018-03-22",48
"2018-03-23",43
"2018-03-24",49
"2018-03-25",53
"2018-03-26",53
"2018-03-27",47
"2018-03-28",45
"2018-03-29",40
"2018-03-30",40
"2018-03-31",42
"2018-04-01",46
"2018-04-02",48
"2018-04-03",41
"2018-04-04",36
"2018-04-05",43
"2018-04-06",40
"2018-04-07",45
"2018-04-08",48
"2018-04-09",44
"2018-04-10",54
"2018-04-11",41
"2018-04-12",43
"2018-04-13",41
"2018-04-14",46
"2018-04-15",47
"2018-04-16",50
"2018-04-17",42
"2018-04-18",48
"2018-04-19",43
