네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","로봇청소기"
"2017-08-01",32
"2017-08-02",29
"2017-08-03",32
"2017-08-04",27
"2017-08-05",26
"2017-08-06",34
"2017-08-07",34
"2017-08-08",32
"2017-08-09",28
"2017-08-10",32
"2017-08-11",27
"2017-08-12",30
"2017-08-13",37
"2017-08-14",29
"2017-08-15",36
"2017-08-16",32
"2017-08-17",28
"2017-08-18",28
"2017-08-19",40
"2017-08-20",46
"2017-08-21",43
"2017-08-22",43
"2017-08-23",35
"2017-08-24",33
"2017-08-25",27
"2017-08-26",33
"2017-08-27",42
"2017-08-28",30
"2017-08-29",28
"2017-08-30",28
"2017-08-31",29
"2017-09-01",27
"2017-09-02",27
"2017-09-03",34
"2017-09-04",28
"2017-09-05",29
"2017-09-06",25
"2017-09-07",24
"2017-09-08",22
"2017-09-09",27
"2017-09-10",37
"2017-09-11",30
"2017-09-12",25
"2017-09-13",23
"2017-09-14",24
"2017-09-15",23
"2017-09-16",26
"2017-09-17",36
"2017-09-18",30
"2017-09-19",27
"2017-09-20",27
"2017-09-21",26
"2017-09-22",22
"2017-09-23",24
"2017-09-24",31
"2017-09-25",34
"2017-09-26",40
"2017-09-27",32
"2017-09-28",37
"2017-09-29",30
"2017-09-30",31
"2017-10-01",43
"2017-10-02",42
"2017-10-03",43
"2017-10-04",47
"2017-10-05",49
"2017-10-06",45
"2017-10-07",45
"2017-10-08",51
"2017-10-09",52
"2017-10-10",42
"2017-10-11",42
"2017-10-12",36
"2017-10-13",32
"2017-10-14",35
"2017-10-15",40
"2017-10-16",40
"2017-10-17",42
"2017-10-18",36
"2017-10-19",35
"2017-10-20",33
"2017-10-21",37
"2017-10-22",49
"2017-10-23",40
"2017-10-24",36
"2017-10-25",35
"2017-10-26",37
"2017-10-27",34
"2017-10-28",36
"2017-10-29",45
"2017-10-30",32
"2017-10-31",33
"2017-11-01",29
"2017-11-02",36
"2017-11-03",34
"2017-11-04",37
"2017-11-05",42
"2017-11-06",39
"2017-11-07",39
"2017-11-08",33
"2017-11-09",31
"2017-11-10",28
"2017-11-11",38
"2017-11-12",51
"2017-11-13",35
"2017-11-14",33
"2017-11-15",28
"2017-11-16",32
"2017-11-17",25
"2017-11-18",29
"2017-11-19",42
"2017-11-20",35
"2017-11-21",32
"2017-11-22",33
"2017-11-23",34
"2017-11-24",37
"2017-11-25",37
"2017-11-26",43
"2017-11-27",37
"2017-11-28",34
"2017-11-29",37
"2017-11-30",32
"2017-12-01",29
"2017-12-02",39
"2017-12-03",42
"2017-12-04",41
"2017-12-05",39
"2017-12-06",35
"2017-12-07",38
"2017-12-08",33
"2017-12-09",40
"2017-12-10",49
"2017-12-11",40
"2017-12-12",33
"2017-12-13",32
"2017-12-14",33
"2017-12-15",30
"2017-12-16",36
"2017-12-17",47
"2017-12-18",33
"2017-12-19",30
"2017-12-20",34
"2017-12-21",31
"2017-12-22",29
"2017-12-23",36
"2017-12-24",41
"2017-12-25",50
"2017-12-26",40
"2017-12-27",32
"2017-12-28",31
"2017-12-29",35
"2017-12-30",47
"2017-12-31",49
"2018-01-01",58
"2018-01-02",47
"2018-01-03",42
"2018-01-04",37
"2018-01-05",33
"2018-01-06",47
"2018-01-07",52
"2018-01-08",38
"2018-01-09",37
"2018-01-10",33
"2018-01-11",34
"2018-01-12",47
"2018-01-13",100
"2018-01-14",87
"2018-01-15",58
"2018-01-16",57
"2018-01-17",50
"2018-01-18",47
"2018-01-19",52
"2018-01-20",57
"2018-01-21",90
"2018-01-22",51
"2018-01-23",46
"2018-01-24",43
"2018-01-25",37
"2018-01-26",35
"2018-01-27",40
"2018-01-28",52
"2018-01-29",44
"2018-01-30",42
"2018-01-31",38
"2018-02-01",38
"2018-02-02",38
"2018-02-03",43
"2018-02-04",62
"2018-02-05",43
"2018-02-06",35
"2018-02-07",37
"2018-02-08",34
"2018-02-09",33
"2018-02-10",42
"2018-02-11",61
"2018-02-12",38
"2018-02-13",34
"2018-02-14",31
"2018-02-15",39
"2018-02-16",48
"2018-02-17",58
"2018-02-18",62
"2018-02-19",49
"2018-02-20",41
"2018-02-21",46
"2018-02-22",41
"2018-02-23",38
"2018-02-24",61
"2018-02-25",68
"2018-02-26",56
"2018-02-27",47
"2018-02-28",43
"2018-03-01",48
"2018-03-02",44
"2018-03-03",50
"2018-03-04",59
"2018-03-05",41
"2018-03-06",47
"2018-03-07",42
"2018-03-08",44
"2018-03-09",38
"2018-03-10",54
"2018-03-11",61
"2018-03-12",44
"2018-03-13",43
"2018-03-14",40
"2018-03-15",48
"2018-03-16",40
"2018-03-17",61
"2018-03-18",71
"2018-03-19",55
"2018-03-20",39
"2018-03-21",40
"2018-03-22",44
"2018-03-23",39
"2018-03-24",43
"2018-03-25",79
"2018-03-26",52
"2018-03-27",44
"2018-03-28",42
"2018-03-29",41
"2018-03-30",35
"2018-03-31",46
"2018-04-01",70
"2018-04-02",42
"2018-04-03",43
"2018-04-04",35
"2018-04-05",40
"2018-04-06",38
"2018-04-07",39
"2018-04-08",49
"2018-04-09",43
"2018-04-10",38
"2018-04-11",47
"2018-04-12",36
"2018-04-13",34
"2018-04-14",50
"2018-04-15",58
"2018-04-16",46
"2018-04-17",41
"2018-04-18",43
"2018-04-19",34
