네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","게이밍노트북"
"2017-08-01",39
"2017-08-02",37
"2017-08-03",32
"2017-08-04",30
"2017-08-05",33
"2017-08-06",35
"2017-08-07",34
"2017-08-08",34
"2017-08-09",34
"2017-08-10",34
"2017-08-11",30
"2017-08-12",27
"2017-08-13",33
"2017-08-14",33
"2017-08-15",39
"2017-08-16",40
"2017-08-17",35
"2017-08-18",33
"2017-08-19",35
"2017-08-20",45
"2017-08-21",40
"2017-08-22",37
"2017-08-23",40
"2017-08-24",36
"2017-08-25",38
"2017-08-26",41
"2017-08-27",48
"2017-08-28",36
"2017-08-29",38
"2017-08-30",41
"2017-08-31",41
"2017-09-01",35
"2017-09-02",38
"2017-09-03",41
"2017-09-04",42
"2017-09-05",36
"2017-09-06",38
"2017-09-07",36
"2017-09-08",32
"2017-09-09",38
"2017-09-10",42
"2017-09-11",39
"2017-09-12",37
"2017-09-13",36
"2017-09-14",33
"2017-09-15",30
"2017-09-16",37
"2017-09-17",44
"2017-09-18",36
"2017-09-19",35
"2017-09-20",34
"2017-09-21",27
"2017-09-22",29
"2017-09-23",32
"2017-09-24",40
"2017-09-25",40
"2017-09-26",46
"2017-09-27",45
"2017-09-28",39
"2017-09-29",35
"2017-09-30",44
"2017-10-01",51
"2017-10-02",46
"2017-10-03",52
"2017-10-04",49
"2017-10-05",53
"2017-10-06",64
"2017-10-07",55
"2017-10-08",56
"2017-10-09",62
"2017-10-10",63
"2017-10-11",58
"2017-10-12",50
"2017-10-13",39
"2017-10-14",45
"2017-10-15",53
"2017-10-16",52
"2017-10-17",47
"2017-10-18",47
"2017-10-19",49
"2017-10-20",43
"2017-10-21",48
"2017-10-22",50
"2017-10-23",49
"2017-10-24",49
"2017-10-25",50
"2017-10-26",47
"2017-10-27",37
"2017-10-28",49
"2017-10-29",57
"2017-10-30",50
"2017-10-31",49
"2017-11-01",50
"2017-11-02",48
"2017-11-03",41
"2017-11-04",46
"2017-11-05",52
"2017-11-06",48
"2017-11-07",47
"2017-11-08",49
"2017-11-09",47
"2017-11-10",35
"2017-11-11",41
"2017-11-12",53
"2017-11-13",47
"2017-11-14",46
"2017-11-15",44
"2017-11-16",44
"2017-11-17",41
"2017-11-18",48
"2017-11-19",59
"2017-11-20",50
"2017-11-21",49
"2017-11-22",45
"2017-11-23",45
"2017-11-24",48
"2017-11-25",58
"2017-11-26",68
"2017-11-27",54
"2017-11-28",47
"2017-11-29",48
"2017-11-30",48
"2017-12-01",48
"2017-12-02",58
"2017-12-03",70
"2017-12-04",62
"2017-12-05",59
"2017-12-06",58
"2017-12-07",52
"2017-12-08",50
"2017-12-09",52
"2017-12-10",69
"2017-12-11",61
"2017-12-12",55
"2017-12-13",54
"2017-12-14",52
"2017-12-15",48
"2017-12-16",56
"2017-12-17",64
"2017-12-18",62
"2017-12-19",51
"2017-12-20",53
"2017-12-21",52
"2017-12-22",46
"2017-12-23",63
"2017-12-24",66
"2017-12-25",64
"2017-12-26",58
"2017-12-27",54
"2017-12-28",61
"2017-12-29",51
"2017-12-30",62
"2017-12-31",67
"2018-01-01",65
"2018-01-02",69
"2018-01-03",66
"2018-01-04",73
"2018-01-05",65
"2018-01-06",65
"2018-01-07",84
"2018-01-08",82
"2018-01-09",69
"2018-01-10",67
"2018-01-11",65
"2018-01-12",63
"2018-01-13",65
"2018-01-14",76
"2018-01-15",74
"2018-01-16",73
"2018-01-17",69
"2018-01-18",70
"2018-01-19",62
"2018-01-20",76
"2018-01-21",80
"2018-01-22",73
"2018-01-23",68
"2018-01-24",68
"2018-01-25",69
"2018-01-26",67
"2018-01-27",65
"2018-01-28",79
"2018-01-29",73
"2018-01-30",66
"2018-01-31",66
"2018-02-01",70
"2018-02-02",67
"2018-02-03",72
"2018-02-04",82
"2018-02-05",83
"2018-02-06",82
"2018-02-07",76
"2018-02-08",65
"2018-02-09",58
"2018-02-10",75
"2018-02-11",85
"2018-02-12",79
"2018-02-13",76
"2018-02-14",63
"2018-02-15",85
"2018-02-16",100
"2018-02-17",97
"2018-02-18",96
"2018-02-19",97
"2018-02-20",83
"2018-02-21",80
"2018-02-22",79
"2018-02-23",71
"2018-02-24",70
"2018-02-25",79
"2018-02-26",77
"2018-02-27",78
"2018-02-28",75
"2018-03-01",75
"2018-03-02",69
"2018-03-03",71
"2018-03-04",75
"2018-03-05",68
"2018-03-06",67
"2018-03-07",63
"2018-03-08",55
"2018-03-09",51
"2018-03-10",60
"2018-03-11",77
"2018-03-12",67
"2018-03-13",56
"2018-03-14",55
"2018-03-15",51
"2018-03-16",48
"2018-03-17",57
"2018-03-18",70
"2018-03-19",54
"2018-03-20",45
"2018-03-21",48
"2018-03-22",42
"2018-03-23",43
"2018-03-24",45
"2018-03-25",55
"2018-03-26",45
"2018-03-27",41
"2018-03-28",42
"2018-03-29",38
"2018-03-30",35
"2018-03-31",35
"2018-04-01",47
"2018-04-02",41
"2018-04-03",37
"2018-04-04",36
"2018-04-05",39
"2018-04-06",36
"2018-04-07",42
"2018-04-08",44
"2018-04-09",46
"2018-04-10",42
"2018-04-11",41
"2018-04-12",39
"2018-04-13",35
"2018-04-14",42
"2018-04-15",45
"2018-04-16",41
"2018-04-17",39
"2018-04-18",36
"2018-04-19",38
