네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰6케이스"
"2017-08-01",79
"2017-08-02",83
"2017-08-03",86
"2017-08-04",71
"2017-08-05",74
"2017-08-06",94
"2017-08-07",78
"2017-08-08",77
"2017-08-09",77
"2017-08-10",88
"2017-08-11",79
"2017-08-12",73
"2017-08-13",88
"2017-08-14",76
"2017-08-15",90
"2017-08-16",87
"2017-08-17",95
"2017-08-18",77
"2017-08-19",87
"2017-08-20",100
"2017-08-21",83
"2017-08-22",75
"2017-08-23",74
"2017-08-24",82
"2017-08-25",60
"2017-08-26",80
"2017-08-27",100
"2017-08-28",64
"2017-08-29",62
"2017-08-30",66
"2017-08-31",72
"2017-09-01",60
"2017-09-02",61
"2017-09-03",72
"2017-09-04",58
"2017-09-05",65
"2017-09-06",65
"2017-09-07",61
"2017-09-08",51
"2017-09-09",62
"2017-09-10",60
"2017-09-11",64
"2017-09-12",66
"2017-09-13",68
"2017-09-14",62
"2017-09-15",52
"2017-09-16",65
"2017-09-17",78
"2017-09-18",68
"2017-09-19",71
"2017-09-20",70
"2017-09-21",53
"2017-09-22",55
"2017-09-23",64
"2017-09-24",73
"2017-09-25",70
"2017-09-26",68
"2017-09-27",59
"2017-09-28",58
"2017-09-29",46
"2017-09-30",54
"2017-10-01",60
"2017-10-02",61
"2017-10-03",63
"2017-10-04",51
"2017-10-05",70
"2017-10-06",81
"2017-10-07",93
"2017-10-08",86
"2017-10-09",92
"2017-10-10",89
"2017-10-11",89
"2017-10-12",72
"2017-10-13",68
"2017-10-14",65
"2017-10-15",89
"2017-10-16",74
"2017-10-17",77
"2017-10-18",82
"2017-10-19",75
"2017-10-20",65
"2017-10-21",65
"2017-10-22",91
"2017-10-23",70
"2017-10-24",76
"2017-10-25",73
"2017-10-26",75
"2017-10-27",67
"2017-10-28",70
"2017-10-29",97
"2017-10-30",81
"2017-10-31",76
"2017-11-01",76
"2017-11-02",74
"2017-11-03",68
"2017-11-04",76
"2017-11-05",94
"2017-11-06",97
"2017-11-07",99
"2017-11-08",87
"2017-11-09",81
"2017-11-10",67
"2017-11-11",78
"2017-11-12",93
"2017-11-13",82
"2017-11-14",72
"2017-11-15",65
"2017-11-16",71
"2017-11-17",58
"2017-11-18",72
"2017-11-19",88
"2017-11-20",76
"2017-11-21",68
"2017-11-22",73
"2017-11-23",68
"2017-11-24",65
"2017-11-25",82
"2017-11-26",93
"2017-11-27",94
"2017-11-28",83
"2017-11-29",82
"2017-11-30",82
"2017-12-01",62
"2017-12-02",84
"2017-12-03",89
"2017-12-04",80
"2017-12-05",79
"2017-12-06",72
"2017-12-07",70
"2017-12-08",51
"2017-12-09",54
"2017-12-10",77
"2017-12-11",73
"2017-12-12",63
"2017-12-13",52
"2017-12-14",52
"2017-12-15",43
"2017-12-16",56
"2017-12-17",61
"2017-12-18",49
"2017-12-19",50
"2017-12-20",56
"2017-12-21",43
"2017-12-22",42
"2017-12-23",43
"2017-12-24",54
"2017-12-25",61
"2017-12-26",50
"2017-12-27",51
"2017-12-28",46
"2017-12-29",41
"2017-12-30",43
"2017-12-31",48
"2018-01-01",51
"2018-01-02",60
"2018-01-03",49
"2018-01-04",46
"2018-01-05",45
"2018-01-06",48
"2018-01-07",66
"2018-01-08",57
"2018-01-09",57
"2018-01-10",54
"2018-01-11",45
"2018-01-12",45
"2018-01-13",53
"2018-01-14",53
"2018-01-15",55
"2018-01-16",53
"2018-01-17",53
"2018-01-18",51
"2018-01-19",44
"2018-01-20",49
"2018-01-21",59
"2018-01-22",60
"2018-01-23",59
"2018-01-24",56
"2018-01-25",47
"2018-01-26",45
"2018-01-27",54
"2018-01-28",60
"2018-01-29",53
"2018-01-30",51
"2018-01-31",53
"2018-02-01",51
"2018-02-02",43
"2018-02-03",59
"2018-02-04",74
"2018-02-05",62
"2018-02-06",62
"2018-02-07",55
"2018-02-08",49
"2018-02-09",45
"2018-02-10",53
"2018-02-11",65
"2018-02-12",48
"2018-02-13",45
"2018-02-14",41
"2018-02-15",47
"2018-02-16",55
"2018-02-17",57
"2018-02-18",67
"2018-02-19",74
"2018-02-20",61
"2018-02-21",66
"2018-02-22",68
"2018-02-23",56
"2018-02-24",62
"2018-02-25",68
"2018-02-26",69
"2018-02-27",59
"2018-02-28",59
"2018-03-01",69
"2018-03-02",50
"2018-03-03",55
"2018-03-04",75
"2018-03-05",48
"2018-03-06",54
"2018-03-07",48
"2018-03-08",52
"2018-03-09",42
"2018-03-10",44
"2018-03-11",55
"2018-03-12",44
"2018-03-13",50
"2018-03-14",53
"2018-03-15",46
"2018-03-16",45
"2018-03-17",50
"2018-03-18",58
"2018-03-19",45
"2018-03-20",47
"2018-03-21",49
"2018-03-22",43
"2018-03-23",40
"2018-03-24",46
"2018-03-25",57
"2018-03-26",47
"2018-03-27",47
"2018-03-28",42
"2018-03-29",36
"2018-03-30",36
"2018-03-31",40
"2018-04-01",50
"2018-04-02",39
"2018-04-03",47
"2018-04-04",43
"2018-04-05",39
"2018-04-06",35
"2018-04-07",43
"2018-04-08",51
"2018-04-09",46
"2018-04-10",45
"2018-04-11",44
"2018-04-12",40
"2018-04-13",42
"2018-04-14",54
"2018-04-15",62
"2018-04-16",48
"2018-04-17",47
"2018-04-18",39
"2018-04-19",38
