네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰x"
"2017-08-09",
"2017-08-15",
"2017-08-17",
"2017-08-19",
"2017-08-22",
"2017-08-24",
"2017-08-26",
"2017-09-02",
"2017-09-03",
"2017-09-04",
"2017-09-05",
"2017-09-06",
"2017-09-07",
"2017-09-08",
"2017-09-09",
"2017-09-10",
"2017-09-11",7
"2017-09-12",9
"2017-09-13",7
"2017-09-14",5
"2017-09-15",4
"2017-09-16",3
"2017-09-17",3
"2017-09-18",3
"2017-09-19",2
"2017-09-20",2
"2017-09-21",2
"2017-09-22",2
"2017-09-23",2
"2017-09-24",2
"2017-09-25",2
"2017-09-26",1
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",2
"2017-10-02",1
"2017-10-03",2
"2017-10-04",2
"2017-10-05",4
"2017-10-06",2
"2017-10-07",2
"2017-10-08",2
"2017-10-09",3
"2017-10-10",2
"2017-10-11",1
"2017-10-12",1
"2017-10-13",1
"2017-10-14",2
"2017-10-15",2
"2017-10-16",2
"2017-10-17",2
"2017-10-18",2
"2017-10-19",2
"2017-10-20",2
"2017-10-21",4
"2017-10-22",3
"2017-10-23",3
"2017-10-24",6
"2017-10-25",5
"2017-10-26",5
"2017-10-27",10
"2017-10-28",7
"2017-10-29",7
"2017-10-30",5
"2017-10-31",3
"2017-11-01",7
"2017-11-02",5
"2017-11-03",11
"2017-11-04",11
"2017-11-05",12
"2017-11-06",7
"2017-11-07",7
"2017-11-08",8
"2017-11-09",10
"2017-11-10",10
"2017-11-11",9
"2017-11-12",10
"2017-11-13",10
"2017-11-14",10
"2017-11-15",9
"2017-11-16",10
"2017-11-17",26
"2017-11-18",17
"2017-11-19",18
"2017-11-20",14
"2017-11-21",16
"2017-11-22",19
"2017-11-23",26
"2017-11-24",97
"2017-11-25",78
"2017-11-26",100
"2017-11-27",64
"2017-11-28",58
"2017-11-29",53
"2017-11-30",45
"2017-12-01",44
"2017-12-02",43
"2017-12-03",38
"2017-12-04",41
"2017-12-05",36
"2017-12-06",31
"2017-12-07",27
"2017-12-08",27
"2017-12-09",26
"2017-12-10",29
"2017-12-11",28
"2017-12-12",29
"2017-12-13",29
"2017-12-14",30
"2017-12-15",25
"2017-12-16",27
"2017-12-17",32
"2017-12-18",30
"2017-12-19",29
"2017-12-20",26
"2017-12-21",24
"2017-12-22",24
"2017-12-23",33
"2017-12-24",31
"2017-12-25",26
"2017-12-26",26
"2017-12-27",24
"2017-12-28",22
"2017-12-29",20
"2017-12-30",38
"2017-12-31",39
"2018-01-01",26
"2018-01-02",31
"2018-01-03",24
"2018-01-04",20
"2018-01-05",26
"2018-01-06",46
"2018-01-07",47
"2018-01-08",31
"2018-01-09",27
"2018-01-10",25
"2018-01-11",23
"2018-01-12",29
"2018-01-13",49
"2018-01-14",50
"2018-01-15",38
"2018-01-16",30
"2018-01-17",30
"2018-01-18",24
"2018-01-19",34
"2018-01-20",48
"2018-01-21",54
"2018-01-22",33
"2018-01-23",23
"2018-01-24",22
"2018-01-25",19
"2018-01-26",16
"2018-01-27",36
"2018-01-28",32
"2018-01-29",20
"2018-01-30",18
"2018-01-31",19
"2018-02-01",19
"2018-02-02",19
"2018-02-03",39
"2018-02-04",43
"2018-02-05",28
"2018-02-06",21
"2018-02-07",23
"2018-02-08",23
"2018-02-09",20
"2018-02-10",36
"2018-02-11",39
"2018-02-12",27
"2018-02-13",23
"2018-02-14",24
"2018-02-15",31
"2018-02-16",32
"2018-02-17",39
"2018-02-18",49
"2018-02-19",33
"2018-02-20",24
"2018-02-21",24
"2018-02-22",26
"2018-02-23",25
"2018-02-24",38
"2018-02-25",50
"2018-02-26",41
"2018-02-27",31
"2018-02-28",28
"2018-03-01",37
"2018-03-02",32
"2018-03-03",50
"2018-03-04",63
"2018-03-05",41
"2018-03-06",30
"2018-03-07",30
"2018-03-08",27
"2018-03-09",26
"2018-03-10",50
"2018-03-11",58
"2018-03-12",32
"2018-03-13",22
"2018-03-14",20
"2018-03-15",20
"2018-03-16",25
"2018-03-17",38
"2018-03-18",39
"2018-03-19",29
"2018-03-20",20
"2018-03-21",20
"2018-03-22",17
"2018-03-23",19
"2018-03-24",41
"2018-03-25",48
"2018-03-26",27
"2018-03-27",18
"2018-03-28",20
"2018-03-29",16
"2018-03-30",22
"2018-03-31",43
"2018-04-01",43
"2018-04-02",27
"2018-04-03",24
"2018-04-04",21
"2018-04-05",22
"2018-04-06",25
"2018-04-07",47
"2018-04-08",48
"2018-04-09",27
"2018-04-10",22
"2018-04-11",19
"2018-04-12",19
"2018-04-13",25
"2018-04-14",40
"2018-04-15",45
"2018-04-16",28
"2018-04-17",22
"2018-04-18",22
"2018-04-19",23
