네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스마트워치"
"2017-08-01",29
"2017-08-02",30
"2017-08-03",35
"2017-08-04",31
"2017-08-05",28
"2017-08-06",36
"2017-08-07",40
"2017-08-08",43
"2017-08-09",35
"2017-08-10",33
"2017-08-11",33
"2017-08-12",27
"2017-08-13",38
"2017-08-14",32
"2017-08-15",42
"2017-08-16",31
"2017-08-17",35
"2017-08-18",29
"2017-08-19",32
"2017-08-20",46
"2017-08-21",32
"2017-08-22",32
"2017-08-23",35
"2017-08-24",35
"2017-08-25",37
"2017-08-26",44
"2017-08-27",43
"2017-08-28",31
"2017-08-29",34
"2017-08-30",34
"2017-08-31",32
"2017-09-01",29
"2017-09-02",39
"2017-09-03",42
"2017-09-04",28
"2017-09-05",36
"2017-09-06",30
"2017-09-07",35
"2017-09-08",35
"2017-09-09",39
"2017-09-10",48
"2017-09-11",46
"2017-09-12",38
"2017-09-13",37
"2017-09-14",39
"2017-09-15",35
"2017-09-16",37
"2017-09-17",38
"2017-09-18",33
"2017-09-19",36
"2017-09-20",32
"2017-09-21",33
"2017-09-22",35
"2017-09-23",36
"2017-09-24",41
"2017-09-25",43
"2017-09-26",50
"2017-09-27",49
"2017-09-28",43
"2017-09-29",42
"2017-09-30",44
"2017-10-01",51
"2017-10-02",43
"2017-10-03",57
"2017-10-04",49
"2017-10-05",43
"2017-10-06",49
"2017-10-07",57
"2017-10-08",61
"2017-10-09",62
"2017-10-10",50
"2017-10-11",48
"2017-10-12",41
"2017-10-13",50
"2017-10-14",46
"2017-10-15",47
"2017-10-16",40
"2017-10-17",37
"2017-10-18",40
"2017-10-19",41
"2017-10-20",39
"2017-10-21",46
"2017-10-22",48
"2017-10-23",40
"2017-10-24",70
"2017-10-25",50
"2017-10-26",45
"2017-10-27",44
"2017-10-28",66
"2017-10-29",100
"2017-10-30",58
"2017-10-31",49
"2017-11-01",58
"2017-11-02",50
"2017-11-03",49
"2017-11-04",61
"2017-11-05",68
"2017-11-06",49
"2017-11-07",58
"2017-11-08",52
"2017-11-09",59
"2017-11-10",50
"2017-11-11",63
"2017-11-12",76
"2017-11-13",56
"2017-11-14",49
"2017-11-15",51
"2017-11-16",47
"2017-11-17",41
"2017-11-18",56
"2017-11-19",67
"2017-11-20",49
"2017-11-21",46
"2017-11-22",52
"2017-11-23",67
"2017-11-24",48
"2017-11-25",66
"2017-11-26",74
"2017-11-27",51
"2017-11-28",52
"2017-11-29",42
"2017-11-30",42
"2017-12-01",41
"2017-12-02",51
"2017-12-03",62
"2017-12-04",49
"2017-12-05",48
"2017-12-06",50
"2017-12-07",47
"2017-12-08",39
"2017-12-09",46
"2017-12-10",54
"2017-12-11",42
"2017-12-12",34
"2017-12-13",42
"2017-12-14",38
"2017-12-15",37
"2017-12-16",45
"2017-12-17",48
"2017-12-18",36
"2017-12-19",39
"2017-12-20",37
"2017-12-21",36
"2017-12-22",32
"2017-12-23",40
"2017-12-24",45
"2017-12-25",49
"2017-12-26",40
"2017-12-27",33
"2017-12-28",33
"2017-12-29",29
"2017-12-30",35
"2017-12-31",38
"2018-01-01",39
"2018-01-02",38
"2018-01-03",39
"2018-01-04",29
"2018-01-05",31
"2018-01-06",36
"2018-01-07",44
"2018-01-08",39
"2018-01-09",40
"2018-01-10",35
"2018-01-11",35
"2018-01-12",28
"2018-01-13",32
"2018-01-14",41
"2018-01-15",39
"2018-01-16",38
"2018-01-17",38
"2018-01-18",34
"2018-01-19",36
"2018-01-20",40
"2018-01-21",56
"2018-01-22",45
"2018-01-23",37
"2018-01-24",42
"2018-01-25",31
"2018-01-26",34
"2018-01-27",42
"2018-01-28",38
"2018-01-29",38
"2018-01-30",33
"2018-01-31",32
"2018-02-01",36
"2018-02-02",34
"2018-02-03",37
"2018-02-04",46
"2018-02-05",40
"2018-02-06",35
"2018-02-07",36
"2018-02-08",37
"2018-02-09",29
"2018-02-10",34
"2018-02-11",60
"2018-02-12",35
"2018-02-13",33
"2018-02-14",34
"2018-02-15",31
"2018-02-16",59
"2018-02-17",38
"2018-02-18",56
"2018-02-19",50
"2018-02-20",36
"2018-02-21",35
"2018-02-22",50
"2018-02-23",46
"2018-02-24",38
"2018-02-25",45
"2018-02-26",37
"2018-02-27",37
"2018-02-28",38
"2018-03-01",41
"2018-03-02",38
"2018-03-03",40
"2018-03-04",48
"2018-03-05",42
"2018-03-06",42
"2018-03-07",40
"2018-03-08",44
"2018-03-09",37
"2018-03-10",45
"2018-03-11",41
"2018-03-12",39
"2018-03-13",43
"2018-03-14",43
"2018-03-15",45
"2018-03-16",39
"2018-03-17",44
"2018-03-18",50
"2018-03-19",46
"2018-03-20",52
"2018-03-21",52
"2018-03-22",48
"2018-03-23",34
"2018-03-24",44
"2018-03-25",62
"2018-03-26",42
"2018-03-27",45
"2018-03-28",38
"2018-03-29",42
"2018-03-30",41
"2018-03-31",37
"2018-04-01",67
"2018-04-02",41
"2018-04-03",42
"2018-04-04",33
"2018-04-05",34
"2018-04-06",36
"2018-04-07",37
"2018-04-08",46
"2018-04-09",37
"2018-04-10",36
"2018-04-11",44
"2018-04-12",33
"2018-04-13",31
"2018-04-14",45
"2018-04-15",44
"2018-04-16",45
"2018-04-17",44
"2018-04-18",39
"2018-04-19",34
