네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","마카롱"
"2017-08-01",7
"2017-08-02",8
"2017-08-03",7
"2017-08-04",6
"2017-08-05",7
"2017-08-06",8
"2017-08-07",9
"2017-08-08",10
"2017-08-09",8
"2017-08-10",8
"2017-08-11",9
"2017-08-12",9
"2017-08-13",9
"2017-08-14",9
"2017-08-15",14
"2017-08-16",9
"2017-08-17",9
"2017-08-18",8
"2017-08-19",9
"2017-08-20",11
"2017-08-21",10
"2017-08-22",10
"2017-08-23",8
"2017-08-24",10
"2017-08-25",9
"2017-08-26",10
"2017-08-27",10
"2017-08-28",8
"2017-08-29",8
"2017-08-30",8
"2017-08-31",9
"2017-09-01",9
"2017-09-02",9
"2017-09-03",8
"2017-09-04",9
"2017-09-05",9
"2017-09-06",9
"2017-09-07",9
"2017-09-08",9
"2017-09-09",8
"2017-09-10",9
"2017-09-11",11
"2017-09-12",9
"2017-09-13",10
"2017-09-14",8
"2017-09-15",7
"2017-09-16",9
"2017-09-17",13
"2017-09-18",16
"2017-09-19",13
"2017-09-20",11
"2017-09-21",11
"2017-09-22",10
"2017-09-23",11
"2017-09-24",12
"2017-09-25",14
"2017-09-26",10
"2017-09-27",10
"2017-09-28",7
"2017-09-29",9
"2017-09-30",7
"2017-10-01",9
"2017-10-02",10
"2017-10-03",9
"2017-10-04",6
"2017-10-05",8
"2017-10-06",10
"2017-10-07",13
"2017-10-08",11
"2017-10-09",13
"2017-10-10",13
"2017-10-11",12
"2017-10-12",11
"2017-10-13",9
"2017-10-14",9
"2017-10-15",14
"2017-10-16",17
"2017-10-17",13
"2017-10-18",15
"2017-10-19",10
"2017-10-20",14
"2017-10-21",14
"2017-10-22",12
"2017-10-23",13
"2017-10-24",12
"2017-10-25",15
"2017-10-26",13
"2017-10-27",12
"2017-10-28",13
"2017-10-29",17
"2017-10-30",18
"2017-10-31",17
"2017-11-01",17
"2017-11-02",20
"2017-11-03",20
"2017-11-04",21
"2017-11-05",22
"2017-11-06",33
"2017-11-07",30
"2017-11-08",25
"2017-11-09",25
"2017-11-10",19
"2017-11-11",16
"2017-11-12",19
"2017-11-13",18
"2017-11-14",18
"2017-11-15",16
"2017-11-16",15
"2017-11-17",12
"2017-11-18",12
"2017-11-19",19
"2017-11-20",15
"2017-11-21",17
"2017-11-22",16
"2017-11-23",16
"2017-11-24",9
"2017-11-25",12
"2017-11-26",21
"2017-11-27",18
"2017-11-28",17
"2017-11-29",19
"2017-11-30",18
"2017-12-01",13
"2017-12-02",18
"2017-12-03",18
"2017-12-04",19
"2017-12-05",17
"2017-12-06",16
"2017-12-07",18
"2017-12-08",16
"2017-12-09",14
"2017-12-10",21
"2017-12-11",17
"2017-12-12",17
"2017-12-13",18
"2017-12-14",17
"2017-12-15",15
"2017-12-16",16
"2017-12-17",22
"2017-12-18",25
"2017-12-19",19
"2017-12-20",14
"2017-12-21",16
"2017-12-22",11
"2017-12-23",19
"2017-12-24",17
"2017-12-25",20
"2017-12-26",20
"2017-12-27",15
"2017-12-28",18
"2017-12-29",15
"2017-12-30",17
"2017-12-31",15
"2018-01-01",18
"2018-01-02",22
"2018-01-03",23
"2018-01-04",18
"2018-01-05",18
"2018-01-06",17
"2018-01-07",23
"2018-01-08",24
"2018-01-09",25
"2018-01-10",27
"2018-01-11",22
"2018-01-12",22
"2018-01-13",18
"2018-01-14",36
"2018-01-15",27
"2018-01-16",27
"2018-01-17",27
"2018-01-18",28
"2018-01-19",31
"2018-01-20",22
"2018-01-21",32
"2018-01-22",39
"2018-01-23",36
"2018-01-24",32
"2018-01-25",33
"2018-01-26",29
"2018-01-27",27
"2018-01-28",34
"2018-01-29",32
"2018-01-30",31
"2018-01-31",35
"2018-02-01",36
"2018-02-02",33
"2018-02-03",34
"2018-02-04",41
"2018-02-05",43
"2018-02-06",39
"2018-02-07",39
"2018-02-08",39
"2018-02-09",33
"2018-02-10",25
"2018-02-11",46
"2018-02-12",36
"2018-02-13",24
"2018-02-14",21
"2018-02-15",18
"2018-02-16",17
"2018-02-17",16
"2018-02-18",22
"2018-02-19",26
"2018-02-20",25
"2018-02-21",26
"2018-02-22",29
"2018-02-23",27
"2018-02-24",29
"2018-02-25",31
"2018-02-26",37
"2018-02-27",37
"2018-02-28",28
"2018-03-01",26
"2018-03-02",22
"2018-03-03",29
"2018-03-04",35
"2018-03-05",35
"2018-03-06",30
"2018-03-07",32
"2018-03-08",33
"2018-03-09",41
"2018-03-10",34
"2018-03-11",44
"2018-03-12",50
"2018-03-13",34
"2018-03-14",36
"2018-03-15",33
"2018-03-16",30
"2018-03-17",29
"2018-03-18",34
"2018-03-19",39
"2018-03-20",33
"2018-03-21",31
"2018-03-22",35
"2018-03-23",26
"2018-03-24",30
"2018-03-25",33
"2018-03-26",33
"2018-03-27",30
"2018-03-28",26
"2018-03-29",24
"2018-03-30",22
"2018-03-31",21
"2018-04-01",27
"2018-04-02",31
"2018-04-03",33
"2018-04-04",27
"2018-04-05",29
"2018-04-06",24
"2018-04-07",27
"2018-04-08",35
"2018-04-09",28
"2018-04-10",26
"2018-04-11",29
"2018-04-12",29
"2018-04-13",22
"2018-04-14",47
"2018-04-15",57
"2018-04-16",80
"2018-04-17",85
"2018-04-18",100
"2018-04-19",74
