네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맥주효모"
"2017-08-01",26
"2017-08-02",19
"2017-08-03",16
"2017-08-04",14
"2017-08-05",12
"2017-08-06",13
"2017-08-07",12
"2017-08-08",11
"2017-08-09",13
"2017-08-10",11
"2017-08-11",9
"2017-08-12",7
"2017-08-13",7
"2017-08-14",11
"2017-08-15",9
"2017-08-16",9
"2017-08-17",7
"2017-08-18",5
"2017-08-19",6
"2017-08-20",7
"2017-08-21",9
"2017-08-22",9
"2017-08-23",8
"2017-08-24",8
"2017-08-25",35
"2017-08-26",48
"2017-08-27",16
"2017-08-28",23
"2017-08-29",17
"2017-08-30",14
"2017-08-31",13
"2017-09-01",10
"2017-09-02",8
"2017-09-03",9
"2017-09-04",12
"2017-09-05",19
"2017-09-06",12
"2017-09-07",10
"2017-09-08",8
"2017-09-09",7
"2017-09-10",9
"2017-09-11",11
"2017-09-12",9
"2017-09-13",9
"2017-09-14",9
"2017-09-15",6
"2017-09-16",7
"2017-09-17",9
"2017-09-18",10
"2017-09-19",10
"2017-09-20",9
"2017-09-21",41
"2017-09-22",10
"2017-09-23",8
"2017-09-24",7
"2017-09-25",10
"2017-09-26",46
"2017-09-27",13
"2017-09-28",8
"2017-09-29",7
"2017-09-30",5
"2017-10-01",7
"2017-10-02",6
"2017-10-03",6
"2017-10-04",7
"2017-10-05",9
"2017-10-06",40
"2017-10-07",19
"2017-10-08",16
"2017-10-09",21
"2017-10-10",19
"2017-10-11",15
"2017-10-12",13
"2017-10-13",13
"2017-10-14",8
"2017-10-15",9
"2017-10-16",13
"2017-10-17",13
"2017-10-18",11
"2017-10-19",40
"2017-10-20",10
"2017-10-21",9
"2017-10-22",10
"2017-10-23",10
"2017-10-24",10
"2017-10-25",9
"2017-10-26",9
"2017-10-27",7
"2017-10-28",6
"2017-10-29",7
"2017-10-30",9
"2017-10-31",33
"2017-11-01",13
"2017-11-02",10
"2017-11-03",10
"2017-11-04",7
"2017-11-05",8
"2017-11-06",10
"2017-11-07",8
"2017-11-08",49
"2017-11-09",14
"2017-11-10",11
"2017-11-11",65
"2017-11-12",21
"2017-11-13",19
"2017-11-14",20
"2017-11-15",13
"2017-11-16",11
"2017-11-17",9
"2017-11-18",9
"2017-11-19",9
"2017-11-20",10
"2017-11-21",47
"2017-11-22",14
"2017-11-23",37
"2017-11-24",10
"2017-11-25",15
"2017-11-26",11
"2017-11-27",11
"2017-11-28",12
"2017-11-29",10
"2017-11-30",12
"2017-12-01",8
"2017-12-02",8
"2017-12-03",8
"2017-12-04",11
"2017-12-05",48
"2017-12-06",14
"2017-12-07",11
"2017-12-08",9
"2017-12-09",8
"2017-12-10",10
"2017-12-11",11
"2017-12-12",8
"2017-12-13",10
"2017-12-14",8
"2017-12-15",6
"2017-12-16",6
"2017-12-17",9
"2017-12-18",8
"2017-12-19",11
"2017-12-20",47
"2017-12-21",14
"2017-12-22",10
"2017-12-23",7
"2017-12-24",8
"2017-12-25",8
"2017-12-26",10
"2017-12-27",9
"2017-12-28",8
"2017-12-29",6
"2017-12-30",7
"2017-12-31",6
"2018-01-01",8
"2018-01-02",9
"2018-01-03",9
"2018-01-04",45
"2018-01-05",10
"2018-01-06",9
"2018-01-07",51
"2018-01-08",15
"2018-01-09",14
"2018-01-10",9
"2018-01-11",9
"2018-01-12",37
"2018-01-13",11
"2018-01-14",12
"2018-01-15",15
"2018-01-16",100
"2018-01-17",38
"2018-01-18",22
"2018-01-19",14
"2018-01-20",12
"2018-01-21",14
"2018-01-22",14
"2018-01-23",11
"2018-01-24",10
"2018-01-25",8
"2018-01-26",8
"2018-01-27",8
"2018-01-28",72
"2018-01-29",19
"2018-01-30",16
"2018-01-31",14
"2018-02-01",74
"2018-02-02",17
"2018-02-03",14
"2018-02-04",15
"2018-02-05",14
"2018-02-06",12
"2018-02-07",11
"2018-02-08",11
"2018-02-09",9
"2018-02-10",9
"2018-02-11",8
"2018-02-12",8
"2018-02-13",6
"2018-02-14",6
"2018-02-15",6
"2018-02-16",9
"2018-02-17",9
"2018-02-18",10
"2018-02-19",12
"2018-02-20",31
"2018-02-21",14
"2018-02-22",9
"2018-02-23",8
"2018-02-24",7
"2018-02-25",8
"2018-02-26",8
"2018-02-27",9
"2018-02-28",29
"2018-03-01",12
"2018-03-02",10
"2018-03-03",9
"2018-03-04",11
"2018-03-05",9
"2018-03-06",7
"2018-03-07",9
"2018-03-08",9
"2018-03-09",5
"2018-03-10",18
"2018-03-11",10
"2018-03-12",10
"2018-03-13",9
"2018-03-14",9
"2018-03-15",7
"2018-03-16",6
"2018-03-17",6
"2018-03-18",8
"2018-03-19",8
"2018-03-20",27
"2018-03-21",36
"2018-03-22",16
"2018-03-23",11
"2018-03-24",10
"2018-03-25",55
"2018-03-26",22
"2018-03-27",15
"2018-03-28",13
"2018-03-29",12
"2018-03-30",10
"2018-03-31",8
"2018-04-01",12
"2018-04-02",10
"2018-04-03",10
"2018-04-04",8
"2018-04-05",8
"2018-04-06",20
"2018-04-07",7
"2018-04-08",10
"2018-04-09",9
"2018-04-10",10
"2018-04-11",18
"2018-04-12",10
"2018-04-13",7
"2018-04-14",12
"2018-04-15",8
"2018-04-16",15
"2018-04-17",10
"2018-04-18",9
"2018-04-19",10
