네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맥심화이트골드"
"2017-08-01",22
"2017-08-02",22
"2017-08-03",19
"2017-08-04",20
"2017-08-05",10
"2017-08-06",17
"2017-08-07",25
"2017-08-08",22
"2017-08-09",24
"2017-08-10",23
"2017-08-11",16
"2017-08-12",11
"2017-08-13",18
"2017-08-14",21
"2017-08-15",19
"2017-08-16",28
"2017-08-17",25
"2017-08-18",19
"2017-08-19",14
"2017-08-20",22
"2017-08-21",30
"2017-08-22",26
"2017-08-23",21
"2017-08-24",22
"2017-08-25",21
"2017-08-26",14
"2017-08-27",16
"2017-08-28",24
"2017-08-29",30
"2017-08-30",28
"2017-08-31",30
"2017-09-01",33
"2017-09-02",21
"2017-09-03",33
"2017-09-04",37
"2017-09-05",39
"2017-09-06",32
"2017-09-07",34
"2017-09-08",18
"2017-09-09",18
"2017-09-10",24
"2017-09-11",39
"2017-09-12",37
"2017-09-13",33
"2017-09-14",26
"2017-09-15",23
"2017-09-16",19
"2017-09-17",28
"2017-09-18",33
"2017-09-19",31
"2017-09-20",39
"2017-09-21",34
"2017-09-22",20
"2017-09-23",16
"2017-09-24",29
"2017-09-25",43
"2017-09-26",41
"2017-09-27",35
"2017-09-28",25
"2017-09-29",14
"2017-09-30",11
"2017-10-01",15
"2017-10-02",16
"2017-10-03",13
"2017-10-04",11
"2017-10-05",22
"2017-10-06",28
"2017-10-07",36
"2017-10-08",26
"2017-10-09",50
"2017-10-10",70
"2017-10-11",74
"2017-10-12",67
"2017-10-13",44
"2017-10-14",35
"2017-10-15",50
"2017-10-16",76
"2017-10-17",63
"2017-10-18",51
"2017-10-19",44
"2017-10-20",37
"2017-10-21",33
"2017-10-22",47
"2017-10-23",60
"2017-10-24",52
"2017-10-25",41
"2017-10-26",48
"2017-10-27",45
"2017-10-28",30
"2017-10-29",54
"2017-10-30",65
"2017-10-31",43
"2017-11-01",48
"2017-11-02",53
"2017-11-03",31
"2017-11-04",30
"2017-11-05",37
"2017-11-06",44
"2017-11-07",50
"2017-11-08",47
"2017-11-09",45
"2017-11-10",47
"2017-11-11",32
"2017-11-12",43
"2017-11-13",54
"2017-11-14",46
"2017-11-15",56
"2017-11-16",51
"2017-11-17",43
"2017-11-18",27
"2017-11-19",45
"2017-11-20",54
"2017-11-21",53
"2017-11-22",48
"2017-11-23",45
"2017-11-24",39
"2017-11-25",27
"2017-11-26",32
"2017-11-27",50
"2017-11-28",52
"2017-11-29",53
"2017-11-30",53
"2017-12-01",41
"2017-12-02",30
"2017-12-03",49
"2017-12-04",57
"2017-12-05",52
"2017-12-06",59
"2017-12-07",45
"2017-12-08",41
"2017-12-09",39
"2017-12-10",74
"2017-12-11",73
"2017-12-12",86
"2017-12-13",68
"2017-12-14",86
"2017-12-15",62
"2017-12-16",55
"2017-12-17",73
"2017-12-18",78
"2017-12-19",72
"2017-12-20",72
"2017-12-21",57
"2017-12-22",46
"2017-12-23",39
"2017-12-24",35
"2017-12-25",46
"2017-12-26",66
"2017-12-27",65
"2017-12-28",65
"2017-12-29",44
"2017-12-30",35
"2017-12-31",36
"2018-01-01",66
"2018-01-02",100
"2018-01-03",87
"2018-01-04",73
"2018-01-05",50
"2018-01-06",43
"2018-01-07",54
"2018-01-08",77
"2018-01-09",82
"2018-01-10",61
"2018-01-11",74
"2018-01-12",63
"2018-01-13",39
"2018-01-14",64
"2018-01-15",92
"2018-01-16",82
"2018-01-17",87
"2018-01-18",72
"2018-01-19",57
"2018-01-20",63
"2018-01-21",70
"2018-01-22",97
"2018-01-23",77
"2018-01-24",86
"2018-01-25",69
"2018-01-26",61
"2018-01-27",59
"2018-01-28",57
"2018-01-29",93
"2018-01-30",84
"2018-01-31",72
"2018-02-01",78
"2018-02-02",63
"2018-02-03",45
"2018-02-04",60
"2018-02-05",92
"2018-02-06",85
"2018-02-07",76
"2018-02-08",74
"2018-02-09",47
"2018-02-10",41
"2018-02-11",41
"2018-02-12",47
"2018-02-13",34
"2018-02-14",26
"2018-02-15",21
"2018-02-16",19
"2018-02-17",30
"2018-02-18",55
"2018-02-19",83
"2018-02-20",68
"2018-02-21",65
"2018-02-22",57
"2018-02-23",46
"2018-02-24",37
"2018-02-25",41
"2018-02-26",57
"2018-02-27",57
"2018-02-28",48
"2018-03-01",52
"2018-03-02",45
"2018-03-03",29
"2018-03-04",41
"2018-03-05",76
"2018-03-06",55
"2018-03-07",57
"2018-03-08",62
"2018-03-09",41
"2018-03-10",32
"2018-03-11",56
"2018-03-12",60
"2018-03-13",65
"2018-03-14",49
"2018-03-15",56
"2018-03-16",49
"2018-03-17",29
"2018-03-18",50
"2018-03-19",60
"2018-03-20",54
"2018-03-21",70
"2018-03-22",50
"2018-03-23",44
"2018-03-24",35
"2018-03-25",36
"2018-03-26",60
"2018-03-27",60
"2018-03-28",47
"2018-03-29",46
"2018-03-30",40
"2018-03-31",25
"2018-04-01",46
"2018-04-02",62
"2018-04-03",63
"2018-04-04",65
"2018-04-05",57
"2018-04-06",63
"2018-04-07",34
"2018-04-08",40
"2018-04-09",60
"2018-04-10",58
"2018-04-11",60
"2018-04-12",48
"2018-04-13",36
"2018-04-14",37
"2018-04-15",44
"2018-04-16",61
"2018-04-17",63
"2018-04-18",62
"2018-04-19",56
