네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","닭가슴살"
"2017-08-01",66
"2017-08-02",59
"2017-08-03",55
"2017-08-04",40
"2017-08-05",33
"2017-08-06",51
"2017-08-07",72
"2017-08-08",66
"2017-08-09",58
"2017-08-10",60
"2017-08-11",40
"2017-08-12",28
"2017-08-13",38
"2017-08-14",50
"2017-08-15",57
"2017-08-16",60
"2017-08-17",63
"2017-08-18",43
"2017-08-19",33
"2017-08-20",50
"2017-08-21",68
"2017-08-22",67
"2017-08-23",65
"2017-08-24",56
"2017-08-25",40
"2017-08-26",33
"2017-08-27",45
"2017-08-28",61
"2017-08-29",65
"2017-08-30",56
"2017-08-31",47
"2017-09-01",41
"2017-09-02",32
"2017-09-03",44
"2017-09-04",67
"2017-09-05",57
"2017-09-06",52
"2017-09-07",48
"2017-09-08",35
"2017-09-09",27
"2017-09-10",44
"2017-09-11",62
"2017-09-12",58
"2017-09-13",52
"2017-09-14",40
"2017-09-15",36
"2017-09-16",26
"2017-09-17",37
"2017-09-18",54
"2017-09-19",53
"2017-09-20",44
"2017-09-21",38
"2017-09-22",27
"2017-09-23",20
"2017-09-24",25
"2017-09-25",50
"2017-09-26",50
"2017-09-27",45
"2017-09-28",35
"2017-09-29",21
"2017-09-30",14
"2017-10-01",18
"2017-10-02",15
"2017-10-03",13
"2017-10-04",16
"2017-10-05",19
"2017-10-06",31
"2017-10-07",33
"2017-10-08",43
"2017-10-09",70
"2017-10-10",98
"2017-10-11",92
"2017-10-12",70
"2017-10-13",43
"2017-10-14",36
"2017-10-15",43
"2017-10-16",81
"2017-10-17",68
"2017-10-18",59
"2017-10-19",56
"2017-10-20",36
"2017-10-21",31
"2017-10-22",42
"2017-10-23",64
"2017-10-24",62
"2017-10-25",58
"2017-10-26",53
"2017-10-27",40
"2017-10-28",32
"2017-10-29",43
"2017-10-30",60
"2017-10-31",60
"2017-11-01",61
"2017-11-02",53
"2017-11-03",42
"2017-11-04",31
"2017-11-05",47
"2017-11-06",68
"2017-11-07",66
"2017-11-08",54
"2017-11-09",54
"2017-11-10",41
"2017-11-11",29
"2017-11-12",44
"2017-11-13",62
"2017-11-14",55
"2017-11-15",48
"2017-11-16",47
"2017-11-17",36
"2017-11-18",28
"2017-11-19",35
"2017-11-20",58
"2017-11-21",51
"2017-11-22",53
"2017-11-23",43
"2017-11-24",34
"2017-11-25",32
"2017-11-26",34
"2017-11-27",57
"2017-11-28",53
"2017-11-29",55
"2017-11-30",47
"2017-12-01",36
"2017-12-02",31
"2017-12-03",45
"2017-12-04",68
"2017-12-05",58
"2017-12-06",56
"2017-12-07",46
"2017-12-08",35
"2017-12-09",28
"2017-12-10",34
"2017-12-11",56
"2017-12-12",51
"2017-12-13",49
"2017-12-14",45
"2017-12-15",34
"2017-12-16",27
"2017-12-17",38
"2017-12-18",47
"2017-12-19",45
"2017-12-20",43
"2017-12-21",35
"2017-12-22",30
"2017-12-23",21
"2017-12-24",22
"2017-12-25",35
"2017-12-26",50
"2017-12-27",55
"2017-12-28",47
"2017-12-29",35
"2017-12-30",30
"2017-12-31",36
"2018-01-01",58
"2018-01-02",89
"2018-01-03",72
"2018-01-04",66
"2018-01-05",48
"2018-01-06",36
"2018-01-07",51
"2018-01-08",81
"2018-01-09",69
"2018-01-10",71
"2018-01-11",69
"2018-01-12",55
"2018-01-13",44
"2018-01-14",65
"2018-01-15",89
"2018-01-16",85
"2018-01-17",76
"2018-01-18",71
"2018-01-19",56
"2018-01-20",47
"2018-01-21",63
"2018-01-22",100
"2018-01-23",86
"2018-01-24",81
"2018-01-25",73
"2018-01-26",61
"2018-01-27",47
"2018-01-28",68
"2018-01-29",93
"2018-01-30",91
"2018-01-31",88
"2018-02-01",87
"2018-02-02",63
"2018-02-03",55
"2018-02-04",69
"2018-02-05",99
"2018-02-06",70
"2018-02-07",61
"2018-02-08",51
"2018-02-09",36
"2018-02-10",23
"2018-02-11",30
"2018-02-12",37
"2018-02-13",30
"2018-02-14",23
"2018-02-15",21
"2018-02-16",19
"2018-02-17",25
"2018-02-18",45
"2018-02-19",85
"2018-02-20",70
"2018-02-21",72
"2018-02-22",60
"2018-02-23",50
"2018-02-24",47
"2018-02-25",52
"2018-02-26",67
"2018-02-27",59
"2018-02-28",50
"2018-03-01",49
"2018-03-02",48
"2018-03-03",40
"2018-03-04",61
"2018-03-05",85
"2018-03-06",76
"2018-03-07",66
"2018-03-08",59
"2018-03-09",44
"2018-03-10",34
"2018-03-11",51
"2018-03-12",68
"2018-03-13",65
"2018-03-14",68
"2018-03-15",65
"2018-03-16",44
"2018-03-17",34
"2018-03-18",53
"2018-03-19",89
"2018-03-20",83
"2018-03-21",86
"2018-03-22",70
"2018-03-23",53
"2018-03-24",47
"2018-03-25",60
"2018-03-26",92
"2018-03-27",88
"2018-03-28",80
"2018-03-29",73
"2018-03-30",53
"2018-03-31",40
"2018-04-01",63
"2018-04-02",97
"2018-04-03",91
"2018-04-04",79
"2018-04-05",70
"2018-04-06",51
"2018-04-07",44
"2018-04-08",56
"2018-04-09",79
"2018-04-10",78
"2018-04-11",84
"2018-04-12",76
"2018-04-13",55
"2018-04-14",45
"2018-04-15",56
"2018-04-16",82
"2018-04-17",79
"2018-04-18",74
"2018-04-19",65
