네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","브라질너트"
"2017-08-01",18
"2017-08-02",19
"2017-08-03",14
"2017-08-04",13
"2017-08-05",11
"2017-08-06",13
"2017-08-07",13
"2017-08-08",12
"2017-08-09",15
"2017-08-10",12
"2017-08-11",42
"2017-08-12",16
"2017-08-13",33
"2017-08-14",17
"2017-08-15",18
"2017-08-16",17
"2017-08-17",35
"2017-08-18",50
"2017-08-19",16
"2017-08-20",14
"2017-08-21",48
"2017-08-22",32
"2017-08-23",18
"2017-08-24",18
"2017-08-25",38
"2017-08-26",19
"2017-08-27",48
"2017-08-28",20
"2017-08-29",20
"2017-08-30",22
"2017-08-31",69
"2017-09-01",21
"2017-09-02",17
"2017-09-03",19
"2017-09-04",18
"2017-09-05",17
"2017-09-06",21
"2017-09-07",16
"2017-09-08",41
"2017-09-09",36
"2017-09-10",47
"2017-09-11",27
"2017-09-12",27
"2017-09-13",22
"2017-09-14",26
"2017-09-15",15
"2017-09-16",38
"2017-09-17",18
"2017-09-18",20
"2017-09-19",48
"2017-09-20",21
"2017-09-21",28
"2017-09-22",35
"2017-09-23",46
"2017-09-24",40
"2017-09-25",31
"2017-09-26",27
"2017-09-27",36
"2017-09-28",23
"2017-09-29",10
"2017-09-30",8
"2017-10-01",22
"2017-10-02",33
"2017-10-03",15
"2017-10-04",13
"2017-10-05",14
"2017-10-06",14
"2017-10-07",11
"2017-10-08",11
"2017-10-09",23
"2017-10-10",22
"2017-10-11",19
"2017-10-12",22
"2017-10-13",41
"2017-10-14",16
"2017-10-15",42
"2017-10-16",24
"2017-10-17",22
"2017-10-18",21
"2017-10-19",16
"2017-10-20",10
"2017-10-21",10
"2017-10-22",15
"2017-10-23",18
"2017-10-24",18
"2017-10-25",13
"2017-10-26",39
"2017-10-27",70
"2017-10-28",36
"2017-10-29",20
"2017-10-30",19
"2017-10-31",20
"2017-11-01",19
"2017-11-02",17
"2017-11-03",14
"2017-11-04",22
"2017-11-05",11
"2017-11-06",16
"2017-11-07",15
"2017-11-08",15
"2017-11-09",37
"2017-11-10",40
"2017-11-11",23
"2017-11-12",42
"2017-11-13",30
"2017-11-14",22
"2017-11-15",19
"2017-11-16",20
"2017-11-17",15
"2017-11-18",10
"2017-11-19",12
"2017-11-20",17
"2017-11-21",18
"2017-11-22",17
"2017-11-23",31
"2017-11-24",34
"2017-11-25",18
"2017-11-26",64
"2017-11-27",30
"2017-11-28",61
"2017-11-29",28
"2017-11-30",22
"2017-12-01",18
"2017-12-02",17
"2017-12-03",40
"2017-12-04",23
"2017-12-05",20
"2017-12-06",17
"2017-12-07",17
"2017-12-08",13
"2017-12-09",14
"2017-12-10",15
"2017-12-11",59
"2017-12-12",29
"2017-12-13",20
"2017-12-14",17
"2017-12-15",53
"2017-12-16",46
"2017-12-17",100
"2017-12-18",62
"2017-12-19",46
"2017-12-20",26
"2017-12-21",39
"2017-12-22",18
"2017-12-23",18
"2017-12-24",28
"2017-12-25",22
"2017-12-26",24
"2017-12-27",26
"2017-12-28",21
"2017-12-29",40
"2017-12-30",18
"2017-12-31",29
"2018-01-01",41
"2018-01-02",28
"2018-01-03",29
"2018-01-04",27
"2018-01-05",44
"2018-01-06",28
"2018-01-07",30
"2018-01-08",29
"2018-01-09",60
"2018-01-10",33
"2018-01-11",27
"2018-01-12",63
"2018-01-13",37
"2018-01-14",36
"2018-01-15",32
"2018-01-16",29
"2018-01-17",40
"2018-01-18",27
"2018-01-19",21
"2018-01-20",43
"2018-01-21",27
"2018-01-22",35
"2018-01-23",29
"2018-01-24",46
"2018-01-25",24
"2018-01-26",24
"2018-01-27",40
"2018-01-28",33
"2018-01-29",31
"2018-01-30",64
"2018-01-31",45
"2018-02-01",35
"2018-02-02",79
"2018-02-03",37
"2018-02-04",35
"2018-02-05",64
"2018-02-06",47
"2018-02-07",40
"2018-02-08",65
"2018-02-09",23
"2018-02-10",24
"2018-02-11",39
"2018-02-12",26
"2018-02-13",27
"2018-02-14",17
"2018-02-15",21
"2018-02-16",21
"2018-02-17",20
"2018-02-18",23
"2018-02-19",30
"2018-02-20",22
"2018-02-21",28
"2018-02-22",25
"2018-02-23",43
"2018-02-24",33
"2018-02-25",39
"2018-02-26",40
"2018-02-27",32
"2018-02-28",26
"2018-03-01",47
"2018-03-02",25
"2018-03-03",24
"2018-03-04",50
"2018-03-05",30
"2018-03-06",26
"2018-03-07",26
"2018-03-08",41
"2018-03-09",54
"2018-03-10",57
"2018-03-11",35
"2018-03-12",42
"2018-03-13",33
"2018-03-14",55
"2018-03-15",42
"2018-03-16",22
"2018-03-17",34
"2018-03-18",25
"2018-03-19",43
"2018-03-20",29
"2018-03-21",48
"2018-03-22",26
"2018-03-23",20
"2018-03-24",53
"2018-03-25",51
"2018-03-26",30
"2018-03-27",28
"2018-03-28",32
"2018-03-29",23
"2018-03-30",52
"2018-03-31",30
"2018-04-01",26
"2018-04-02",26
"2018-04-03",28
"2018-04-04",21
"2018-04-05",24
"2018-04-06",17
"2018-04-07",20
"2018-04-08",54
"2018-04-09",37
"2018-04-10",24
"2018-04-11",35
"2018-04-12",23
"2018-04-13",17
"2018-04-14",18
"2018-04-15",44
"2018-04-16",29
"2018-04-17",29
"2018-04-18",22
"2018-04-19",32
