네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","정관장"
"2017-08-01",8
"2017-08-02",9
"2017-08-03",8
"2017-08-04",7
"2017-08-05",5
"2017-08-06",6
"2017-08-07",9
"2017-08-08",10
"2017-08-09",11
"2017-08-10",8
"2017-08-11",8
"2017-08-12",6
"2017-08-13",7
"2017-08-14",8
"2017-08-15",8
"2017-08-16",10
"2017-08-17",9
"2017-08-18",7
"2017-08-19",6
"2017-08-20",7
"2017-08-21",9
"2017-08-22",10
"2017-08-23",10
"2017-08-24",10
"2017-08-25",11
"2017-08-26",8
"2017-08-27",9
"2017-08-28",11
"2017-08-29",13
"2017-08-30",10
"2017-08-31",12
"2017-09-01",10
"2017-09-02",10
"2017-09-03",9
"2017-09-04",11
"2017-09-05",16
"2017-09-06",14
"2017-09-07",14
"2017-09-08",14
"2017-09-09",13
"2017-09-10",17
"2017-09-11",23
"2017-09-12",27
"2017-09-13",27
"2017-09-14",27
"2017-09-15",26
"2017-09-16",26
"2017-09-17",30
"2017-09-18",43
"2017-09-19",45
"2017-09-20",47
"2017-09-21",47
"2017-09-22",42
"2017-09-23",38
"2017-09-24",55
"2017-09-25",93
"2017-09-26",100
"2017-09-27",86
"2017-09-28",66
"2017-09-29",53
"2017-09-30",39
"2017-10-01",38
"2017-10-02",34
"2017-10-03",26
"2017-10-04",20
"2017-10-05",24
"2017-10-06",18
"2017-10-07",8
"2017-10-08",8
"2017-10-09",7
"2017-10-10",12
"2017-10-11",14
"2017-10-12",6
"2017-10-13",6
"2017-10-14",13
"2017-10-15",14
"2017-10-16",15
"2017-10-17",16
"2017-10-18",16
"2017-10-19",16
"2017-10-20",11
"2017-10-21",12
"2017-10-22",12
"2017-10-23",15
"2017-10-24",14
"2017-10-25",15
"2017-10-26",12
"2017-10-27",10
"2017-10-28",11
"2017-10-29",13
"2017-10-30",17
"2017-10-31",13
"2017-11-01",17
"2017-11-02",16
"2017-11-03",12
"2017-11-04",7
"2017-11-05",9
"2017-11-06",18
"2017-11-07",15
"2017-11-08",16
"2017-11-09",15
"2017-11-10",13
"2017-11-11",10
"2017-11-12",10
"2017-11-13",16
"2017-11-14",16
"2017-11-15",15
"2017-11-16",14
"2017-11-17",11
"2017-11-18",9
"2017-11-19",9
"2017-11-20",13
"2017-11-21",12
"2017-11-22",14
"2017-11-23",11
"2017-11-24",9
"2017-11-25",9
"2017-11-26",11
"2017-11-27",15
"2017-11-28",14
"2017-11-29",15
"2017-11-30",13
"2017-12-01",11
"2017-12-02",12
"2017-12-03",14
"2017-12-04",20
"2017-12-05",20
"2017-12-06",21
"2017-12-07",18
"2017-12-08",13
"2017-12-09",14
"2017-12-10",17
"2017-12-11",18
"2017-12-12",19
"2017-12-13",17
"2017-12-14",17
"2017-12-15",17
"2017-12-16",13
"2017-12-17",16
"2017-12-18",19
"2017-12-19",19
"2017-12-20",20
"2017-12-21",19
"2017-12-22",19
"2017-12-23",14
"2017-12-24",15
"2017-12-25",18
"2017-12-26",21
"2017-12-27",19
"2017-12-28",17
"2017-12-29",15
"2017-12-30",16
"2017-12-31",16
"2018-01-01",26
"2018-01-02",24
"2018-01-03",23
"2018-01-04",22
"2018-01-05",18
"2018-01-06",21
"2018-01-07",23
"2018-01-08",24
"2018-01-09",24
"2018-01-10",21
"2018-01-11",20
"2018-01-12",20
"2018-01-13",17
"2018-01-14",19
"2018-01-15",23
"2018-01-16",24
"2018-01-17",26
"2018-01-18",20
"2018-01-19",17
"2018-01-20",19
"2018-01-21",19
"2018-01-22",23
"2018-01-23",25
"2018-01-24",23
"2018-01-25",25
"2018-01-26",24
"2018-01-27",29
"2018-01-28",33
"2018-01-29",44
"2018-01-30",42
"2018-01-31",46
"2018-02-01",48
"2018-02-02",46
"2018-02-03",51
"2018-02-04",69
"2018-02-05",90
"2018-02-06",93
"2018-02-07",93
"2018-02-08",88
"2018-02-09",76
"2018-02-10",64
"2018-02-11",69
"2018-02-12",76
"2018-02-13",56
"2018-02-14",47
"2018-02-15",31
"2018-02-16",24
"2018-02-17",30
"2018-02-18",29
"2018-02-19",28
"2018-02-20",25
"2018-02-21",20
"2018-02-22",18
"2018-02-23",17
"2018-02-24",16
"2018-02-25",16
"2018-02-26",22
"2018-02-27",18
"2018-02-28",15
"2018-03-01",18
"2018-03-02",17
"2018-03-03",15
"2018-03-04",18
"2018-03-05",17
"2018-03-06",18
"2018-03-07",22
"2018-03-08",16
"2018-03-09",15
"2018-03-10",18
"2018-03-11",20
"2018-03-12",22
"2018-03-13",22
"2018-03-14",17
"2018-03-15",19
"2018-03-16",17
"2018-03-17",14
"2018-03-18",21
"2018-03-19",18
"2018-03-20",19
"2018-03-21",22
"2018-03-22",19
"2018-03-23",15
"2018-03-24",15
"2018-03-25",15
"2018-03-26",18
"2018-03-27",19
"2018-03-28",20
"2018-03-29",16
"2018-03-30",13
"2018-03-31",14
"2018-04-01",16
"2018-04-02",19
"2018-04-03",17
"2018-04-04",21
"2018-04-05",17
"2018-04-06",15
"2018-04-07",13
"2018-04-08",17
"2018-04-09",19
"2018-04-10",19
"2018-04-11",17
"2018-04-12",16
"2018-04-13",15
"2018-04-14",16
"2018-04-15",22
"2018-04-16",19
"2018-04-17",22
"2018-04-18",21
"2018-04-19",18
