네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","종합비타민"
"2017-08-01",36
"2017-08-02",47
"2017-08-03",45
"2017-08-04",41
"2017-08-05",29
"2017-08-06",35
"2017-08-07",45
"2017-08-08",44
"2017-08-09",44
"2017-08-10",36
"2017-08-11",32
"2017-08-12",27
"2017-08-13",31
"2017-08-14",41
"2017-08-15",45
"2017-08-16",51
"2017-08-17",41
"2017-08-18",49
"2017-08-19",33
"2017-08-20",37
"2017-08-21",51
"2017-08-22",59
"2017-08-23",50
"2017-08-24",46
"2017-08-25",52
"2017-08-26",41
"2017-08-27",54
"2017-08-28",57
"2017-08-29",51
"2017-08-30",56
"2017-08-31",54
"2017-09-01",38
"2017-09-02",30
"2017-09-03",46
"2017-09-04",54
"2017-09-05",54
"2017-09-06",55
"2017-09-07",49
"2017-09-08",39
"2017-09-09",38
"2017-09-10",41
"2017-09-11",50
"2017-09-12",57
"2017-09-13",50
"2017-09-14",48
"2017-09-15",38
"2017-09-16",34
"2017-09-17",46
"2017-09-18",60
"2017-09-19",61
"2017-09-20",64
"2017-09-21",50
"2017-09-22",45
"2017-09-23",34
"2017-09-24",44
"2017-09-25",56
"2017-09-26",48
"2017-09-27",57
"2017-09-28",38
"2017-09-29",28
"2017-09-30",21
"2017-10-01",22
"2017-10-02",28
"2017-10-03",21
"2017-10-04",24
"2017-10-05",38
"2017-10-06",43
"2017-10-07",35
"2017-10-08",38
"2017-10-09",61
"2017-10-10",54
"2017-10-11",58
"2017-10-12",52
"2017-10-13",38
"2017-10-14",38
"2017-10-15",44
"2017-10-16",53
"2017-10-17",54
"2017-10-18",51
"2017-10-19",63
"2017-10-20",47
"2017-10-21",38
"2017-10-22",51
"2017-10-23",59
"2017-10-24",56
"2017-10-25",65
"2017-10-26",44
"2017-10-27",42
"2017-10-28",36
"2017-10-29",54
"2017-10-30",51
"2017-10-31",59
"2017-11-01",54
"2017-11-02",49
"2017-11-03",41
"2017-11-04",36
"2017-11-05",51
"2017-11-06",50
"2017-11-07",54
"2017-11-08",60
"2017-11-09",49
"2017-11-10",41
"2017-11-11",35
"2017-11-12",57
"2017-11-13",64
"2017-11-14",47
"2017-11-15",42
"2017-11-16",36
"2017-11-17",32
"2017-11-18",28
"2017-11-19",39
"2017-11-20",45
"2017-11-21",48
"2017-11-22",53
"2017-11-23",45
"2017-11-24",32
"2017-11-25",32
"2017-11-26",45
"2017-11-27",56
"2017-11-28",51
"2017-11-29",49
"2017-11-30",40
"2017-12-01",43
"2017-12-02",33
"2017-12-03",52
"2017-12-04",60
"2017-12-05",61
"2017-12-06",58
"2017-12-07",40
"2017-12-08",42
"2017-12-09",48
"2017-12-10",50
"2017-12-11",59
"2017-12-12",48
"2017-12-13",40
"2017-12-14",41
"2017-12-15",36
"2017-12-16",29
"2017-12-17",37
"2017-12-18",51
"2017-12-19",45
"2017-12-20",43
"2017-12-21",57
"2017-12-22",40
"2017-12-23",40
"2017-12-24",34
"2017-12-25",42
"2017-12-26",52
"2017-12-27",54
"2017-12-28",41
"2017-12-29",48
"2017-12-30",54
"2017-12-31",32
"2018-01-01",66
"2018-01-02",75
"2018-01-03",70
"2018-01-04",63
"2018-01-05",58
"2018-01-06",47
"2018-01-07",71
"2018-01-08",69
"2018-01-09",59
"2018-01-10",66
"2018-01-11",63
"2018-01-12",49
"2018-01-13",39
"2018-01-14",67
"2018-01-15",96
"2018-01-16",77
"2018-01-17",75
"2018-01-18",54
"2018-01-19",53
"2018-01-20",68
"2018-01-21",95
"2018-01-22",100
"2018-01-23",61
"2018-01-24",65
"2018-01-25",59
"2018-01-26",53
"2018-01-27",57
"2018-01-28",64
"2018-01-29",78
"2018-01-30",93
"2018-01-31",82
"2018-02-01",82
"2018-02-02",63
"2018-02-03",52
"2018-02-04",79
"2018-02-05",75
"2018-02-06",80
"2018-02-07",84
"2018-02-08",67
"2018-02-09",48
"2018-02-10",45
"2018-02-11",55
"2018-02-12",53
"2018-02-13",44
"2018-02-14",30
"2018-02-15",30
"2018-02-16",36
"2018-02-17",33
"2018-02-18",61
"2018-02-19",69
"2018-02-20",65
"2018-02-21",76
"2018-02-22",62
"2018-02-23",51
"2018-02-24",56
"2018-02-25",62
"2018-02-26",78
"2018-02-27",69
"2018-02-28",61
"2018-03-01",67
"2018-03-02",61
"2018-03-03",56
"2018-03-04",71
"2018-03-05",75
"2018-03-06",77
"2018-03-07",69
"2018-03-08",56
"2018-03-09",62
"2018-03-10",52
"2018-03-11",66
"2018-03-12",57
"2018-03-13",66
"2018-03-14",59
"2018-03-15",68
"2018-03-16",60
"2018-03-17",52
"2018-03-18",70
"2018-03-19",73
"2018-03-20",77
"2018-03-21",76
"2018-03-22",59
"2018-03-23",60
"2018-03-24",56
"2018-03-25",64
"2018-03-26",70
"2018-03-27",58
"2018-03-28",60
"2018-03-29",47
"2018-03-30",55
"2018-03-31",41
"2018-04-01",56
"2018-04-02",64
"2018-04-03",69
"2018-04-04",62
"2018-04-05",56
"2018-04-06",57
"2018-04-07",42
"2018-04-08",67
"2018-04-09",66
"2018-04-10",72
"2018-04-11",67
"2018-04-12",62
"2018-04-13",42
"2018-04-14",53
"2018-04-15",57
"2018-04-16",54
"2018-04-17",71
"2018-04-18",47
"2018-04-19",52
