네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","유산균"
"2017-08-01",34
"2017-08-02",36
"2017-08-03",36
"2017-08-04",25
"2017-08-05",23
"2017-08-06",32
"2017-08-07",37
"2017-08-08",36
"2017-08-09",36
"2017-08-10",31
"2017-08-11",26
"2017-08-12",26
"2017-08-13",33
"2017-08-14",39
"2017-08-15",40
"2017-08-16",47
"2017-08-17",51
"2017-08-18",42
"2017-08-19",36
"2017-08-20",44
"2017-08-21",53
"2017-08-22",48
"2017-08-23",51
"2017-08-24",44
"2017-08-25",28
"2017-08-26",25
"2017-08-27",37
"2017-08-28",36
"2017-08-29",41
"2017-08-30",46
"2017-08-31",42
"2017-09-01",36
"2017-09-02",26
"2017-09-03",35
"2017-09-04",44
"2017-09-05",51
"2017-09-06",46
"2017-09-07",41
"2017-09-08",35
"2017-09-09",30
"2017-09-10",45
"2017-09-11",46
"2017-09-12",44
"2017-09-13",46
"2017-09-14",43
"2017-09-15",37
"2017-09-16",39
"2017-09-17",39
"2017-09-18",49
"2017-09-19",57
"2017-09-20",47
"2017-09-21",39
"2017-09-22",36
"2017-09-23",32
"2017-09-24",36
"2017-09-25",52
"2017-09-26",42
"2017-09-27",44
"2017-09-28",30
"2017-09-29",27
"2017-09-30",20
"2017-10-01",27
"2017-10-02",24
"2017-10-03",23
"2017-10-04",26
"2017-10-05",33
"2017-10-06",41
"2017-10-07",42
"2017-10-08",43
"2017-10-09",57
"2017-10-10",65
"2017-10-11",54
"2017-10-12",52
"2017-10-13",40
"2017-10-14",38
"2017-10-15",41
"2017-10-16",54
"2017-10-17",51
"2017-10-18",60
"2017-10-19",53
"2017-10-20",39
"2017-10-21",37
"2017-10-22",42
"2017-10-23",46
"2017-10-24",59
"2017-10-25",51
"2017-10-26",46
"2017-10-27",38
"2017-10-28",40
"2017-10-29",45
"2017-10-30",54
"2017-10-31",50
"2017-11-01",47
"2017-11-02",46
"2017-11-03",36
"2017-11-04",34
"2017-11-05",40
"2017-11-06",47
"2017-11-07",53
"2017-11-08",45
"2017-11-09",39
"2017-11-10",40
"2017-11-11",30
"2017-11-12",43
"2017-11-13",53
"2017-11-14",50
"2017-11-15",41
"2017-11-16",39
"2017-11-17",43
"2017-11-18",31
"2017-11-19",44
"2017-11-20",57
"2017-11-21",57
"2017-11-22",44
"2017-11-23",47
"2017-11-24",40
"2017-11-25",34
"2017-11-26",48
"2017-11-27",53
"2017-11-28",52
"2017-11-29",50
"2017-11-30",49
"2017-12-01",37
"2017-12-02",44
"2017-12-03",48
"2017-12-04",52
"2017-12-05",50
"2017-12-06",44
"2017-12-07",43
"2017-12-08",34
"2017-12-09",30
"2017-12-10",44
"2017-12-11",51
"2017-12-12",45
"2017-12-13",41
"2017-12-14",48
"2017-12-15",42
"2017-12-16",31
"2017-12-17",40
"2017-12-18",54
"2017-12-19",47
"2017-12-20",55
"2017-12-21",54
"2017-12-22",41
"2017-12-23",36
"2017-12-24",38
"2017-12-25",54
"2017-12-26",61
"2017-12-27",55
"2017-12-28",52
"2017-12-29",62
"2017-12-30",43
"2017-12-31",44
"2018-01-01",68
"2018-01-02",87
"2018-01-03",75
"2018-01-04",64
"2018-01-05",72
"2018-01-06",53
"2018-01-07",65
"2018-01-08",75
"2018-01-09",75
"2018-01-10",80
"2018-01-11",69
"2018-01-12",60
"2018-01-13",58
"2018-01-14",76
"2018-01-15",86
"2018-01-16",82
"2018-01-17",84
"2018-01-18",72
"2018-01-19",51
"2018-01-20",60
"2018-01-21",70
"2018-01-22",74
"2018-01-23",69
"2018-01-24",69
"2018-01-25",64
"2018-01-26",67
"2018-01-27",52
"2018-01-28",69
"2018-01-29",75
"2018-01-30",68
"2018-01-31",71
"2018-02-01",63
"2018-02-02",59
"2018-02-03",52
"2018-02-04",64
"2018-02-05",74
"2018-02-06",75
"2018-02-07",70
"2018-02-08",60
"2018-02-09",53
"2018-02-10",47
"2018-02-11",52
"2018-02-12",52
"2018-02-13",42
"2018-02-14",31
"2018-02-15",31
"2018-02-16",41
"2018-02-17",53
"2018-02-18",81
"2018-02-19",100
"2018-02-20",81
"2018-02-21",76
"2018-02-22",73
"2018-02-23",68
"2018-02-24",48
"2018-02-25",61
"2018-02-26",73
"2018-02-27",91
"2018-02-28",66
"2018-03-01",72
"2018-03-02",64
"2018-03-03",53
"2018-03-04",67
"2018-03-05",83
"2018-03-06",67
"2018-03-07",71
"2018-03-08",69
"2018-03-09",55
"2018-03-10",46
"2018-03-11",69
"2018-03-12",67
"2018-03-13",72
"2018-03-14",68
"2018-03-15",69
"2018-03-16",55
"2018-03-17",47
"2018-03-18",65
"2018-03-19",78
"2018-03-20",71
"2018-03-21",68
"2018-03-22",62
"2018-03-23",69
"2018-03-24",60
"2018-03-25",76
"2018-03-26",77
"2018-03-27",74
"2018-03-28",72
"2018-03-29",68
"2018-03-30",51
"2018-03-31",58
"2018-04-01",61
"2018-04-02",72
"2018-04-03",66
"2018-04-04",63
"2018-04-05",61
"2018-04-06",51
"2018-04-07",48
"2018-04-08",58
"2018-04-09",76
"2018-04-10",76
"2018-04-11",67
"2018-04-12",68
"2018-04-13",55
"2018-04-14",51
"2018-04-15",62
"2018-04-16",65
"2018-04-17",63
"2018-04-18",56
"2018-04-19",57
