네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","루테인"
"2017-08-01",29
"2017-08-02",29
"2017-08-03",21
"2017-08-04",17
"2017-08-05",15
"2017-08-06",23
"2017-08-07",25
"2017-08-08",32
"2017-08-09",26
"2017-08-10",28
"2017-08-11",22
"2017-08-12",21
"2017-08-13",25
"2017-08-14",26
"2017-08-15",29
"2017-08-16",30
"2017-08-17",25
"2017-08-18",22
"2017-08-19",18
"2017-08-20",22
"2017-08-21",31
"2017-08-22",21
"2017-08-23",23
"2017-08-24",22
"2017-08-25",21
"2017-08-26",22
"2017-08-27",21
"2017-08-28",24
"2017-08-29",28
"2017-08-30",25
"2017-08-31",31
"2017-09-01",24
"2017-09-02",24
"2017-09-03",24
"2017-09-04",33
"2017-09-05",28
"2017-09-06",35
"2017-09-07",28
"2017-09-08",28
"2017-09-09",16
"2017-09-10",22
"2017-09-11",26
"2017-09-12",30
"2017-09-13",30
"2017-09-14",42
"2017-09-15",27
"2017-09-16",22
"2017-09-17",28
"2017-09-18",38
"2017-09-19",39
"2017-09-20",32
"2017-09-21",27
"2017-09-22",31
"2017-09-23",25
"2017-09-24",33
"2017-09-25",44
"2017-09-26",52
"2017-09-27",33
"2017-09-28",30
"2017-09-29",24
"2017-09-30",21
"2017-10-01",22
"2017-10-02",24
"2017-10-03",22
"2017-10-04",29
"2017-10-05",23
"2017-10-06",34
"2017-10-07",34
"2017-10-08",46
"2017-10-09",49
"2017-10-10",64
"2017-10-11",100
"2017-10-12",50
"2017-10-13",37
"2017-10-14",29
"2017-10-15",29
"2017-10-16",41
"2017-10-17",36
"2017-10-18",41
"2017-10-19",33
"2017-10-20",39
"2017-10-21",27
"2017-10-22",36
"2017-10-23",45
"2017-10-24",40
"2017-10-25",42
"2017-10-26",46
"2017-10-27",37
"2017-10-28",40
"2017-10-29",41
"2017-10-30",51
"2017-10-31",46
"2017-11-01",41
"2017-11-02",44
"2017-11-03",33
"2017-11-04",29
"2017-11-05",35
"2017-11-06",43
"2017-11-07",44
"2017-11-08",37
"2017-11-09",39
"2017-11-10",34
"2017-11-11",27
"2017-11-12",39
"2017-11-13",36
"2017-11-14",47
"2017-11-15",39
"2017-11-16",36
"2017-11-17",36
"2017-11-18",30
"2017-11-19",52
"2017-11-20",48
"2017-11-21",41
"2017-11-22",39
"2017-11-23",39
"2017-11-24",41
"2017-11-25",33
"2017-11-26",40
"2017-11-27",54
"2017-11-28",47
"2017-11-29",49
"2017-11-30",46
"2017-12-01",53
"2017-12-02",33
"2017-12-03",36
"2017-12-04",58
"2017-12-05",47
"2017-12-06",37
"2017-12-07",43
"2017-12-08",35
"2017-12-09",28
"2017-12-10",43
"2017-12-11",49
"2017-12-12",45
"2017-12-13",59
"2017-12-14",48
"2017-12-15",41
"2017-12-16",36
"2017-12-17",40
"2017-12-18",51
"2017-12-19",55
"2017-12-20",56
"2017-12-21",42
"2017-12-22",41
"2017-12-23",36
"2017-12-24",37
"2017-12-25",44
"2017-12-26",57
"2017-12-27",56
"2017-12-28",55
"2017-12-29",53
"2017-12-30",49
"2017-12-31",43
"2018-01-01",56
"2018-01-02",79
"2018-01-03",81
"2018-01-04",76
"2018-01-05",58
"2018-01-06",58
"2018-01-07",66
"2018-01-08",66
"2018-01-09",63
"2018-01-10",61
"2018-01-11",59
"2018-01-12",52
"2018-01-13",52
"2018-01-14",61
"2018-01-15",79
"2018-01-16",68
"2018-01-17",68
"2018-01-18",62
"2018-01-19",51
"2018-01-20",65
"2018-01-21",52
"2018-01-22",68
"2018-01-23",66
"2018-01-24",66
"2018-01-25",66
"2018-01-26",57
"2018-01-27",53
"2018-01-28",58
"2018-01-29",65
"2018-01-30",74
"2018-01-31",66
"2018-02-01",75
"2018-02-02",68
"2018-02-03",50
"2018-02-04",60
"2018-02-05",77
"2018-02-06",76
"2018-02-07",83
"2018-02-08",74
"2018-02-09",55
"2018-02-10",53
"2018-02-11",60
"2018-02-12",51
"2018-02-13",38
"2018-02-14",33
"2018-02-15",35
"2018-02-16",35
"2018-02-17",51
"2018-02-18",55
"2018-02-19",77
"2018-02-20",77
"2018-02-21",67
"2018-02-22",67
"2018-02-23",57
"2018-02-24",44
"2018-02-25",48
"2018-02-26",69
"2018-02-27",62
"2018-02-28",52
"2018-03-01",61
"2018-03-02",53
"2018-03-03",46
"2018-03-04",64
"2018-03-05",67
"2018-03-06",63
"2018-03-07",65
"2018-03-08",57
"2018-03-09",54
"2018-03-10",58
"2018-03-11",65
"2018-03-12",65
"2018-03-13",68
"2018-03-14",65
"2018-03-15",56
"2018-03-16",38
"2018-03-17",47
"2018-03-18",51
"2018-03-19",67
"2018-03-20",69
"2018-03-21",65
"2018-03-22",57
"2018-03-23",50
"2018-03-24",44
"2018-03-25",44
"2018-03-26",55
"2018-03-27",57
"2018-03-28",53
"2018-03-29",52
"2018-03-30",41
"2018-03-31",41
"2018-04-01",53
"2018-04-02",55
"2018-04-03",57
"2018-04-04",72
"2018-04-05",50
"2018-04-06",43
"2018-04-07",39
"2018-04-08",49
"2018-04-09",59
"2018-04-10",62
"2018-04-11",65
"2018-04-12",53
"2018-04-13",44
"2018-04-14",34
"2018-04-15",48
"2018-04-16",46
"2018-04-17",51
"2018-04-18",59
"2018-04-19",55
