네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","햇반"
"2017-08-01",31
"2017-08-02",28
"2017-08-03",28
"2017-08-04",20
"2017-08-05",19
"2017-08-06",26
"2017-08-07",38
"2017-08-08",38
"2017-08-09",36
"2017-08-10",36
"2017-08-11",29
"2017-08-12",20
"2017-08-13",25
"2017-08-14",36
"2017-08-15",37
"2017-08-16",36
"2017-08-17",32
"2017-08-18",23
"2017-08-19",21
"2017-08-20",31
"2017-08-21",41
"2017-08-22",32
"2017-08-23",39
"2017-08-24",30
"2017-08-25",23
"2017-08-26",22
"2017-08-27",29
"2017-08-28",35
"2017-08-29",35
"2017-08-30",27
"2017-08-31",27
"2017-09-01",27
"2017-09-02",24
"2017-09-03",33
"2017-09-04",43
"2017-09-05",33
"2017-09-06",29
"2017-09-07",26
"2017-09-08",22
"2017-09-09",18
"2017-09-10",34
"2017-09-11",38
"2017-09-12",33
"2017-09-13",31
"2017-09-14",30
"2017-09-15",23
"2017-09-16",19
"2017-09-17",29
"2017-09-18",31
"2017-09-19",32
"2017-09-20",31
"2017-09-21",27
"2017-09-22",22
"2017-09-23",19
"2017-09-24",26
"2017-09-25",39
"2017-09-26",38
"2017-09-27",30
"2017-09-28",21
"2017-09-29",14
"2017-09-30",15
"2017-10-01",19
"2017-10-02",21
"2017-10-03",21
"2017-10-04",14
"2017-10-05",22
"2017-10-06",28
"2017-10-07",35
"2017-10-08",40
"2017-10-09",54
"2017-10-10",63
"2017-10-11",57
"2017-10-12",51
"2017-10-13",32
"2017-10-14",32
"2017-10-15",42
"2017-10-16",55
"2017-10-17",47
"2017-10-18",51
"2017-10-19",41
"2017-10-20",35
"2017-10-21",27
"2017-10-22",42
"2017-10-23",48
"2017-10-24",55
"2017-10-25",46
"2017-10-26",42
"2017-10-27",33
"2017-10-28",26
"2017-10-29",44
"2017-10-30",48
"2017-10-31",46
"2017-11-01",57
"2017-11-02",50
"2017-11-03",31
"2017-11-04",31
"2017-11-05",43
"2017-11-06",59
"2017-11-07",49
"2017-11-08",47
"2017-11-09",44
"2017-11-10",32
"2017-11-11",31
"2017-11-12",43
"2017-11-13",54
"2017-11-14",52
"2017-11-15",41
"2017-11-16",45
"2017-11-17",36
"2017-11-18",33
"2017-11-19",47
"2017-11-20",68
"2017-11-21",53
"2017-11-22",49
"2017-11-23",41
"2017-11-24",35
"2017-11-25",32
"2017-11-26",49
"2017-11-27",69
"2017-11-28",58
"2017-11-29",59
"2017-11-30",51
"2017-12-01",56
"2017-12-02",45
"2017-12-03",49
"2017-12-04",56
"2017-12-05",63
"2017-12-06",60
"2017-12-07",46
"2017-12-08",42
"2017-12-09",39
"2017-12-10",55
"2017-12-11",70
"2017-12-12",83
"2017-12-13",69
"2017-12-14",58
"2017-12-15",47
"2017-12-16",41
"2017-12-17",63
"2017-12-18",67
"2017-12-19",56
"2017-12-20",57
"2017-12-21",45
"2017-12-22",34
"2017-12-23",31
"2017-12-24",37
"2017-12-25",48
"2017-12-26",72
"2017-12-27",61
"2017-12-28",51
"2017-12-29",68
"2017-12-30",38
"2017-12-31",38
"2018-01-01",63
"2018-01-02",80
"2018-01-03",71
"2018-01-04",67
"2018-01-05",57
"2018-01-06",48
"2018-01-07",62
"2018-01-08",76
"2018-01-09",78
"2018-01-10",63
"2018-01-11",64
"2018-01-12",52
"2018-01-13",40
"2018-01-14",55
"2018-01-15",69
"2018-01-16",66
"2018-01-17",65
"2018-01-18",64
"2018-01-19",46
"2018-01-20",40
"2018-01-21",65
"2018-01-22",78
"2018-01-23",73
"2018-01-24",78
"2018-01-25",68
"2018-01-26",53
"2018-01-27",52
"2018-01-28",79
"2018-01-29",93
"2018-01-30",73
"2018-01-31",76
"2018-02-01",70
"2018-02-02",65
"2018-02-03",46
"2018-02-04",76
"2018-02-05",87
"2018-02-06",69
"2018-02-07",72
"2018-02-08",58
"2018-02-09",46
"2018-02-10",40
"2018-02-11",47
"2018-02-12",53
"2018-02-13",31
"2018-02-14",24
"2018-02-15",23
"2018-02-16",21
"2018-02-17",34
"2018-02-18",76
"2018-02-19",89
"2018-02-20",82
"2018-02-21",89
"2018-02-22",79
"2018-02-23",61
"2018-02-24",62
"2018-02-25",82
"2018-02-26",100
"2018-02-27",78
"2018-02-28",69
"2018-03-01",86
"2018-03-02",73
"2018-03-03",64
"2018-03-04",89
"2018-03-05",97
"2018-03-06",79
"2018-03-07",79
"2018-03-08",60
"2018-03-09",52
"2018-03-10",50
"2018-03-11",66
"2018-03-12",73
"2018-03-13",70
"2018-03-14",61
"2018-03-15",54
"2018-03-16",47
"2018-03-17",43
"2018-03-18",63
"2018-03-19",73
"2018-03-20",67
"2018-03-21",61
"2018-03-22",56
"2018-03-23",40
"2018-03-24",41
"2018-03-25",56
"2018-03-26",63
"2018-03-27",62
"2018-03-28",59
"2018-03-29",48
"2018-03-30",43
"2018-03-31",38
"2018-04-01",64
"2018-04-02",71
"2018-04-03",67
"2018-04-04",63
"2018-04-05",57
"2018-04-06",50
"2018-04-07",46
"2018-04-08",64
"2018-04-09",81
"2018-04-10",80
"2018-04-11",65
"2018-04-12",55
"2018-04-13",46
"2018-04-14",51
"2018-04-15",58
"2018-04-16",71
"2018-04-17",63
"2018-04-18",72
"2018-04-19",62
