네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","프리바이오틱스"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",3
"2017-08-13",1
"2017-08-14",1
"2017-08-15",26
"2017-08-16",3
"2017-08-17",6
"2017-08-18",2
"2017-08-19",17
"2017-08-20",3
"2017-08-21",2
"2017-08-22",29
"2017-08-23",4
"2017-08-24",2
"2017-08-25",2
"2017-08-26",1
"2017-08-27",2
"2017-08-28",3
"2017-08-29",2
"2017-08-30",5
"2017-08-31",17
"2017-09-01",20
"2017-09-02",3
"2017-09-03",3
"2017-09-04",19
"2017-09-05",4
"2017-09-06",3
"2017-09-07",2
"2017-09-08",1
"2017-09-09",6
"2017-09-10",2
"2017-09-11",5
"2017-09-12",3
"2017-09-13",2
"2017-09-14",2
"2017-09-15",2
"2017-09-16",24
"2017-09-17",4
"2017-09-18",3
"2017-09-19",41
"2017-09-20",4
"2017-09-21",4
"2017-09-22",2
"2017-09-23",2
"2017-09-24",2
"2017-09-25",3
"2017-09-26",3
"2017-09-27",2
"2017-09-28",2
"2017-09-29",30
"2017-09-30",3
"2017-10-01",11
"2017-10-02",2
"2017-10-03",2
"2017-10-04",2
"2017-10-05",2
"2017-10-06",2
"2017-10-07",2
"2017-10-08",3
"2017-10-09",9
"2017-10-10",3
"2017-10-11",2
"2017-10-12",2
"2017-10-13",2
"2017-10-14",8
"2017-10-15",2
"2017-10-16",3
"2017-10-17",2
"2017-10-18",38
"2017-10-19",6
"2017-10-20",3
"2017-10-21",29
"2017-10-22",6
"2017-10-23",5
"2017-10-24",45
"2017-10-25",7
"2017-10-26",4
"2017-10-27",3
"2017-10-28",2
"2017-10-29",3
"2017-10-30",4
"2017-10-31",9
"2017-11-01",4
"2017-11-02",19
"2017-11-03",4
"2017-11-04",3
"2017-11-05",3
"2017-11-06",4
"2017-11-07",57
"2017-11-08",6
"2017-11-09",6
"2017-11-10",4
"2017-11-11",19
"2017-11-12",4
"2017-11-13",7
"2017-11-14",4
"2017-11-15",2
"2017-11-16",2
"2017-11-17",2
"2017-11-18",2
"2017-11-19",4
"2017-11-20",3
"2017-11-21",4
"2017-11-22",3
"2017-11-23",7
"2017-11-24",2
"2017-11-25",2
"2017-11-26",24
"2017-11-27",6
"2017-11-28",16
"2017-11-29",4
"2017-11-30",3
"2017-12-01",3
"2017-12-02",20
"2017-12-03",4
"2017-12-04",4
"2017-12-05",6
"2017-12-06",3
"2017-12-07",9
"2017-12-08",3
"2017-12-09",4
"2017-12-10",3
"2017-12-11",3
"2017-12-12",30
"2017-12-13",4
"2017-12-14",7
"2017-12-15",2
"2017-12-16",2
"2017-12-17",2
"2017-12-18",3
"2017-12-19",3
"2017-12-20",2
"2017-12-21",2
"2017-12-22",11
"2017-12-23",3
"2017-12-24",3
"2017-12-25",2
"2017-12-26",3
"2017-12-27",3
"2017-12-28",3
"2017-12-29",2
"2017-12-30",2
"2017-12-31",1
"2018-01-01",2
"2018-01-02",3
"2018-01-03",3
"2018-01-04",3
"2018-01-05",36
"2018-01-06",4
"2018-01-07",4
"2018-01-08",4
"2018-01-09",4
"2018-01-10",44
"2018-01-11",7
"2018-01-12",4
"2018-01-13",3
"2018-01-14",4
"2018-01-15",11
"2018-01-16",26
"2018-01-17",6
"2018-01-18",4
"2018-01-19",3
"2018-01-20",39
"2018-01-21",6
"2018-01-22",6
"2018-01-23",7
"2018-01-24",5
"2018-01-25",4
"2018-01-26",86
"2018-01-27",8
"2018-01-28",6
"2018-01-29",6
"2018-01-30",28
"2018-01-31",6
"2018-02-01",5
"2018-02-02",4
"2018-02-03",3
"2018-02-04",4
"2018-02-05",4
"2018-02-06",41
"2018-02-07",4
"2018-02-08",3
"2018-02-09",28
"2018-02-10",4
"2018-02-11",3
"2018-02-12",3
"2018-02-13",22
"2018-02-14",2
"2018-02-15",2
"2018-02-16",3
"2018-02-17",2
"2018-02-18",15
"2018-02-19",6
"2018-02-20",5
"2018-02-21",3
"2018-02-22",3
"2018-02-23",61
"2018-02-24",6
"2018-02-25",4
"2018-02-26",5
"2018-02-27",51
"2018-02-28",8
"2018-03-01",6
"2018-03-02",5
"2018-03-03",3
"2018-03-04",4
"2018-03-05",3
"2018-03-06",4
"2018-03-07",3
"2018-03-08",3
"2018-03-09",20
"2018-03-10",4
"2018-03-11",21
"2018-03-12",5
"2018-03-13",21
"2018-03-14",3
"2018-03-15",3
"2018-03-16",2
"2018-03-17",2
"2018-03-18",2
"2018-03-19",3
"2018-03-20",3
"2018-03-21",3
"2018-03-22",65
"2018-03-23",59
"2018-03-24",9
"2018-03-25",27
"2018-03-26",10
"2018-03-27",9
"2018-03-28",7
"2018-03-29",5
"2018-03-30",15
"2018-03-31",5
"2018-04-01",100
"2018-04-02",20
"2018-04-03",17
"2018-04-04",10
"2018-04-05",8
"2018-04-06",7
"2018-04-07",37
"2018-04-08",9
"2018-04-09",8
"2018-04-10",37
"2018-04-11",8
"2018-04-12",7
"2018-04-13",6
"2018-04-14",5
"2018-04-15",5
"2018-04-16",5
"2018-04-17",6
"2018-04-18",4
"2018-04-19",11
