네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","오트밀"
"2017-08-01",9
"2017-08-02",9
"2017-08-03",7
"2017-08-04",7
"2017-08-05",5
"2017-08-06",7
"2017-08-07",9
"2017-08-08",13
"2017-08-09",11
"2017-08-10",13
"2017-08-11",9
"2017-08-12",7
"2017-08-13",8
"2017-08-14",10
"2017-08-15",13
"2017-08-16",12
"2017-08-17",13
"2017-08-18",8
"2017-08-19",6
"2017-08-20",9
"2017-08-21",10
"2017-08-22",11
"2017-08-23",9
"2017-08-24",7
"2017-08-25",6
"2017-08-26",6
"2017-08-27",6
"2017-08-28",7
"2017-08-29",10
"2017-08-30",8
"2017-08-31",8
"2017-09-01",7
"2017-09-02",5
"2017-09-03",7
"2017-09-04",10
"2017-09-05",9
"2017-09-06",12
"2017-09-07",7
"2017-09-08",7
"2017-09-09",6
"2017-09-10",9
"2017-09-11",10
"2017-09-12",9
"2017-09-13",7
"2017-09-14",7
"2017-09-15",6
"2017-09-16",5
"2017-09-17",7
"2017-09-18",9
"2017-09-19",9
"2017-09-20",6
"2017-09-21",8
"2017-09-22",6
"2017-09-23",6
"2017-09-24",6
"2017-09-25",9
"2017-09-26",8
"2017-09-27",8
"2017-09-28",6
"2017-09-29",4
"2017-09-30",3
"2017-10-01",6
"2017-10-02",5
"2017-10-03",4
"2017-10-04",4
"2017-10-05",4
"2017-10-06",5
"2017-10-07",7
"2017-10-08",9
"2017-10-09",11
"2017-10-10",17
"2017-10-11",13
"2017-10-12",9
"2017-10-13",7
"2017-10-14",8
"2017-10-15",10
"2017-10-16",10
"2017-10-17",8
"2017-10-18",9
"2017-10-19",9
"2017-10-20",7
"2017-10-21",6
"2017-10-22",8
"2017-10-23",9
"2017-10-24",9
"2017-10-25",8
"2017-10-26",9
"2017-10-27",7
"2017-10-28",8
"2017-10-29",8
"2017-10-30",9
"2017-10-31",9
"2017-11-01",9
"2017-11-02",9
"2017-11-03",6
"2017-11-04",5
"2017-11-05",9
"2017-11-06",11
"2017-11-07",8
"2017-11-08",9
"2017-11-09",9
"2017-11-10",7
"2017-11-11",5
"2017-11-12",7
"2017-11-13",10
"2017-11-14",9
"2017-11-15",7
"2017-11-16",8
"2017-11-17",10
"2017-11-18",6
"2017-11-19",9
"2017-11-20",10
"2017-11-21",9
"2017-11-22",8
"2017-11-23",7
"2017-11-24",5
"2017-11-25",7
"2017-11-26",7
"2017-11-27",9
"2017-11-28",10
"2017-11-29",9
"2017-11-30",8
"2017-12-01",5
"2017-12-02",8
"2017-12-03",9
"2017-12-04",11
"2017-12-05",11
"2017-12-06",11
"2017-12-07",11
"2017-12-08",7
"2017-12-09",8
"2017-12-10",8
"2017-12-11",8
"2017-12-12",8
"2017-12-13",9
"2017-12-14",8
"2017-12-15",6
"2017-12-16",5
"2017-12-17",9
"2017-12-18",9
"2017-12-19",10
"2017-12-20",9
"2017-12-21",7
"2017-12-22",7
"2017-12-23",5
"2017-12-24",6
"2017-12-25",10
"2017-12-26",13
"2017-12-27",9
"2017-12-28",8
"2017-12-29",9
"2017-12-30",8
"2017-12-31",6
"2018-01-01",9
"2018-01-02",16
"2018-01-03",14
"2018-01-04",14
"2018-01-05",11
"2018-01-06",10
"2018-01-07",12
"2018-01-08",14
"2018-01-09",13
"2018-01-10",12
"2018-01-11",19
"2018-01-12",24
"2018-01-13",20
"2018-01-14",32
"2018-01-15",33
"2018-01-16",29
"2018-01-17",28
"2018-01-18",40
"2018-01-19",39
"2018-01-20",24
"2018-01-21",30
"2018-01-22",31
"2018-01-23",26
"2018-01-24",20
"2018-01-25",21
"2018-01-26",29
"2018-01-27",21
"2018-01-28",25
"2018-01-29",26
"2018-01-30",23
"2018-01-31",26
"2018-02-01",22
"2018-02-02",18
"2018-02-03",15
"2018-02-04",21
"2018-02-05",24
"2018-02-06",24
"2018-02-07",19
"2018-02-08",20
"2018-02-09",13
"2018-02-10",15
"2018-02-11",14
"2018-02-12",15
"2018-02-13",12
"2018-02-14",10
"2018-02-15",10
"2018-02-16",12
"2018-02-17",24
"2018-02-18",29
"2018-02-19",30
"2018-02-20",27
"2018-02-21",28
"2018-02-22",26
"2018-02-23",19
"2018-02-24",20
"2018-02-25",27
"2018-02-26",33
"2018-02-27",25
"2018-02-28",21
"2018-03-01",23
"2018-03-02",18
"2018-03-03",12
"2018-03-04",16
"2018-03-05",25
"2018-03-06",17
"2018-03-07",20
"2018-03-08",22
"2018-03-09",18
"2018-03-10",17
"2018-03-11",19
"2018-03-12",20
"2018-03-13",19
"2018-03-14",18
"2018-03-15",23
"2018-03-16",17
"2018-03-17",14
"2018-03-18",19
"2018-03-19",32
"2018-03-20",22
"2018-03-21",19
"2018-03-22",18
"2018-03-23",16
"2018-03-24",14
"2018-03-25",69
"2018-03-26",45
"2018-03-27",34
"2018-03-28",27
"2018-03-29",21
"2018-03-30",18
"2018-03-31",20
"2018-04-01",26
"2018-04-02",85
"2018-04-03",79
"2018-04-04",52
"2018-04-05",96
"2018-04-06",100
"2018-04-07",41
"2018-04-08",42
"2018-04-09",47
"2018-04-10",54
"2018-04-11",38
"2018-04-12",32
"2018-04-13",25
"2018-04-14",31
"2018-04-15",29
"2018-04-16",35
"2018-04-17",32
"2018-04-18",34
"2018-04-19",32
