네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","연어"
"2017-08-01",31
"2017-08-02",32
"2017-08-03",35
"2017-08-04",31
"2017-08-05",18
"2017-08-06",26
"2017-08-07",36
"2017-08-08",35
"2017-08-09",41
"2017-08-10",30
"2017-08-11",25
"2017-08-12",22
"2017-08-13",24
"2017-08-14",34
"2017-08-15",26
"2017-08-16",38
"2017-08-17",41
"2017-08-18",36
"2017-08-19",29
"2017-08-20",28
"2017-08-21",40
"2017-08-22",38
"2017-08-23",31
"2017-08-24",33
"2017-08-25",25
"2017-08-26",22
"2017-08-27",28
"2017-08-28",30
"2017-08-29",36
"2017-08-30",38
"2017-08-31",35
"2017-09-01",23
"2017-09-02",21
"2017-09-03",26
"2017-09-04",35
"2017-09-05",36
"2017-09-06",45
"2017-09-07",42
"2017-09-08",30
"2017-09-09",26
"2017-09-10",29
"2017-09-11",33
"2017-09-12",31
"2017-09-13",39
"2017-09-14",35
"2017-09-15",29
"2017-09-16",23
"2017-09-17",31
"2017-09-18",34
"2017-09-19",30
"2017-09-20",34
"2017-09-21",41
"2017-09-22",33
"2017-09-23",22
"2017-09-24",27
"2017-09-25",42
"2017-09-26",32
"2017-09-27",27
"2017-09-28",26
"2017-09-29",17
"2017-09-30",12
"2017-10-01",19
"2017-10-02",16
"2017-10-03",17
"2017-10-04",13
"2017-10-05",12
"2017-10-06",21
"2017-10-07",21
"2017-10-08",26
"2017-10-09",34
"2017-10-10",40
"2017-10-11",38
"2017-10-12",44
"2017-10-13",33
"2017-10-14",27
"2017-10-15",34
"2017-10-16",52
"2017-10-17",64
"2017-10-18",49
"2017-10-19",39
"2017-10-20",35
"2017-10-21",24
"2017-10-22",38
"2017-10-23",39
"2017-10-24",49
"2017-10-25",44
"2017-10-26",44
"2017-10-27",29
"2017-10-28",25
"2017-10-29",28
"2017-10-30",48
"2017-10-31",42
"2017-11-01",51
"2017-11-02",49
"2017-11-03",31
"2017-11-04",26
"2017-11-05",53
"2017-11-06",47
"2017-11-07",48
"2017-11-08",54
"2017-11-09",51
"2017-11-10",33
"2017-11-11",24
"2017-11-12",44
"2017-11-13",62
"2017-11-14",54
"2017-11-15",51
"2017-11-16",52
"2017-11-17",44
"2017-11-18",38
"2017-11-19",43
"2017-11-20",51
"2017-11-21",88
"2017-11-22",75
"2017-11-23",61
"2017-11-24",35
"2017-11-25",31
"2017-11-26",39
"2017-11-27",54
"2017-11-28",59
"2017-11-29",65
"2017-11-30",56
"2017-12-01",41
"2017-12-02",32
"2017-12-03",54
"2017-12-04",64
"2017-12-05",59
"2017-12-06",67
"2017-12-07",58
"2017-12-08",48
"2017-12-09",47
"2017-12-10",50
"2017-12-11",66
"2017-12-12",68
"2017-12-13",63
"2017-12-14",58
"2017-12-15",50
"2017-12-16",33
"2017-12-17",50
"2017-12-18",67
"2017-12-19",59
"2017-12-20",61
"2017-12-21",62
"2017-12-22",47
"2017-12-23",29
"2017-12-24",24
"2017-12-25",37
"2017-12-26",50
"2017-12-27",54
"2017-12-28",49
"2017-12-29",39
"2017-12-30",31
"2017-12-31",30
"2018-01-01",43
"2018-01-02",77
"2018-01-03",74
"2018-01-04",64
"2018-01-05",51
"2018-01-06",43
"2018-01-07",47
"2018-01-08",64
"2018-01-09",50
"2018-01-10",74
"2018-01-11",65
"2018-01-12",49
"2018-01-13",39
"2018-01-14",41
"2018-01-15",49
"2018-01-16",60
"2018-01-17",59
"2018-01-18",58
"2018-01-19",43
"2018-01-20",37
"2018-01-21",45
"2018-01-22",68
"2018-01-23",79
"2018-01-24",72
"2018-01-25",71
"2018-01-26",59
"2018-01-27",42
"2018-01-28",60
"2018-01-29",91
"2018-01-30",71
"2018-01-31",66
"2018-02-01",75
"2018-02-02",55
"2018-02-03",48
"2018-02-04",62
"2018-02-05",68
"2018-02-06",68
"2018-02-07",85
"2018-02-08",59
"2018-02-09",39
"2018-02-10",39
"2018-02-11",44
"2018-02-12",47
"2018-02-13",38
"2018-02-14",29
"2018-02-15",21
"2018-02-16",23
"2018-02-17",22
"2018-02-18",28
"2018-02-19",55
"2018-02-20",50
"2018-02-21",57
"2018-02-22",53
"2018-02-23",39
"2018-02-24",35
"2018-02-25",44
"2018-02-26",62
"2018-02-27",56
"2018-02-28",53
"2018-03-01",49
"2018-03-02",49
"2018-03-03",40
"2018-03-04",80
"2018-03-05",75
"2018-03-06",73
"2018-03-07",64
"2018-03-08",68
"2018-03-09",48
"2018-03-10",37
"2018-03-11",55
"2018-03-12",67
"2018-03-13",64
"2018-03-14",69
"2018-03-15",68
"2018-03-16",51
"2018-03-17",40
"2018-03-18",62
"2018-03-19",90
"2018-03-20",83
"2018-03-21",90
"2018-03-22",100
"2018-03-23",68
"2018-03-24",57
"2018-03-25",62
"2018-03-26",78
"2018-03-27",76
"2018-03-28",65
"2018-03-29",81
"2018-03-30",58
"2018-03-31",44
"2018-04-01",57
"2018-04-02",65
"2018-04-03",66
"2018-04-04",60
"2018-04-05",60
"2018-04-06",47
"2018-04-07",43
"2018-04-08",53
"2018-04-09",69
"2018-04-10",60
"2018-04-11",66
"2018-04-12",63
"2018-04-13",50
"2018-04-14",56
"2018-04-15",57
"2018-04-16",71
"2018-04-17",64
"2018-04-18",71
"2018-04-19",66
