네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","비트"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",5
"2017-08-04",4
"2017-08-05",3
"2017-08-06",4
"2017-08-07",4
"2017-08-08",4
"2017-08-09",4
"2017-08-10",7
"2017-08-11",4
"2017-08-12",2
"2017-08-13",3
"2017-08-14",4
"2017-08-15",3
"2017-08-16",3
"2017-08-17",4
"2017-08-18",3
"2017-08-19",3
"2017-08-20",4
"2017-08-21",5
"2017-08-22",4
"2017-08-23",4
"2017-08-24",6
"2017-08-25",3
"2017-08-26",3
"2017-08-27",4
"2017-08-28",5
"2017-08-29",4
"2017-08-30",4
"2017-08-31",4
"2017-09-01",4
"2017-09-02",4
"2017-09-03",4
"2017-09-04",4
"2017-09-05",4
"2017-09-06",4
"2017-09-07",4
"2017-09-08",3
"2017-09-09",3
"2017-09-10",4
"2017-09-11",3
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",3
"2017-09-16",2
"2017-09-17",3
"2017-09-18",3
"2017-09-19",4
"2017-09-20",4
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",5
"2017-09-25",5
"2017-09-26",4
"2017-09-27",8
"2017-09-28",4
"2017-09-29",2
"2017-09-30",2
"2017-10-01",2
"2017-10-02",2
"2017-10-03",1
"2017-10-04",9
"2017-10-05",12
"2017-10-06",5
"2017-10-07",5
"2017-10-08",14
"2017-10-09",9
"2017-10-10",8
"2017-10-11",11
"2017-10-12",6
"2017-10-13",5
"2017-10-14",4
"2017-10-15",5
"2017-10-16",5
"2017-10-17",4
"2017-10-18",4
"2017-10-19",4
"2017-10-20",6
"2017-10-21",3
"2017-10-22",65
"2017-10-23",100
"2017-10-24",41
"2017-10-25",37
"2017-10-26",32
"2017-10-27",69
"2017-10-28",92
"2017-10-29",57
"2017-10-30",55
"2017-10-31",39
"2017-11-01",30
"2017-11-02",25
"2017-11-03",19
"2017-11-04",21
"2017-11-05",20
"2017-11-06",27
"2017-11-07",26
"2017-11-08",28
"2017-11-09",26
"2017-11-10",20
"2017-11-11",12
"2017-11-12",16
"2017-11-13",17
"2017-11-14",15
"2017-11-15",15
"2017-11-16",11
"2017-11-17",9
"2017-11-18",11
"2017-11-19",10
"2017-11-20",14
"2017-11-21",12
"2017-11-22",13
"2017-11-23",14
"2017-11-24",8
"2017-11-25",7
"2017-11-26",11
"2017-11-27",11
"2017-11-28",12
"2017-11-29",11
"2017-11-30",11
"2017-12-01",9
"2017-12-02",7
"2017-12-03",10
"2017-12-04",10
"2017-12-05",10
"2017-12-06",10
"2017-12-07",9
"2017-12-08",7
"2017-12-09",6
"2017-12-10",8
"2017-12-11",10
"2017-12-12",9
"2017-12-13",9
"2017-12-14",8
"2017-12-15",8
"2017-12-16",6
"2017-12-17",8
"2017-12-18",10
"2017-12-19",10
"2017-12-20",8
"2017-12-21",6
"2017-12-22",5
"2017-12-23",5
"2017-12-24",5
"2017-12-25",7
"2017-12-26",8
"2017-12-27",9
"2017-12-28",11
"2017-12-29",7
"2017-12-30",6
"2017-12-31",6
"2018-01-01",7
"2018-01-02",8
"2018-01-03",8
"2018-01-04",7
"2018-01-05",6
"2018-01-06",5
"2018-01-07",8
"2018-01-08",8
"2018-01-09",8
"2018-01-10",9
"2018-01-11",9
"2018-01-12",7
"2018-01-13",5
"2018-01-14",8
"2018-01-15",7
"2018-01-16",9
"2018-01-17",8
"2018-01-18",8
"2018-01-19",7
"2018-01-20",5
"2018-01-21",7
"2018-01-22",14
"2018-01-23",9
"2018-01-24",9
"2018-01-25",8
"2018-01-26",5
"2018-01-27",7
"2018-01-28",8
"2018-01-29",8
"2018-01-30",8
"2018-01-31",7
"2018-02-01",8
"2018-02-02",6
"2018-02-03",5
"2018-02-04",7
"2018-02-05",8
"2018-02-06",7
"2018-02-07",7
"2018-02-08",6
"2018-02-09",4
"2018-02-10",3
"2018-02-11",5
"2018-02-12",4
"2018-02-13",4
"2018-02-14",3
"2018-02-15",3
"2018-02-16",3
"2018-02-17",4
"2018-02-18",5
"2018-02-19",6
"2018-02-20",6
"2018-02-21",5
"2018-02-22",5
"2018-02-23",4
"2018-02-24",4
"2018-02-25",8
"2018-02-26",6
"2018-02-27",5
"2018-02-28",4
"2018-03-01",6
"2018-03-02",4
"2018-03-03",3
"2018-03-04",5
"2018-03-05",6
"2018-03-06",5
"2018-03-07",5
"2018-03-08",5
"2018-03-09",3
"2018-03-10",3
"2018-03-11",7
"2018-03-12",6
"2018-03-13",5
"2018-03-14",5
"2018-03-15",5
"2018-03-16",5
"2018-03-17",6
"2018-03-18",5
"2018-03-19",6
"2018-03-20",5
"2018-03-21",5
"2018-03-22",5
"2018-03-23",4
"2018-03-24",5
"2018-03-25",5
"2018-03-26",6
"2018-03-27",6
"2018-03-28",6
"2018-03-29",9
"2018-03-30",5
"2018-03-31",4
"2018-04-01",9
"2018-04-02",7
"2018-04-03",6
"2018-04-04",6
"2018-04-05",5
"2018-04-06",4
"2018-04-07",4
"2018-04-08",5
"2018-04-09",6
"2018-04-10",6
"2018-04-11",7
"2018-04-12",6
"2018-04-13",5
"2018-04-14",4
"2018-04-15",5
"2018-04-16",5
"2018-04-17",7
"2018-04-18",6
"2018-04-19",7
