네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","폴리코사놀"
"2017-08-01",5
"2017-08-02",3
"2017-08-03",3
"2017-08-04",3
"2017-08-05",3
"2017-08-06",3
"2017-08-07",4
"2017-08-08",3
"2017-08-09",9
"2017-08-10",3
"2017-08-11",3
"2017-08-12",4
"2017-08-13",3
"2017-08-14",4
"2017-08-15",2
"2017-08-16",4
"2017-08-17",3
"2017-08-18",2
"2017-08-19",3
"2017-08-20",29
"2017-08-21",6
"2017-08-22",4
"2017-08-23",13
"2017-08-24",6
"2017-08-25",4
"2017-08-26",3
"2017-08-27",3
"2017-08-28",4
"2017-08-29",3
"2017-08-30",51
"2017-08-31",7
"2017-09-01",7
"2017-09-02",4
"2017-09-03",4
"2017-09-04",10
"2017-09-05",6
"2017-09-06",5
"2017-09-07",4
"2017-09-08",30
"2017-09-09",5
"2017-09-10",6
"2017-09-11",6
"2017-09-12",5
"2017-09-13",6
"2017-09-14",5
"2017-09-15",33
"2017-09-16",7
"2017-09-17",6
"2017-09-18",7
"2017-09-19",5
"2017-09-20",12
"2017-09-21",5
"2017-09-22",3
"2017-09-23",8
"2017-09-24",25
"2017-09-25",8
"2017-09-26",7
"2017-09-27",8
"2017-09-28",7
"2017-09-29",5
"2017-09-30",4
"2017-10-01",8
"2017-10-02",10
"2017-10-03",3
"2017-10-04",5
"2017-10-05",6
"2017-10-06",6
"2017-10-07",5
"2017-10-08",7
"2017-10-09",6
"2017-10-10",8
"2017-10-11",8
"2017-10-12",5
"2017-10-13",5
"2017-10-14",32
"2017-10-15",12
"2017-10-16",9
"2017-10-17",18
"2017-10-18",21
"2017-10-19",14
"2017-10-20",49
"2017-10-21",19
"2017-10-22",7
"2017-10-23",9
"2017-10-24",14
"2017-10-25",16
"2017-10-26",21
"2017-10-27",8
"2017-10-28",7
"2017-10-29",13
"2017-10-30",22
"2017-10-31",16
"2017-11-01",68
"2017-11-02",13
"2017-11-03",10
"2017-11-04",19
"2017-11-05",47
"2017-11-06",13
"2017-11-07",10
"2017-11-08",13
"2017-11-09",7
"2017-11-10",7
"2017-11-11",13
"2017-11-12",22
"2017-11-13",15
"2017-11-14",11
"2017-11-15",17
"2017-11-16",9
"2017-11-17",8
"2017-11-18",7
"2017-11-19",49
"2017-11-20",17
"2017-11-21",12
"2017-11-22",12
"2017-11-23",8
"2017-11-24",6
"2017-11-25",6
"2017-11-26",71
"2017-11-27",15
"2017-11-28",13
"2017-11-29",29
"2017-11-30",10
"2017-12-01",8
"2017-12-02",7
"2017-12-03",72
"2017-12-04",16
"2017-12-05",12
"2017-12-06",10
"2017-12-07",11
"2017-12-08",11
"2017-12-09",16
"2017-12-10",46
"2017-12-11",17
"2017-12-12",15
"2017-12-13",43
"2017-12-14",15
"2017-12-15",18
"2017-12-16",11
"2017-12-17",38
"2017-12-18",15
"2017-12-19",14
"2017-12-20",14
"2017-12-21",12
"2017-12-22",8
"2017-12-23",29
"2017-12-24",14
"2017-12-25",12
"2017-12-26",15
"2017-12-27",24
"2017-12-28",12
"2017-12-29",11
"2017-12-30",10
"2017-12-31",100
"2018-01-01",14
"2018-01-02",19
"2018-01-03",16
"2018-01-04",13
"2018-01-05",11
"2018-01-06",20
"2018-01-07",55
"2018-01-08",20
"2018-01-09",19
"2018-01-10",14
"2018-01-11",24
"2018-01-12",12
"2018-01-13",31
"2018-01-14",26
"2018-01-15",16
"2018-01-16",17
"2018-01-17",32
"2018-01-18",14
"2018-01-19",10
"2018-01-20",18
"2018-01-21",33
"2018-01-22",15
"2018-01-23",15
"2018-01-24",88
"2018-01-25",24
"2018-01-26",15
"2018-01-27",18
"2018-01-28",23
"2018-01-29",15
"2018-01-30",14
"2018-01-31",11
"2018-02-01",30
"2018-02-02",16
"2018-02-03",80
"2018-02-04",34
"2018-02-05",29
"2018-02-06",24
"2018-02-07",33
"2018-02-08",26
"2018-02-09",21
"2018-02-10",13
"2018-02-11",87
"2018-02-12",20
"2018-02-13",15
"2018-02-14",16
"2018-02-15",17
"2018-02-16",15
"2018-02-17",14
"2018-02-18",26
"2018-02-19",19
"2018-02-20",20
"2018-02-21",23
"2018-02-22",20
"2018-02-23",13
"2018-02-24",13
"2018-02-25",78
"2018-02-26",29
"2018-02-27",30
"2018-02-28",16
"2018-03-01",15
"2018-03-02",15
"2018-03-03",18
"2018-03-04",13
"2018-03-05",15
"2018-03-06",15
"2018-03-07",83
"2018-03-08",24
"2018-03-09",21
"2018-03-10",15
"2018-03-11",54
"2018-03-12",25
"2018-03-13",16
"2018-03-14",15
"2018-03-15",21
"2018-03-16",20
"2018-03-17",15
"2018-03-18",17
"2018-03-19",15
"2018-03-20",27
"2018-03-21",29
"2018-03-22",22
"2018-03-23",14
"2018-03-24",33
"2018-03-25",17
"2018-03-26",16
"2018-03-27",13
"2018-03-28",11
"2018-03-29",12
"2018-03-30",10
"2018-03-31",14
"2018-04-01",14
"2018-04-02",12
"2018-04-03",18
"2018-04-04",13
"2018-04-05",15
"2018-04-06",27
"2018-04-07",10
"2018-04-08",13
"2018-04-09",20
"2018-04-10",30
"2018-04-11",14
"2018-04-12",15
"2018-04-13",15
"2018-04-14",32
"2018-04-15",16
"2018-04-16",19
"2018-04-17",15
"2018-04-18",17
"2018-04-19",12
