네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","절임배추"
"2017-08-01",6
"2017-08-02",5
"2017-08-03",3
"2017-08-04",4
"2017-08-05",3
"2017-08-06",3
"2017-08-07",4
"2017-08-08",4
"2017-08-09",4
"2017-08-10",3
"2017-08-11",4
"2017-08-12",3
"2017-08-13",5
"2017-08-14",6
"2017-08-15",7
"2017-08-16",7
"2017-08-17",7
"2017-08-18",6
"2017-08-19",4
"2017-08-20",7
"2017-08-21",9
"2017-08-22",7
"2017-08-23",9
"2017-08-24",7
"2017-08-25",4
"2017-08-26",5
"2017-08-27",8
"2017-08-28",9
"2017-08-29",12
"2017-08-30",15
"2017-08-31",9
"2017-09-01",11
"2017-09-02",8
"2017-09-03",10
"2017-09-04",16
"2017-09-05",14
"2017-09-06",16
"2017-09-07",14
"2017-09-08",13
"2017-09-09",9
"2017-09-10",10
"2017-09-11",11
"2017-09-12",12
"2017-09-13",11
"2017-09-14",11
"2017-09-15",10
"2017-09-16",8
"2017-09-17",11
"2017-09-18",17
"2017-09-19",22
"2017-09-20",12
"2017-09-21",18
"2017-09-22",13
"2017-09-23",10
"2017-09-24",11
"2017-09-25",13
"2017-09-26",9
"2017-09-27",5
"2017-09-28",5
"2017-09-29",7
"2017-09-30",4
"2017-10-01",4
"2017-10-02",3
"2017-10-03",4
"2017-10-04",4
"2017-10-05",8
"2017-10-06",7
"2017-10-07",11
"2017-10-08",12
"2017-10-09",13
"2017-10-10",17
"2017-10-11",26
"2017-10-12",21
"2017-10-13",16
"2017-10-14",14
"2017-10-15",18
"2017-10-16",19
"2017-10-17",22
"2017-10-18",23
"2017-10-19",20
"2017-10-20",24
"2017-10-21",18
"2017-10-22",22
"2017-10-23",36
"2017-10-24",30
"2017-10-25",32
"2017-10-26",35
"2017-10-27",32
"2017-10-28",30
"2017-10-29",32
"2017-10-30",47
"2017-10-31",47
"2017-11-01",57
"2017-11-02",54
"2017-11-03",58
"2017-11-04",61
"2017-11-05",65
"2017-11-06",79
"2017-11-07",74
"2017-11-08",65
"2017-11-09",64
"2017-11-10",62
"2017-11-11",54
"2017-11-12",85
"2017-11-13",93
"2017-11-14",76
"2017-11-15",82
"2017-11-16",74
"2017-11-17",79
"2017-11-18",66
"2017-11-19",78
"2017-11-20",100
"2017-11-21",82
"2017-11-22",69
"2017-11-23",66
"2017-11-24",53
"2017-11-25",61
"2017-11-26",58
"2017-11-27",66
"2017-11-28",61
"2017-11-29",41
"2017-11-30",34
"2017-12-01",28
"2017-12-02",32
"2017-12-03",30
"2017-12-04",40
"2017-12-05",35
"2017-12-06",23
"2017-12-07",23
"2017-12-08",18
"2017-12-09",19
"2017-12-10",18
"2017-12-11",22
"2017-12-12",17
"2017-12-13",13
"2017-12-14",11
"2017-12-15",11
"2017-12-16",9
"2017-12-17",9
"2017-12-18",11
"2017-12-19",10
"2017-12-20",12
"2017-12-21",9
"2017-12-22",6
"2017-12-23",6
"2017-12-24",6
"2017-12-25",9
"2017-12-26",10
"2017-12-27",8
"2017-12-28",6
"2017-12-29",4
"2017-12-30",4
"2017-12-31",3
"2018-01-01",5
"2018-01-02",7
"2018-01-03",8
"2018-01-04",6
"2018-01-05",5
"2018-01-06",4
"2018-01-07",6
"2018-01-08",6
"2018-01-09",8
"2018-01-10",7
"2018-01-11",4
"2018-01-12",4
"2018-01-13",2
"2018-01-14",3
"2018-01-15",4
"2018-01-16",4
"2018-01-17",4
"2018-01-18",4
"2018-01-19",3
"2018-01-20",3
"2018-01-21",3
"2018-01-22",4
"2018-01-23",4
"2018-01-24",3
"2018-01-25",5
"2018-01-26",3
"2018-01-27",3
"2018-01-28",4
"2018-01-29",6
"2018-01-30",4
"2018-01-31",4
"2018-02-01",6
"2018-02-02",5
"2018-02-03",4
"2018-02-04",5
"2018-02-05",5
"2018-02-06",4
"2018-02-07",4
"2018-02-08",4
"2018-02-09",3
"2018-02-10",3
"2018-02-11",3
"2018-02-12",3
"2018-02-13",3
"2018-02-14",2
"2018-02-15",1
"2018-02-16",2
"2018-02-17",5
"2018-02-18",5
"2018-02-19",5
"2018-02-20",5
"2018-02-21",3
"2018-02-22",4
"2018-02-23",3
"2018-02-24",3
"2018-02-25",4
"2018-02-26",5
"2018-02-27",5
"2018-02-28",5
"2018-03-01",3
"2018-03-02",3
"2018-03-03",3
"2018-03-04",5
"2018-03-05",4
"2018-03-06",5
"2018-03-07",5
"2018-03-08",4
"2018-03-09",4
"2018-03-10",2
"2018-03-11",4
"2018-03-12",5
"2018-03-13",4
"2018-03-14",3
"2018-03-15",4
"2018-03-16",3
"2018-03-17",3
"2018-03-18",3
"2018-03-19",5
"2018-03-20",3
"2018-03-21",3
"2018-03-22",3
"2018-03-23",2
"2018-03-24",3
"2018-03-25",2
"2018-03-26",4
"2018-03-27",3
"2018-03-28",2
"2018-03-29",2
"2018-03-30",2
"2018-03-31",1
"2018-04-01",2
"2018-04-02",2
"2018-04-03",2
"2018-04-04",1
"2018-04-05",3
"2018-04-06",2
"2018-04-07",1
"2018-04-08",2
"2018-04-09",4
"2018-04-10",3
"2018-04-11",3
"2018-04-12",2
"2018-04-13",2
"2018-04-14",2
"2018-04-15",2
"2018-04-16",2
"2018-04-17",2
"2018-04-18",3
"2018-04-19",2
