네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","반찬"
"2017-08-01",45
"2017-08-02",39
"2017-08-03",39
"2017-08-04",29
"2017-08-05",27
"2017-08-06",37
"2017-08-07",43
"2017-08-08",42
"2017-08-09",40
"2017-08-10",48
"2017-08-11",44
"2017-08-12",43
"2017-08-13",48
"2017-08-14",66
"2017-08-15",66
"2017-08-16",73
"2017-08-17",66
"2017-08-18",59
"2017-08-19",49
"2017-08-20",75
"2017-08-21",84
"2017-08-22",80
"2017-08-23",71
"2017-08-24",73
"2017-08-25",53
"2017-08-26",49
"2017-08-27",66
"2017-08-28",75
"2017-08-29",75
"2017-08-30",68
"2017-08-31",63
"2017-09-01",46
"2017-09-02",41
"2017-09-03",58
"2017-09-04",75
"2017-09-05",62
"2017-09-06",52
"2017-09-07",55
"2017-09-08",43
"2017-09-09",41
"2017-09-10",51
"2017-09-11",62
"2017-09-12",52
"2017-09-13",46
"2017-09-14",37
"2017-09-15",37
"2017-09-16",37
"2017-09-17",42
"2017-09-18",54
"2017-09-19",50
"2017-09-20",48
"2017-09-21",42
"2017-09-22",32
"2017-09-23",25
"2017-09-24",36
"2017-09-25",46
"2017-09-26",44
"2017-09-27",42
"2017-09-28",34
"2017-09-29",30
"2017-09-30",24
"2017-10-01",27
"2017-10-02",18
"2017-10-03",16
"2017-10-04",11
"2017-10-05",17
"2017-10-06",22
"2017-10-07",29
"2017-10-08",33
"2017-10-09",56
"2017-10-10",63
"2017-10-11",54
"2017-10-12",47
"2017-10-13",32
"2017-10-14",31
"2017-10-15",48
"2017-10-16",57
"2017-10-17",51
"2017-10-18",45
"2017-10-19",37
"2017-10-20",36
"2017-10-21",32
"2017-10-22",43
"2017-10-23",51
"2017-10-24",55
"2017-10-25",49
"2017-10-26",45
"2017-10-27",37
"2017-10-28",32
"2017-10-29",47
"2017-10-30",54
"2017-10-31",49
"2017-11-01",53
"2017-11-02",48
"2017-11-03",34
"2017-11-04",39
"2017-11-05",49
"2017-11-06",60
"2017-11-07",50
"2017-11-08",50
"2017-11-09",47
"2017-11-10",38
"2017-11-11",34
"2017-11-12",47
"2017-11-13",67
"2017-11-14",56
"2017-11-15",43
"2017-11-16",47
"2017-11-17",35
"2017-11-18",34
"2017-11-19",44
"2017-11-20",62
"2017-11-21",49
"2017-11-22",47
"2017-11-23",42
"2017-11-24",39
"2017-11-25",37
"2017-11-26",55
"2017-11-27",56
"2017-11-28",52
"2017-11-29",54
"2017-11-30",50
"2017-12-01",43
"2017-12-02",43
"2017-12-03",60
"2017-12-04",72
"2017-12-05",55
"2017-12-06",56
"2017-12-07",53
"2017-12-08",39
"2017-12-09",39
"2017-12-10",57
"2017-12-11",70
"2017-12-12",64
"2017-12-13",57
"2017-12-14",58
"2017-12-15",38
"2017-12-16",37
"2017-12-17",51
"2017-12-18",56
"2017-12-19",54
"2017-12-20",45
"2017-12-21",37
"2017-12-22",31
"2017-12-23",32
"2017-12-24",30
"2017-12-25",43
"2017-12-26",60
"2017-12-27",53
"2017-12-28",51
"2017-12-29",37
"2017-12-30",36
"2017-12-31",29
"2018-01-01",52
"2018-01-02",73
"2018-01-03",72
"2018-01-04",68
"2018-01-05",49
"2018-01-06",51
"2018-01-07",67
"2018-01-08",89
"2018-01-09",70
"2018-01-10",69
"2018-01-11",68
"2018-01-12",55
"2018-01-13",46
"2018-01-14",69
"2018-01-15",86
"2018-01-16",85
"2018-01-17",72
"2018-01-18",67
"2018-01-19",53
"2018-01-20",52
"2018-01-21",73
"2018-01-22",85
"2018-01-23",79
"2018-01-24",74
"2018-01-25",69
"2018-01-26",59
"2018-01-27",61
"2018-01-28",68
"2018-01-29",100
"2018-01-30",84
"2018-01-31",74
"2018-02-01",82
"2018-02-02",60
"2018-02-03",56
"2018-02-04",79
"2018-02-05",98
"2018-02-06",87
"2018-02-07",71
"2018-02-08",68
"2018-02-09",48
"2018-02-10",44
"2018-02-11",61
"2018-02-12",62
"2018-02-13",47
"2018-02-14",31
"2018-02-15",20
"2018-02-16",18
"2018-02-17",26
"2018-02-18",44
"2018-02-19",59
"2018-02-20",55
"2018-02-21",61
"2018-02-22",58
"2018-02-23",46
"2018-02-24",45
"2018-02-25",52
"2018-02-26",78
"2018-02-27",66
"2018-02-28",54
"2018-03-01",57
"2018-03-02",49
"2018-03-03",49
"2018-03-04",66
"2018-03-05",85
"2018-03-06",73
"2018-03-07",58
"2018-03-08",68
"2018-03-09",40
"2018-03-10",44
"2018-03-11",59
"2018-03-12",81
"2018-03-13",65
"2018-03-14",56
"2018-03-15",62
"2018-03-16",50
"2018-03-17",50
"2018-03-18",63
"2018-03-19",81
"2018-03-20",69
"2018-03-21",72
"2018-03-22",55
"2018-03-23",50
"2018-03-24",51
"2018-03-25",58
"2018-03-26",78
"2018-03-27",63
"2018-03-28",63
"2018-03-29",53
"2018-03-30",46
"2018-03-31",43
"2018-04-01",60
"2018-04-02",70
"2018-04-03",64
"2018-04-04",59
"2018-04-05",54
"2018-04-06",50
"2018-04-07",55
"2018-04-08",57
"2018-04-09",61
"2018-04-10",53
"2018-04-11",62
"2018-04-12",53
"2018-04-13",44
"2018-04-14",46
"2018-04-15",51
"2018-04-16",70
"2018-04-17",59
"2018-04-18",62
"2018-04-19",59
