네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","클렌즈주스"
"2017-08-01",48
"2017-08-02",38
"2017-08-03",45
"2017-08-04",37
"2017-08-05",35
"2017-08-06",71
"2017-08-07",73
"2017-08-08",57
"2017-08-09",62
"2017-08-10",62
"2017-08-11",56
"2017-08-12",39
"2017-08-13",64
"2017-08-14",61
"2017-08-15",61
"2017-08-16",69
"2017-08-17",61
"2017-08-18",51
"2017-08-19",46
"2017-08-20",69
"2017-08-21",77
"2017-08-22",67
"2017-08-23",60
"2017-08-24",54
"2017-08-25",44
"2017-08-26",44
"2017-08-27",45
"2017-08-28",48
"2017-08-29",51
"2017-08-30",52
"2017-08-31",53
"2017-09-01",37
"2017-09-02",43
"2017-09-03",52
"2017-09-04",57
"2017-09-05",52
"2017-09-06",43
"2017-09-07",39
"2017-09-08",34
"2017-09-09",31
"2017-09-10",54
"2017-09-11",57
"2017-09-12",47
"2017-09-13",47
"2017-09-14",44
"2017-09-15",33
"2017-09-16",30
"2017-09-17",60
"2017-09-18",58
"2017-09-19",52
"2017-09-20",46
"2017-09-21",43
"2017-09-22",45
"2017-09-23",48
"2017-09-24",48
"2017-09-25",53
"2017-09-26",50
"2017-09-27",46
"2017-09-28",37
"2017-09-29",22
"2017-09-30",27
"2017-10-01",29
"2017-10-02",25
"2017-10-03",25
"2017-10-04",21
"2017-10-05",44
"2017-10-06",51
"2017-10-07",49
"2017-10-08",64
"2017-10-09",100
"2017-10-10",84
"2017-10-11",74
"2017-10-12",74
"2017-10-13",40
"2017-10-14",34
"2017-10-15",54
"2017-10-16",61
"2017-10-17",47
"2017-10-18",57
"2017-10-19",49
"2017-10-20",44
"2017-10-21",37
"2017-10-22",55
"2017-10-23",55
"2017-10-24",46
"2017-10-25",47
"2017-10-26",42
"2017-10-27",39
"2017-10-28",38
"2017-10-29",53
"2017-10-30",66
"2017-10-31",49
"2017-11-01",53
"2017-11-02",42
"2017-11-03",36
"2017-11-04",29
"2017-11-05",60
"2017-11-06",65
"2017-11-07",46
"2017-11-08",51
"2017-11-09",48
"2017-11-10",40
"2017-11-11",44
"2017-11-12",53
"2017-11-13",53
"2017-11-14",56
"2017-11-15",43
"2017-11-16",42
"2017-11-17",48
"2017-11-18",54
"2017-11-19",62
"2017-11-20",68
"2017-11-21",57
"2017-11-22",55
"2017-11-23",48
"2017-11-24",39
"2017-11-25",45
"2017-11-26",55
"2017-11-27",55
"2017-11-28",55
"2017-11-29",60
"2017-11-30",52
"2017-12-01",36
"2017-12-02",44
"2017-12-03",47
"2017-12-04",64
"2017-12-05",48
"2017-12-06",49
"2017-12-07",50
"2017-12-08",48
"2017-12-09",42
"2017-12-10",58
"2017-12-11",58
"2017-12-12",49
"2017-12-13",46
"2017-12-14",48
"2017-12-15",34
"2017-12-16",31
"2017-12-17",41
"2017-12-18",48
"2017-12-19",40
"2017-12-20",39
"2017-12-21",33
"2017-12-22",26
"2017-12-23",29
"2017-12-24",31
"2017-12-25",42
"2017-12-26",49
"2017-12-27",49
"2017-12-28",52
"2017-12-29",40
"2017-12-30",37
"2017-12-31",40
"2018-01-01",68
"2018-01-02",69
"2018-01-03",63
"2018-01-04",59
"2018-01-05",43
"2018-01-06",53
"2018-01-07",65
"2018-01-08",78
"2018-01-09",61
"2018-01-10",61
"2018-01-11",51
"2018-01-12",39
"2018-01-13",44
"2018-01-14",68
"2018-01-15",70
"2018-01-16",61
"2018-01-17",45
"2018-01-18",46
"2018-01-19",39
"2018-01-20",60
"2018-01-21",81
"2018-01-22",72
"2018-01-23",62
"2018-01-24",55
"2018-01-25",51
"2018-01-26",40
"2018-01-27",40
"2018-01-28",55
"2018-01-29",67
"2018-01-30",63
"2018-01-31",56
"2018-02-01",57
"2018-02-02",48
"2018-02-03",39
"2018-02-04",66
"2018-02-05",66
"2018-02-06",56
"2018-02-07",55
"2018-02-08",53
"2018-02-09",41
"2018-02-10",30
"2018-02-11",43
"2018-02-12",42
"2018-02-13",38
"2018-02-14",26
"2018-02-15",22
"2018-02-16",32
"2018-02-17",47
"2018-02-18",64
"2018-02-19",82
"2018-02-20",55
"2018-02-21",55
"2018-02-22",50
"2018-02-23",51
"2018-02-24",44
"2018-02-25",56
"2018-02-26",64
"2018-02-27",57
"2018-02-28",47
"2018-03-01",55
"2018-03-02",48
"2018-03-03",43
"2018-03-04",75
"2018-03-05",59
"2018-03-06",57
"2018-03-07",51
"2018-03-08",57
"2018-03-09",41
"2018-03-10",42
"2018-03-11",60
"2018-03-12",62
"2018-03-13",73
"2018-03-14",64
"2018-03-15",54
"2018-03-16",41
"2018-03-17",45
"2018-03-18",74
"2018-03-19",67
"2018-03-20",51
"2018-03-21",54
"2018-03-22",49
"2018-03-23",37
"2018-03-24",38
"2018-03-25",49
"2018-03-26",52
"2018-03-27",50
"2018-03-28",61
"2018-03-29",58
"2018-03-30",36
"2018-03-31",35
"2018-04-01",67
"2018-04-02",65
"2018-04-03",51
"2018-04-04",46
"2018-04-05",50
"2018-04-06",42
"2018-04-07",36
"2018-04-08",48
"2018-04-09",48
"2018-04-10",55
"2018-04-11",51
"2018-04-12",40
"2018-04-13",35
"2018-04-14",38
"2018-04-15",46
"2018-04-16",55
"2018-04-17",56
"2018-04-18",56
"2018-04-19",55
