네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","하리보젤리"
"2017-08-01",9
"2017-08-02",18
"2017-08-03",13
"2017-08-04",12
"2017-08-05",12
"2017-08-06",14
"2017-08-07",13
"2017-08-08",13
"2017-08-09",13
"2017-08-10",17
"2017-08-11",10
"2017-08-12",6
"2017-08-13",13
"2017-08-14",17
"2017-08-15",22
"2017-08-16",18
"2017-08-17",19
"2017-08-18",16
"2017-08-19",14
"2017-08-20",20
"2017-08-21",16
"2017-08-22",19
"2017-08-23",16
"2017-08-24",13
"2017-08-25",12
"2017-08-26",9
"2017-08-27",15
"2017-08-28",27
"2017-08-29",26
"2017-08-30",25
"2017-08-31",15
"2017-09-01",16
"2017-09-02",15
"2017-09-03",20
"2017-09-04",22
"2017-09-05",23
"2017-09-06",24
"2017-09-07",24
"2017-09-08",16
"2017-09-09",21
"2017-09-10",26
"2017-09-11",25
"2017-09-12",23
"2017-09-13",23
"2017-09-14",21
"2017-09-15",19
"2017-09-16",18
"2017-09-17",23
"2017-09-18",23
"2017-09-19",29
"2017-09-20",27
"2017-09-21",21
"2017-09-22",14
"2017-09-23",17
"2017-09-24",33
"2017-09-25",27
"2017-09-26",32
"2017-09-27",31
"2017-09-28",25
"2017-09-29",16
"2017-09-30",16
"2017-10-01",19
"2017-10-02",15
"2017-10-03",14
"2017-10-04",14
"2017-10-05",18
"2017-10-06",22
"2017-10-07",16
"2017-10-08",20
"2017-10-09",31
"2017-10-10",34
"2017-10-11",30
"2017-10-12",34
"2017-10-13",28
"2017-10-14",25
"2017-10-15",31
"2017-10-16",31
"2017-10-17",38
"2017-10-18",47
"2017-10-19",39
"2017-10-20",30
"2017-10-21",23
"2017-10-22",39
"2017-10-23",46
"2017-10-24",42
"2017-10-25",40
"2017-10-26",38
"2017-10-27",28
"2017-10-28",23
"2017-10-29",31
"2017-10-30",40
"2017-10-31",32
"2017-11-01",36
"2017-11-02",33
"2017-11-03",30
"2017-11-04",26
"2017-11-05",28
"2017-11-06",37
"2017-11-07",41
"2017-11-08",37
"2017-11-09",31
"2017-11-10",27
"2017-11-11",21
"2017-11-12",30
"2017-11-13",29
"2017-11-14",31
"2017-11-15",33
"2017-11-16",27
"2017-11-17",23
"2017-11-18",21
"2017-11-19",24
"2017-11-20",35
"2017-11-21",34
"2017-11-22",29
"2017-11-23",30
"2017-11-24",22
"2017-11-25",21
"2017-11-26",25
"2017-11-27",29
"2017-11-28",31
"2017-11-29",32
"2017-11-30",28
"2017-12-01",29
"2017-12-02",32
"2017-12-03",31
"2017-12-04",30
"2017-12-05",37
"2017-12-06",38
"2017-12-07",31
"2017-12-08",21
"2017-12-09",24
"2017-12-10",32
"2017-12-11",36
"2017-12-12",31
"2017-12-13",38
"2017-12-14",40
"2017-12-15",28
"2017-12-16",26
"2017-12-17",30
"2017-12-18",42
"2017-12-19",46
"2017-12-20",42
"2017-12-21",30
"2017-12-22",18
"2017-12-23",23
"2017-12-24",16
"2017-12-25",30
"2017-12-26",28
"2017-12-27",29
"2017-12-28",28
"2017-12-29",19
"2017-12-30",23
"2017-12-31",27
"2018-01-01",31
"2018-01-02",30
"2018-01-03",35
"2018-01-04",40
"2018-01-05",32
"2018-01-06",39
"2018-01-07",33
"2018-01-08",43
"2018-01-09",42
"2018-01-10",40
"2018-01-11",41
"2018-01-12",30
"2018-01-13",32
"2018-01-14",36
"2018-01-15",43
"2018-01-16",45
"2018-01-17",33
"2018-01-18",38
"2018-01-19",36
"2018-01-20",31
"2018-01-21",45
"2018-01-22",43
"2018-01-23",45
"2018-01-24",36
"2018-01-25",38
"2018-01-26",31
"2018-01-27",32
"2018-01-28",30
"2018-01-29",41
"2018-01-30",42
"2018-01-31",33
"2018-02-01",35
"2018-02-02",31
"2018-02-03",29
"2018-02-04",37
"2018-02-05",48
"2018-02-06",36
"2018-02-07",47
"2018-02-08",42
"2018-02-09",32
"2018-02-10",30
"2018-02-11",31
"2018-02-12",30
"2018-02-13",19
"2018-02-14",18
"2018-02-15",14
"2018-02-16",14
"2018-02-17",21
"2018-02-18",28
"2018-02-19",33
"2018-02-20",32
"2018-02-21",27
"2018-02-22",32
"2018-02-23",27
"2018-02-24",30
"2018-02-25",39
"2018-02-26",37
"2018-02-27",40
"2018-02-28",32
"2018-03-01",37
"2018-03-02",31
"2018-03-03",33
"2018-03-04",46
"2018-03-05",100
"2018-03-06",65
"2018-03-07",71
"2018-03-08",59
"2018-03-09",51
"2018-03-10",41
"2018-03-11",46
"2018-03-12",51
"2018-03-13",50
"2018-03-14",57
"2018-03-15",41
"2018-03-16",32
"2018-03-17",33
"2018-03-18",39
"2018-03-19",40
"2018-03-20",44
"2018-03-21",38
"2018-03-22",45
"2018-03-23",34
"2018-03-24",32
"2018-03-25",41
"2018-03-26",39
"2018-03-27",40
"2018-03-28",29
"2018-03-29",35
"2018-03-30",25
"2018-03-31",31
"2018-04-01",43
"2018-04-02",30
"2018-04-03",33
"2018-04-04",32
"2018-04-05",44
"2018-04-06",41
"2018-04-07",33
"2018-04-08",40
"2018-04-09",44
"2018-04-10",42
"2018-04-11",35
"2018-04-12",31
"2018-04-13",35
"2018-04-14",38
"2018-04-15",44
"2018-04-16",41
"2018-04-17",35
"2018-04-18",49
"2018-04-19",44
