네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","다이어트"
"2017-08-01",36
"2017-08-02",25
"2017-08-03",25
"2017-08-04",26
"2017-08-05",27
"2017-08-06",42
"2017-08-07",43
"2017-08-08",30
"2017-08-09",27
"2017-08-10",31
"2017-08-11",27
"2017-08-12",22
"2017-08-13",30
"2017-08-14",30
"2017-08-15",36
"2017-08-16",37
"2017-08-17",34
"2017-08-18",28
"2017-08-19",22
"2017-08-20",27
"2017-08-21",32
"2017-08-22",25
"2017-08-23",35
"2017-08-24",19
"2017-08-25",22
"2017-08-26",17
"2017-08-27",34
"2017-08-28",29
"2017-08-29",25
"2017-08-30",32
"2017-08-31",20
"2017-09-01",26
"2017-09-02",21
"2017-09-03",38
"2017-09-04",34
"2017-09-05",36
"2017-09-06",37
"2017-09-07",38
"2017-09-08",24
"2017-09-09",21
"2017-09-10",34
"2017-09-11",44
"2017-09-12",30
"2017-09-13",33
"2017-09-14",28
"2017-09-15",28
"2017-09-16",32
"2017-09-17",39
"2017-09-18",35
"2017-09-19",30
"2017-09-20",36
"2017-09-21",44
"2017-09-22",32
"2017-09-23",24
"2017-09-24",42
"2017-09-25",43
"2017-09-26",52
"2017-09-27",43
"2017-09-28",34
"2017-09-29",25
"2017-09-30",28
"2017-10-01",45
"2017-10-02",34
"2017-10-03",37
"2017-10-04",39
"2017-10-05",32
"2017-10-06",38
"2017-10-07",29
"2017-10-08",47
"2017-10-09",53
"2017-10-10",47
"2017-10-11",41
"2017-10-12",32
"2017-10-13",32
"2017-10-14",24
"2017-10-15",44
"2017-10-16",39
"2017-10-17",43
"2017-10-18",28
"2017-10-19",43
"2017-10-20",33
"2017-10-21",30
"2017-10-22",40
"2017-10-23",51
"2017-10-24",28
"2017-10-25",32
"2017-10-26",40
"2017-10-27",35
"2017-10-28",33
"2017-10-29",38
"2017-10-30",39
"2017-10-31",34
"2017-11-01",33
"2017-11-02",25
"2017-11-03",25
"2017-11-04",30
"2017-11-05",46
"2017-11-06",44
"2017-11-07",42
"2017-11-08",35
"2017-11-09",27
"2017-11-10",25
"2017-11-11",23
"2017-11-12",47
"2017-11-13",48
"2017-11-14",43
"2017-11-15",35
"2017-11-16",41
"2017-11-17",38
"2017-11-18",40
"2017-11-19",50
"2017-11-20",40
"2017-11-21",41
"2017-11-22",39
"2017-11-23",34
"2017-11-24",34
"2017-11-25",26
"2017-11-26",42
"2017-11-27",44
"2017-11-28",39
"2017-11-29",39
"2017-11-30",30
"2017-12-01",29
"2017-12-02",31
"2017-12-03",52
"2017-12-04",56
"2017-12-05",46
"2017-12-06",32
"2017-12-07",26
"2017-12-08",25
"2017-12-09",24
"2017-12-10",35
"2017-12-11",30
"2017-12-12",30
"2017-12-13",25
"2017-12-14",24
"2017-12-15",21
"2017-12-16",19
"2017-12-17",35
"2017-12-18",38
"2017-12-19",43
"2017-12-20",19
"2017-12-21",24
"2017-12-22",20
"2017-12-23",23
"2017-12-24",24
"2017-12-25",34
"2017-12-26",36
"2017-12-27",34
"2017-12-28",33
"2017-12-29",28
"2017-12-30",24
"2017-12-31",29
"2018-01-01",50
"2018-01-02",59
"2018-01-03",51
"2018-01-04",42
"2018-01-05",34
"2018-01-06",39
"2018-01-07",53
"2018-01-08",67
"2018-01-09",49
"2018-01-10",45
"2018-01-11",43
"2018-01-12",28
"2018-01-13",35
"2018-01-14",52
"2018-01-15",61
"2018-01-16",58
"2018-01-17",40
"2018-01-18",35
"2018-01-19",29
"2018-01-20",40
"2018-01-21",44
"2018-01-22",46
"2018-01-23",47
"2018-01-24",40
"2018-01-25",40
"2018-01-26",32
"2018-01-27",33
"2018-01-28",44
"2018-01-29",37
"2018-01-30",45
"2018-01-31",41
"2018-02-01",46
"2018-02-02",29
"2018-02-03",33
"2018-02-04",38
"2018-02-05",56
"2018-02-06",35
"2018-02-07",39
"2018-02-08",32
"2018-02-09",32
"2018-02-10",34
"2018-02-11",42
"2018-02-12",37
"2018-02-13",33
"2018-02-14",21
"2018-02-15",19
"2018-02-16",35
"2018-02-17",42
"2018-02-18",64
"2018-02-19",69
"2018-02-20",59
"2018-02-21",56
"2018-02-22",44
"2018-02-23",41
"2018-02-24",38
"2018-02-25",54
"2018-02-26",65
"2018-02-27",56
"2018-02-28",48
"2018-03-01",58
"2018-03-02",52
"2018-03-03",51
"2018-03-04",70
"2018-03-05",56
"2018-03-06",78
"2018-03-07",96
"2018-03-08",84
"2018-03-09",81
"2018-03-10",68
"2018-03-11",85
"2018-03-12",79
"2018-03-13",100
"2018-03-14",95
"2018-03-15",87
"2018-03-16",68
"2018-03-17",57
"2018-03-18",81
"2018-03-19",72
"2018-03-20",74
"2018-03-21",61
"2018-03-22",59
"2018-03-23",49
"2018-03-24",56
"2018-03-25",63
"2018-03-26",73
"2018-03-27",63
"2018-03-28",71
"2018-03-29",54
"2018-03-30",49
"2018-03-31",45
"2018-04-01",83
"2018-04-02",66
"2018-04-03",60
"2018-04-04",58
"2018-04-05",62
"2018-04-06",51
"2018-04-07",42
"2018-04-08",64
"2018-04-09",61
"2018-04-10",66
"2018-04-11",68
"2018-04-12",48
"2018-04-13",38
"2018-04-14",50
"2018-04-15",73
"2018-04-16",94
"2018-04-17",92
"2018-04-18",75
"2018-04-19",60
