네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맥심모카골드"
"2017-08-01",28
"2017-08-02",39
"2017-08-03",30
"2017-08-04",26
"2017-08-05",18
"2017-08-06",24
"2017-08-07",33
"2017-08-08",35
"2017-08-09",40
"2017-08-10",30
"2017-08-11",25
"2017-08-12",19
"2017-08-13",24
"2017-08-14",29
"2017-08-15",33
"2017-08-16",33
"2017-08-17",37
"2017-08-18",27
"2017-08-19",15
"2017-08-20",25
"2017-08-21",32
"2017-08-22",34
"2017-08-23",26
"2017-08-24",28
"2017-08-25",25
"2017-08-26",18
"2017-08-27",25
"2017-08-28",30
"2017-08-29",39
"2017-08-30",38
"2017-08-31",35
"2017-09-01",32
"2017-09-02",24
"2017-09-03",33
"2017-09-04",46
"2017-09-05",42
"2017-09-06",37
"2017-09-07",39
"2017-09-08",31
"2017-09-09",25
"2017-09-10",29
"2017-09-11",46
"2017-09-12",41
"2017-09-13",43
"2017-09-14",31
"2017-09-15",26
"2017-09-16",21
"2017-09-17",34
"2017-09-18",39
"2017-09-19",42
"2017-09-20",48
"2017-09-21",35
"2017-09-22",35
"2017-09-23",23
"2017-09-24",35
"2017-09-25",50
"2017-09-26",60
"2017-09-27",49
"2017-09-28",35
"2017-09-29",17
"2017-09-30",17
"2017-10-01",17
"2017-10-02",21
"2017-10-03",17
"2017-10-04",14
"2017-10-05",27
"2017-10-06",33
"2017-10-07",28
"2017-10-08",47
"2017-10-09",59
"2017-10-10",82
"2017-10-11",83
"2017-10-12",73
"2017-10-13",52
"2017-10-14",46
"2017-10-15",57
"2017-10-16",80
"2017-10-17",69
"2017-10-18",66
"2017-10-19",57
"2017-10-20",53
"2017-10-21",41
"2017-10-22",48
"2017-10-23",69
"2017-10-24",74
"2017-10-25",65
"2017-10-26",53
"2017-10-27",49
"2017-10-28",34
"2017-10-29",40
"2017-10-30",60
"2017-10-31",51
"2017-11-01",51
"2017-11-02",44
"2017-11-03",38
"2017-11-04",33
"2017-11-05",57
"2017-11-06",61
"2017-11-07",55
"2017-11-08",66
"2017-11-09",54
"2017-11-10",47
"2017-11-11",37
"2017-11-12",47
"2017-11-13",60
"2017-11-14",61
"2017-11-15",55
"2017-11-16",52
"2017-11-17",49
"2017-11-18",43
"2017-11-19",48
"2017-11-20",59
"2017-11-21",57
"2017-11-22",59
"2017-11-23",54
"2017-11-24",41
"2017-11-25",27
"2017-11-26",46
"2017-11-27",67
"2017-11-28",57
"2017-11-29",51
"2017-11-30",65
"2017-12-01",53
"2017-12-02",46
"2017-12-03",50
"2017-12-04",76
"2017-12-05",75
"2017-12-06",64
"2017-12-07",60
"2017-12-08",51
"2017-12-09",44
"2017-12-10",44
"2017-12-11",67
"2017-12-12",76
"2017-12-13",71
"2017-12-14",61
"2017-12-15",50
"2017-12-16",34
"2017-12-17",59
"2017-12-18",76
"2017-12-19",77
"2017-12-20",74
"2017-12-21",67
"2017-12-22",41
"2017-12-23",31
"2017-12-24",31
"2017-12-25",45
"2017-12-26",84
"2017-12-27",65
"2017-12-28",59
"2017-12-29",53
"2017-12-30",46
"2017-12-31",47
"2018-01-01",61
"2018-01-02",94
"2018-01-03",83
"2018-01-04",82
"2018-01-05",62
"2018-01-06",46
"2018-01-07",63
"2018-01-08",82
"2018-01-09",78
"2018-01-10",69
"2018-01-11",72
"2018-01-12",64
"2018-01-13",42
"2018-01-14",59
"2018-01-15",86
"2018-01-16",99
"2018-01-17",83
"2018-01-18",78
"2018-01-19",67
"2018-01-20",48
"2018-01-21",68
"2018-01-22",100
"2018-01-23",90
"2018-01-24",75
"2018-01-25",78
"2018-01-26",76
"2018-01-27",53
"2018-01-28",59
"2018-01-29",99
"2018-01-30",83
"2018-01-31",90
"2018-02-01",84
"2018-02-02",74
"2018-02-03",56
"2018-02-04",73
"2018-02-05",96
"2018-02-06",88
"2018-02-07",89
"2018-02-08",68
"2018-02-09",57
"2018-02-10",44
"2018-02-11",44
"2018-02-12",52
"2018-02-13",31
"2018-02-14",28
"2018-02-15",22
"2018-02-16",23
"2018-02-17",42
"2018-02-18",60
"2018-02-19",90
"2018-02-20",73
"2018-02-21",69
"2018-02-22",63
"2018-02-23",62
"2018-02-24",43
"2018-02-25",51
"2018-02-26",69
"2018-02-27",74
"2018-02-28",56
"2018-03-01",63
"2018-03-02",57
"2018-03-03",39
"2018-03-04",55
"2018-03-05",76
"2018-03-06",74
"2018-03-07",59
"2018-03-08",78
"2018-03-09",56
"2018-03-10",52
"2018-03-11",47
"2018-03-12",62
"2018-03-13",67
"2018-03-14",56
"2018-03-15",50
"2018-03-16",41
"2018-03-17",37
"2018-03-18",45
"2018-03-19",75
"2018-03-20",66
"2018-03-21",63
"2018-03-22",59
"2018-03-23",45
"2018-03-24",35
"2018-03-25",48
"2018-03-26",65
"2018-03-27",65
"2018-03-28",61
"2018-03-29",48
"2018-03-30",43
"2018-03-31",29
"2018-04-01",49
"2018-04-02",74
"2018-04-03",60
"2018-04-04",60
"2018-04-05",68
"2018-04-06",60
"2018-04-07",44
"2018-04-08",48
"2018-04-09",73
"2018-04-10",62
"2018-04-11",70
"2018-04-12",64
"2018-04-13",43
"2018-04-14",42
"2018-04-15",45
"2018-04-16",62
"2018-04-17",64
"2018-04-18",50
"2018-04-19",56
