네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","쌀10kg"
"2017-08-01",40
"2017-08-02",50
"2017-08-03",32
"2017-08-04",33
"2017-08-05",24
"2017-08-06",36
"2017-08-07",57
"2017-08-08",47
"2017-08-09",47
"2017-08-10",40
"2017-08-11",30
"2017-08-12",30
"2017-08-13",40
"2017-08-14",45
"2017-08-15",49
"2017-08-16",55
"2017-08-17",45
"2017-08-18",33
"2017-08-19",27
"2017-08-20",52
"2017-08-21",70
"2017-08-22",54
"2017-08-23",55
"2017-08-24",40
"2017-08-25",35
"2017-08-26",28
"2017-08-27",38
"2017-08-28",48
"2017-08-29",62
"2017-08-30",56
"2017-08-31",49
"2017-09-01",40
"2017-09-02",29
"2017-09-03",53
"2017-09-04",57
"2017-09-05",60
"2017-09-06",55
"2017-09-07",43
"2017-09-08",30
"2017-09-09",28
"2017-09-10",43
"2017-09-11",74
"2017-09-12",55
"2017-09-13",52
"2017-09-14",51
"2017-09-15",36
"2017-09-16",32
"2017-09-17",46
"2017-09-18",72
"2017-09-19",59
"2017-09-20",52
"2017-09-21",51
"2017-09-22",42
"2017-09-23",31
"2017-09-24",54
"2017-09-25",57
"2017-09-26",54
"2017-09-27",41
"2017-09-28",26
"2017-09-29",23
"2017-09-30",11
"2017-10-01",12
"2017-10-02",11
"2017-10-03",8
"2017-10-04",7
"2017-10-05",23
"2017-10-06",27
"2017-10-07",31
"2017-10-08",55
"2017-10-09",67
"2017-10-10",73
"2017-10-11",53
"2017-10-12",49
"2017-10-13",37
"2017-10-14",29
"2017-10-15",50
"2017-10-16",66
"2017-10-17",52
"2017-10-18",56
"2017-10-19",42
"2017-10-20",35
"2017-10-21",34
"2017-10-22",42
"2017-10-23",49
"2017-10-24",49
"2017-10-25",43
"2017-10-26",38
"2017-10-27",42
"2017-10-28",22
"2017-10-29",32
"2017-10-30",40
"2017-10-31",33
"2017-11-01",39
"2017-11-02",30
"2017-11-03",27
"2017-11-04",27
"2017-11-05",41
"2017-11-06",53
"2017-11-07",42
"2017-11-08",35
"2017-11-09",37
"2017-11-10",26
"2017-11-11",32
"2017-11-12",37
"2017-11-13",49
"2017-11-14",43
"2017-11-15",31
"2017-11-16",46
"2017-11-17",29
"2017-11-18",22
"2017-11-19",34
"2017-11-20",50
"2017-11-21",37
"2017-11-22",30
"2017-11-23",28
"2017-11-24",21
"2017-11-25",21
"2017-11-26",29
"2017-11-27",53
"2017-11-28",47
"2017-11-29",46
"2017-11-30",41
"2017-12-01",41
"2017-12-02",30
"2017-12-03",41
"2017-12-04",53
"2017-12-05",48
"2017-12-06",37
"2017-12-07",37
"2017-12-08",28
"2017-12-09",23
"2017-12-10",36
"2017-12-11",46
"2017-12-12",41
"2017-12-13",43
"2017-12-14",31
"2017-12-15",25
"2017-12-16",24
"2017-12-17",37
"2017-12-18",41
"2017-12-19",43
"2017-12-20",38
"2017-12-21",27
"2017-12-22",19
"2017-12-23",21
"2017-12-24",19
"2017-12-25",35
"2017-12-26",51
"2017-12-27",41
"2017-12-28",33
"2017-12-29",28
"2017-12-30",23
"2017-12-31",19
"2018-01-01",42
"2018-01-02",59
"2018-01-03",49
"2018-01-04",48
"2018-01-05",26
"2018-01-06",31
"2018-01-07",40
"2018-01-08",63
"2018-01-09",54
"2018-01-10",49
"2018-01-11",57
"2018-01-12",45
"2018-01-13",39
"2018-01-14",51
"2018-01-15",62
"2018-01-16",61
"2018-01-17",70
"2018-01-18",53
"2018-01-19",47
"2018-01-20",38
"2018-01-21",50
"2018-01-22",64
"2018-01-23",60
"2018-01-24",52
"2018-01-25",64
"2018-01-26",47
"2018-01-27",41
"2018-01-28",67
"2018-01-29",89
"2018-01-30",75
"2018-01-31",71
"2018-02-01",97
"2018-02-02",57
"2018-02-03",42
"2018-02-04",74
"2018-02-05",79
"2018-02-06",72
"2018-02-07",65
"2018-02-08",51
"2018-02-09",34
"2018-02-10",28
"2018-02-11",48
"2018-02-12",40
"2018-02-13",20
"2018-02-14",16
"2018-02-15",14
"2018-02-16",16
"2018-02-17",29
"2018-02-18",58
"2018-02-19",87
"2018-02-20",61
"2018-02-21",62
"2018-02-22",58
"2018-02-23",41
"2018-02-24",34
"2018-02-25",72
"2018-02-26",89
"2018-02-27",59
"2018-02-28",61
"2018-03-01",76
"2018-03-02",57
"2018-03-03",49
"2018-03-04",87
"2018-03-05",87
"2018-03-06",66
"2018-03-07",62
"2018-03-08",61
"2018-03-09",44
"2018-03-10",32
"2018-03-11",69
"2018-03-12",61
"2018-03-13",61
"2018-03-14",66
"2018-03-15",72
"2018-03-16",53
"2018-03-17",42
"2018-03-18",67
"2018-03-19",96
"2018-03-20",83
"2018-03-21",86
"2018-03-22",77
"2018-03-23",50
"2018-03-24",46
"2018-03-25",68
"2018-03-26",88
"2018-03-27",66
"2018-03-28",64
"2018-03-29",56
"2018-03-30",40
"2018-03-31",46
"2018-04-01",77
"2018-04-02",100
"2018-04-03",71
"2018-04-04",70
"2018-04-05",67
"2018-04-06",47
"2018-04-07",46
"2018-04-08",65
"2018-04-09",85
"2018-04-10",73
"2018-04-11",73
"2018-04-12",61
"2018-04-13",50
"2018-04-14",45
"2018-04-15",61
"2018-04-16",77
"2018-04-17",73
"2018-04-18",65
"2018-04-19",55
