네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","고려은단비타민c1000"
"2017-08-01",17
"2017-08-02",18
"2017-08-03",15
"2017-08-04",14
"2017-08-05",12
"2017-08-06",13
"2017-08-07",19
"2017-08-08",20
"2017-08-09",21
"2017-08-10",16
"2017-08-11",13
"2017-08-12",13
"2017-08-13",16
"2017-08-14",20
"2017-08-15",18
"2017-08-16",22
"2017-08-17",19
"2017-08-18",14
"2017-08-19",13
"2017-08-20",17
"2017-08-21",18
"2017-08-22",20
"2017-08-23",18
"2017-08-24",16
"2017-08-25",15
"2017-08-26",13
"2017-08-27",13
"2017-08-28",23
"2017-08-29",20
"2017-08-30",24
"2017-08-31",18
"2017-09-01",16
"2017-09-02",15
"2017-09-03",18
"2017-09-04",24
"2017-09-05",20
"2017-09-06",22
"2017-09-07",27
"2017-09-08",20
"2017-09-09",15
"2017-09-10",18
"2017-09-11",23
"2017-09-12",22
"2017-09-13",24
"2017-09-14",25
"2017-09-15",18
"2017-09-16",15
"2017-09-17",22
"2017-09-18",28
"2017-09-19",29
"2017-09-20",32
"2017-09-21",31
"2017-09-22",20
"2017-09-23",20
"2017-09-24",26
"2017-09-25",52
"2017-09-26",47
"2017-09-27",42
"2017-09-28",33
"2017-09-29",19
"2017-09-30",20
"2017-10-01",22
"2017-10-02",19
"2017-10-03",16
"2017-10-04",17
"2017-10-05",24
"2017-10-06",32
"2017-10-07",27
"2017-10-08",32
"2017-10-09",44
"2017-10-10",44
"2017-10-11",44
"2017-10-12",40
"2017-10-13",28
"2017-10-14",25
"2017-10-15",35
"2017-10-16",43
"2017-10-17",36
"2017-10-18",34
"2017-10-19",34
"2017-10-20",35
"2017-10-21",22
"2017-10-22",26
"2017-10-23",36
"2017-10-24",33
"2017-10-25",34
"2017-10-26",34
"2017-10-27",28
"2017-10-28",22
"2017-10-29",28
"2017-10-30",38
"2017-10-31",31
"2017-11-01",42
"2017-11-02",32
"2017-11-03",34
"2017-11-04",27
"2017-11-05",36
"2017-11-06",38
"2017-11-07",38
"2017-11-08",35
"2017-11-09",41
"2017-11-10",29
"2017-11-11",29
"2017-11-12",34
"2017-11-13",40
"2017-11-14",37
"2017-11-15",35
"2017-11-16",31
"2017-11-17",26
"2017-11-18",22
"2017-11-19",27
"2017-11-20",36
"2017-11-21",42
"2017-11-22",39
"2017-11-23",29
"2017-11-24",26
"2017-11-25",25
"2017-11-26",29
"2017-11-27",42
"2017-11-28",42
"2017-11-29",50
"2017-11-30",34
"2017-12-01",36
"2017-12-02",30
"2017-12-03",33
"2017-12-04",37
"2017-12-05",39
"2017-12-06",65
"2017-12-07",42
"2017-12-08",28
"2017-12-09",30
"2017-12-10",35
"2017-12-11",51
"2017-12-12",45
"2017-12-13",39
"2017-12-14",32
"2017-12-15",26
"2017-12-16",27
"2017-12-17",36
"2017-12-18",44
"2017-12-19",37
"2017-12-20",42
"2017-12-21",38
"2017-12-22",28
"2017-12-23",25
"2017-12-24",24
"2017-12-25",31
"2017-12-26",47
"2017-12-27",100
"2017-12-28",40
"2017-12-29",31
"2017-12-30",27
"2017-12-31",26
"2018-01-01",41
"2018-01-02",53
"2018-01-03",51
"2018-01-04",57
"2018-01-05",44
"2018-01-06",36
"2018-01-07",44
"2018-01-08",51
"2018-01-09",52
"2018-01-10",47
"2018-01-11",44
"2018-01-12",39
"2018-01-13",31
"2018-01-14",42
"2018-01-15",51
"2018-01-16",56
"2018-01-17",57
"2018-01-18",46
"2018-01-19",40
"2018-01-20",38
"2018-01-21",46
"2018-01-22",55
"2018-01-23",55
"2018-01-24",56
"2018-01-25",44
"2018-01-26",28
"2018-01-27",21
"2018-01-28",29
"2018-01-29",36
"2018-01-30",40
"2018-01-31",35
"2018-02-01",39
"2018-02-02",36
"2018-02-03",31
"2018-02-04",43
"2018-02-05",50
"2018-02-06",52
"2018-02-07",54
"2018-02-08",37
"2018-02-09",35
"2018-02-10",32
"2018-02-11",35
"2018-02-12",36
"2018-02-13",27
"2018-02-14",19
"2018-02-15",17
"2018-02-16",18
"2018-02-17",24
"2018-02-18",32
"2018-02-19",43
"2018-02-20",34
"2018-02-21",28
"2018-02-22",28
"2018-02-23",27
"2018-02-24",29
"2018-02-25",40
"2018-02-26",43
"2018-02-27",47
"2018-02-28",41
"2018-03-01",44
"2018-03-02",35
"2018-03-03",32
"2018-03-04",39
"2018-03-05",41
"2018-03-06",44
"2018-03-07",40
"2018-03-08",39
"2018-03-09",29
"2018-03-10",30
"2018-03-11",40
"2018-03-12",41
"2018-03-13",39
"2018-03-14",37
"2018-03-15",41
"2018-03-16",25
"2018-03-17",30
"2018-03-18",37
"2018-03-19",48
"2018-03-20",42
"2018-03-21",37
"2018-03-22",36
"2018-03-23",38
"2018-03-24",31
"2018-03-25",33
"2018-03-26",44
"2018-03-27",45
"2018-03-28",36
"2018-03-29",34
"2018-03-30",30
"2018-03-31",28
"2018-04-01",35
"2018-04-02",36
"2018-04-03",36
"2018-04-04",33
"2018-04-05",32
"2018-04-06",31
"2018-04-07",25
"2018-04-08",35
"2018-04-09",46
"2018-04-10",31
"2018-04-11",40
"2018-04-12",38
"2018-04-13",33
"2018-04-14",32
"2018-04-15",29
"2018-04-16",45
"2018-04-17",35
"2018-04-18",39
"2018-04-19",37
