네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","코하쿠토"
"2017-11-17",4
"2017-11-18",28
"2017-11-19",54
"2017-11-20",54
"2017-11-21",77
"2017-11-22",72
"2017-11-23",72
"2017-11-24",57
"2017-11-25",71
"2017-11-26",81
"2017-11-27",75
"2017-11-28",79
"2017-11-29",91
"2017-11-30",66
"2017-12-01",62
"2017-12-02",68
"2017-12-03",74
"2017-12-04",60
"2017-12-05",48
"2017-12-06",46
"2017-12-07",42
"2017-12-08",38
"2017-12-09",89
"2017-12-10",100
"2017-12-11",77
"2017-12-12",45
"2017-12-13",41
"2017-12-14",47
"2017-12-15",46
"2017-12-16",50
"2017-12-17",88
"2017-12-18",59
"2017-12-19",50
"2017-12-20",48
"2017-12-21",42
"2017-12-22",44
"2017-12-23",52
"2017-12-24",44
"2017-12-25",43
"2017-12-26",39
"2017-12-27",41
"2017-12-28",38
"2017-12-29",33
"2017-12-30",36
"2017-12-31",36
"2018-01-01",37
"2018-01-02",38
"2018-01-03",51
"2018-01-04",62
"2018-01-05",54
"2018-01-06",59
"2018-01-07",63
"2018-01-08",66
"2018-01-09",72
"2018-01-10",67
"2018-01-11",51
"2018-01-12",56
"2018-01-13",59
"2018-01-14",61
"2018-01-15",69
"2018-01-16",70
"2018-01-17",77
"2018-01-18",54
"2018-01-19",60
"2018-01-20",40
"2018-01-21",46
"2018-01-22",51
"2018-01-23",56
"2018-01-24",49
"2018-01-25",45
"2018-01-26",43
"2018-01-27",57
"2018-01-28",50
"2018-01-29",57
"2018-01-30",56
"2018-01-31",42
"2018-02-01",56
"2018-02-02",42
"2018-02-03",37
"2018-02-04",47
"2018-02-05",42
"2018-02-06",43
"2018-02-07",45
"2018-02-08",36
"2018-02-09",27
"2018-02-10",35
"2018-02-11",41
"2018-02-12",33
"2018-02-13",29
"2018-02-14",25
"2018-02-15",37
"2018-02-16",37
"2018-02-17",34
"2018-02-18",38
"2018-02-19",44
"2018-02-20",38
"2018-02-21",33
"2018-02-22",38
"2018-02-23",31
"2018-02-24",37
"2018-02-25",44
"2018-02-26",56
"2018-02-27",56
"2018-02-28",51
"2018-03-01",39
"2018-03-02",30
"2018-03-03",32
"2018-03-04",40
"2018-03-05",40
"2018-03-06",41
"2018-03-07",47
"2018-03-08",48
"2018-03-09",51
"2018-03-10",57
"2018-03-11",68
"2018-03-12",63
"2018-03-13",47
"2018-03-14",67
"2018-03-15",45
"2018-03-16",43
"2018-03-17",32
"2018-03-18",35
"2018-03-19",32
"2018-03-20",27
"2018-03-21",29
"2018-03-22",31
"2018-03-23",23
"2018-03-24",26
"2018-03-25",28
"2018-03-26",24
"2018-03-27",26
"2018-03-28",21
"2018-03-29",23
"2018-03-30",17
"2018-03-31",22
"2018-04-01",27
"2018-04-02",21
"2018-04-03",24
"2018-04-04",20
"2018-04-05",26
"2018-04-06",17
"2018-04-07",25
"2018-04-08",29
"2018-04-09",25
"2018-04-10",21
"2018-04-11",23
"2018-04-12",17
"2018-04-13",16
"2018-04-14",27
"2018-04-15",22
"2018-04-16",20
"2018-04-17",18
"2018-04-18",18
"2018-04-19",20
