네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","고구마"
"2017-08-01",32
"2017-08-02",28
"2017-08-03",26
"2017-08-04",21
"2017-08-05",18
"2017-08-06",31
"2017-08-07",37
"2017-08-08",43
"2017-08-09",40
"2017-08-10",36
"2017-08-11",29
"2017-08-12",23
"2017-08-13",32
"2017-08-14",39
"2017-08-15",50
"2017-08-16",52
"2017-08-17",52
"2017-08-18",39
"2017-08-19",41
"2017-08-20",64
"2017-08-21",73
"2017-08-22",64
"2017-08-23",64
"2017-08-24",49
"2017-08-25",38
"2017-08-26",37
"2017-08-27",48
"2017-08-28",73
"2017-08-29",72
"2017-08-30",67
"2017-08-31",57
"2017-09-01",52
"2017-09-02",36
"2017-09-03",56
"2017-09-04",64
"2017-09-05",67
"2017-09-06",57
"2017-09-07",60
"2017-09-08",41
"2017-09-09",37
"2017-09-10",51
"2017-09-11",62
"2017-09-12",61
"2017-09-13",53
"2017-09-14",47
"2017-09-15",38
"2017-09-16",34
"2017-09-17",48
"2017-09-18",52
"2017-09-19",53
"2017-09-20",43
"2017-09-21",45
"2017-09-22",27
"2017-09-23",26
"2017-09-24",36
"2017-09-25",40
"2017-09-26",27
"2017-09-27",23
"2017-09-28",20
"2017-09-29",11
"2017-09-30",12
"2017-10-01",15
"2017-10-02",11
"2017-10-03",13
"2017-10-04",13
"2017-10-05",24
"2017-10-06",33
"2017-10-07",35
"2017-10-08",40
"2017-10-09",54
"2017-10-10",63
"2017-10-11",67
"2017-10-12",51
"2017-10-13",41
"2017-10-14",32
"2017-10-15",48
"2017-10-16",57
"2017-10-17",52
"2017-10-18",47
"2017-10-19",45
"2017-10-20",36
"2017-10-21",28
"2017-10-22",45
"2017-10-23",50
"2017-10-24",46
"2017-10-25",46
"2017-10-26",45
"2017-10-27",28
"2017-10-28",27
"2017-10-29",44
"2017-10-30",48
"2017-10-31",43
"2017-11-01",48
"2017-11-02",40
"2017-11-03",36
"2017-11-04",31
"2017-11-05",40
"2017-11-06",53
"2017-11-07",44
"2017-11-08",47
"2017-11-09",42
"2017-11-10",27
"2017-11-11",33
"2017-11-12",40
"2017-11-13",53
"2017-11-14",47
"2017-11-15",38
"2017-11-16",38
"2017-11-17",34
"2017-11-18",27
"2017-11-19",44
"2017-11-20",56
"2017-11-21",47
"2017-11-22",46
"2017-11-23",45
"2017-11-24",32
"2017-11-25",33
"2017-11-26",42
"2017-11-27",51
"2017-11-28",46
"2017-11-29",46
"2017-11-30",42
"2017-12-01",40
"2017-12-02",35
"2017-12-03",47
"2017-12-04",49
"2017-12-05",57
"2017-12-06",51
"2017-12-07",50
"2017-12-08",40
"2017-12-09",35
"2017-12-10",47
"2017-12-11",61
"2017-12-12",57
"2017-12-13",53
"2017-12-14",47
"2017-12-15",35
"2017-12-16",36
"2017-12-17",42
"2017-12-18",56
"2017-12-19",53
"2017-12-20",52
"2017-12-21",47
"2017-12-22",30
"2017-12-23",31
"2017-12-24",33
"2017-12-25",44
"2017-12-26",56
"2017-12-27",49
"2017-12-28",45
"2017-12-29",31
"2017-12-30",36
"2017-12-31",25
"2018-01-01",44
"2018-01-02",67
"2018-01-03",67
"2018-01-04",70
"2018-01-05",47
"2018-01-06",40
"2018-01-07",55
"2018-01-08",77
"2018-01-09",65
"2018-01-10",63
"2018-01-11",62
"2018-01-12",47
"2018-01-13",55
"2018-01-14",72
"2018-01-15",83
"2018-01-16",83
"2018-01-17",78
"2018-01-18",59
"2018-01-19",49
"2018-01-20",46
"2018-01-21",58
"2018-01-22",76
"2018-01-23",78
"2018-01-24",78
"2018-01-25",74
"2018-01-26",51
"2018-01-27",56
"2018-01-28",74
"2018-01-29",92
"2018-01-30",90
"2018-01-31",79
"2018-02-01",75
"2018-02-02",49
"2018-02-03",47
"2018-02-04",80
"2018-02-05",100
"2018-02-06",87
"2018-02-07",76
"2018-02-08",55
"2018-02-09",42
"2018-02-10",37
"2018-02-11",41
"2018-02-12",43
"2018-02-13",26
"2018-02-14",19
"2018-02-15",17
"2018-02-16",22
"2018-02-17",30
"2018-02-18",56
"2018-02-19",78
"2018-02-20",71
"2018-02-21",68
"2018-02-22",56
"2018-02-23",43
"2018-02-24",36
"2018-02-25",55
"2018-02-26",71
"2018-02-27",64
"2018-02-28",52
"2018-03-01",54
"2018-03-02",46
"2018-03-03",40
"2018-03-04",63
"2018-03-05",68
"2018-03-06",76
"2018-03-07",78
"2018-03-08",57
"2018-03-09",35
"2018-03-10",36
"2018-03-11",52
"2018-03-12",60
"2018-03-13",60
"2018-03-14",52
"2018-03-15",44
"2018-03-16",38
"2018-03-17",36
"2018-03-18",53
"2018-03-19",64
"2018-03-20",57
"2018-03-21",51
"2018-03-22",44
"2018-03-23",30
"2018-03-24",26
"2018-03-25",43
"2018-03-26",60
"2018-03-27",53
"2018-03-28",47
"2018-03-29",42
"2018-03-30",31
"2018-03-31",26
"2018-04-01",42
"2018-04-02",52
"2018-04-03",48
"2018-04-04",47
"2018-04-05",41
"2018-04-06",36
"2018-04-07",32
"2018-04-08",50
"2018-04-09",61
"2018-04-10",60
"2018-04-11",54
"2018-04-12",48
"2018-04-13",36
"2018-04-14",32
"2018-04-15",43
"2018-04-16",59
"2018-04-17",57
"2018-04-18",48
"2018-04-19",53
