네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","락토핏생유산균"
"2017-08-01",29
"2017-08-02",32
"2017-08-03",28
"2017-08-04",25
"2017-08-05",13
"2017-08-06",18
"2017-08-07",29
"2017-08-08",26
"2017-08-09",27
"2017-08-10",26
"2017-08-11",22
"2017-08-12",28
"2017-08-13",28
"2017-08-14",45
"2017-08-15",39
"2017-08-16",47
"2017-08-17",34
"2017-08-18",39
"2017-08-19",30
"2017-08-20",28
"2017-08-21",50
"2017-08-22",40
"2017-08-23",35
"2017-08-24",32
"2017-08-25",31
"2017-08-26",27
"2017-08-27",40
"2017-08-28",29
"2017-08-29",29
"2017-08-30",41
"2017-08-31",36
"2017-09-01",34
"2017-09-02",23
"2017-09-03",32
"2017-09-04",36
"2017-09-05",43
"2017-09-06",40
"2017-09-07",34
"2017-09-08",23
"2017-09-09",23
"2017-09-10",40
"2017-09-11",33
"2017-09-12",39
"2017-09-13",41
"2017-09-14",33
"2017-09-15",27
"2017-09-16",24
"2017-09-17",34
"2017-09-18",35
"2017-09-19",39
"2017-09-20",37
"2017-09-21",32
"2017-09-22",24
"2017-09-23",22
"2017-09-24",29
"2017-09-25",37
"2017-09-26",35
"2017-09-27",49
"2017-09-28",29
"2017-09-29",33
"2017-09-30",28
"2017-10-01",42
"2017-10-02",31
"2017-10-03",23
"2017-10-04",42
"2017-10-05",43
"2017-10-06",47
"2017-10-07",35
"2017-10-08",46
"2017-10-09",47
"2017-10-10",46
"2017-10-11",46
"2017-10-12",83
"2017-10-13",40
"2017-10-14",41
"2017-10-15",37
"2017-10-16",74
"2017-10-17",49
"2017-10-18",78
"2017-10-19",52
"2017-10-20",31
"2017-10-21",25
"2017-10-22",36
"2017-10-23",54
"2017-10-24",82
"2017-10-25",50
"2017-10-26",44
"2017-10-27",45
"2017-10-28",40
"2017-10-29",61
"2017-10-30",64
"2017-10-31",83
"2017-11-01",53
"2017-11-02",50
"2017-11-03",50
"2017-11-04",31
"2017-11-05",45
"2017-11-06",62
"2017-11-07",62
"2017-11-08",43
"2017-11-09",41
"2017-11-10",47
"2017-11-11",61
"2017-11-12",49
"2017-11-13",66
"2017-11-14",51
"2017-11-15",45
"2017-11-16",37
"2017-11-17",50
"2017-11-18",41
"2017-11-19",49
"2017-11-20",63
"2017-11-21",58
"2017-11-22",50
"2017-11-23",66
"2017-11-24",47
"2017-11-25",36
"2017-11-26",67
"2017-11-27",62
"2017-11-28",94
"2017-11-29",52
"2017-11-30",45
"2017-12-01",40
"2017-12-02",57
"2017-12-03",78
"2017-12-04",96
"2017-12-05",62
"2017-12-06",69
"2017-12-07",70
"2017-12-08",52
"2017-12-09",55
"2017-12-10",51
"2017-12-11",49
"2017-12-12",60
"2017-12-13",64
"2017-12-14",55
"2017-12-15",46
"2017-12-16",53
"2017-12-17",55
"2017-12-18",61
"2017-12-19",76
"2017-12-20",69
"2017-12-21",67
"2017-12-22",35
"2017-12-23",49
"2017-12-24",29
"2017-12-25",49
"2017-12-26",65
"2017-12-27",62
"2017-12-28",44
"2017-12-29",50
"2017-12-30",48
"2017-12-31",44
"2018-01-01",74
"2018-01-02",71
"2018-01-03",71
"2018-01-04",59
"2018-01-05",92
"2018-01-06",59
"2018-01-07",72
"2018-01-08",92
"2018-01-09",83
"2018-01-10",93
"2018-01-11",65
"2018-01-12",55
"2018-01-13",53
"2018-01-14",77
"2018-01-15",70
"2018-01-16",68
"2018-01-17",73
"2018-01-18",57
"2018-01-19",47
"2018-01-20",63
"2018-01-21",78
"2018-01-22",52
"2018-01-23",68
"2018-01-24",87
"2018-01-25",75
"2018-01-26",64
"2018-01-27",76
"2018-01-28",66
"2018-01-29",70
"2018-01-30",84
"2018-01-31",61
"2018-02-01",80
"2018-02-02",52
"2018-02-03",64
"2018-02-04",91
"2018-02-05",90
"2018-02-06",96
"2018-02-07",68
"2018-02-08",76
"2018-02-09",51
"2018-02-10",53
"2018-02-11",81
"2018-02-12",79
"2018-02-13",60
"2018-02-14",32
"2018-02-15",43
"2018-02-16",52
"2018-02-17",51
"2018-02-18",100
"2018-02-19",81
"2018-02-20",84
"2018-02-21",74
"2018-02-22",87
"2018-02-23",84
"2018-02-24",60
"2018-02-25",83
"2018-02-26",82
"2018-02-27",69
"2018-02-28",71
"2018-03-01",66
"2018-03-02",78
"2018-03-03",60
"2018-03-04",59
"2018-03-05",66
"2018-03-06",62
"2018-03-07",64
"2018-03-08",75
"2018-03-09",74
"2018-03-10",45
"2018-03-11",65
"2018-03-12",69
"2018-03-13",77
"2018-03-14",83
"2018-03-15",58
"2018-03-16",61
"2018-03-17",72
"2018-03-18",78
"2018-03-19",92
"2018-03-20",70
"2018-03-21",77
"2018-03-22",85
"2018-03-23",68
"2018-03-24",59
"2018-03-25",72
"2018-03-26",80
"2018-03-27",64
"2018-03-28",67
"2018-03-29",62
"2018-03-30",62
"2018-03-31",79
"2018-04-01",73
"2018-04-02",75
"2018-04-03",77
"2018-04-04",83
"2018-04-05",69
"2018-04-06",93
"2018-04-07",76
"2018-04-08",82
"2018-04-09",93
"2018-04-10",77
"2018-04-11",89
"2018-04-12",59
"2018-04-13",77
"2018-04-14",79
"2018-04-15",71
"2018-04-16",65
"2018-04-17",76
"2018-04-18",82
"2018-04-19",49
