네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","네임스티커"
"2017-08-01",5
"2017-08-02",5
"2017-08-03",5
"2017-08-04",5
"2017-08-05",4
"2017-08-06",4
"2017-08-07",7
"2017-08-08",7
"2017-08-09",7
"2017-08-10",7
"2017-08-11",6
"2017-08-12",3
"2017-08-13",4
"2017-08-14",7
"2017-08-15",8
"2017-08-16",6
"2017-08-17",8
"2017-08-18",8
"2017-08-19",6
"2017-08-20",5
"2017-08-21",7
"2017-08-22",8
"2017-08-23",8
"2017-08-24",8
"2017-08-25",7
"2017-08-26",5
"2017-08-27",6
"2017-08-28",6
"2017-08-29",10
"2017-08-30",8
"2017-08-31",7
"2017-09-01",7
"2017-09-02",5
"2017-09-03",7
"2017-09-04",8
"2017-09-05",9
"2017-09-06",9
"2017-09-07",8
"2017-09-08",7
"2017-09-09",5
"2017-09-10",7
"2017-09-11",7
"2017-09-12",7
"2017-09-13",7
"2017-09-14",6
"2017-09-15",5
"2017-09-16",5
"2017-09-17",6
"2017-09-18",8
"2017-09-19",6
"2017-09-20",7
"2017-09-21",6
"2017-09-22",6
"2017-09-23",4
"2017-09-24",4
"2017-09-25",6
"2017-09-26",6
"2017-09-27",6
"2017-09-28",4
"2017-09-29",3
"2017-09-30",2
"2017-10-01",2
"2017-10-02",3
"2017-10-03",2
"2017-10-04",2
"2017-10-05",2
"2017-10-06",3
"2017-10-07",3
"2017-10-08",5
"2017-10-09",5
"2017-10-10",6
"2017-10-11",8
"2017-10-12",5
"2017-10-13",6
"2017-10-14",5
"2017-10-15",4
"2017-10-16",7
"2017-10-17",6
"2017-10-18",7
"2017-10-19",6
"2017-10-20",5
"2017-10-21",4
"2017-10-22",4
"2017-10-23",6
"2017-10-24",6
"2017-10-25",7
"2017-10-26",7
"2017-10-27",5
"2017-10-28",6
"2017-10-29",5
"2017-10-30",8
"2017-10-31",6
"2017-11-01",8
"2017-11-02",7
"2017-11-03",7
"2017-11-04",5
"2017-11-05",6
"2017-11-06",7
"2017-11-07",7
"2017-11-08",7
"2017-11-09",7
"2017-11-10",6
"2017-11-11",5
"2017-11-12",5
"2017-11-13",7
"2017-11-14",7
"2017-11-15",8
"2017-11-16",6
"2017-11-17",6
"2017-11-18",6
"2017-11-19",7
"2017-11-20",7
"2017-11-21",8
"2017-11-22",7
"2017-11-23",8
"2017-11-24",6
"2017-11-25",5
"2017-11-26",5
"2017-11-27",8
"2017-11-28",8
"2017-11-29",7
"2017-11-30",7
"2017-12-01",6
"2017-12-02",5
"2017-12-03",6
"2017-12-04",9
"2017-12-05",9
"2017-12-06",8
"2017-12-07",9
"2017-12-08",7
"2017-12-09",7
"2017-12-10",7
"2017-12-11",9
"2017-12-12",8
"2017-12-13",8
"2017-12-14",8
"2017-12-15",8
"2017-12-16",5
"2017-12-17",6
"2017-12-18",8
"2017-12-19",10
"2017-12-20",9
"2017-12-21",7
"2017-12-22",6
"2017-12-23",6
"2017-12-24",6
"2017-12-25",8
"2017-12-26",9
"2017-12-27",11
"2017-12-28",9
"2017-12-29",8
"2017-12-30",7
"2017-12-31",6
"2018-01-01",8
"2018-01-02",12
"2018-01-03",13
"2018-01-04",12
"2018-01-05",13
"2018-01-06",10
"2018-01-07",9
"2018-01-08",14
"2018-01-09",14
"2018-01-10",14
"2018-01-11",12
"2018-01-12",13
"2018-01-13",10
"2018-01-14",12
"2018-01-15",17
"2018-01-16",15
"2018-01-17",15
"2018-01-18",13
"2018-01-19",11
"2018-01-20",10
"2018-01-21",12
"2018-01-22",14
"2018-01-23",13
"2018-01-24",17
"2018-01-25",13
"2018-01-26",14
"2018-01-27",12
"2018-01-28",13
"2018-01-29",18
"2018-01-30",17
"2018-01-31",17
"2018-02-01",24
"2018-02-02",19
"2018-02-03",18
"2018-02-04",20
"2018-02-05",27
"2018-02-06",29
"2018-02-07",28
"2018-02-08",27
"2018-02-09",23
"2018-02-10",25
"2018-02-11",27
"2018-02-12",32
"2018-02-13",30
"2018-02-14",22
"2018-02-15",17
"2018-02-16",12
"2018-02-17",22
"2018-02-18",36
"2018-02-19",59
"2018-02-20",67
"2018-02-21",74
"2018-02-22",68
"2018-02-23",62
"2018-02-24",63
"2018-02-25",66
"2018-02-26",100
"2018-02-27",88
"2018-02-28",77
"2018-03-01",78
"2018-03-02",94
"2018-03-03",64
"2018-03-04",75
"2018-03-05",69
"2018-03-06",43
"2018-03-07",40
"2018-03-08",30
"2018-03-09",22
"2018-03-10",19
"2018-03-11",19
"2018-03-12",22
"2018-03-13",16
"2018-03-14",15
"2018-03-15",15
"2018-03-16",10
"2018-03-17",11
"2018-03-18",12
"2018-03-19",13
"2018-03-20",13
"2018-03-21",12
"2018-03-22",12
"2018-03-23",10
"2018-03-24",9
"2018-03-25",12
"2018-03-26",11
"2018-03-27",11
"2018-03-28",10
"2018-03-29",10
"2018-03-30",9
"2018-03-31",7
"2018-04-01",11
"2018-04-02",10
"2018-04-03",9
"2018-04-04",10
"2018-04-05",12
"2018-04-06",9
"2018-04-07",10
"2018-04-08",9
"2018-04-09",10
"2018-04-10",9
"2018-04-11",10
"2018-04-12",9
"2018-04-13",9
"2018-04-14",10
"2018-04-15",8
"2018-04-16",10
"2018-04-17",9
"2018-04-18",10
"2018-04-19",10
