네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","드라이플라워"
"2017-08-01",24
"2017-08-02",25
"2017-08-03",22
"2017-08-04",20
"2017-08-05",16
"2017-08-06",23
"2017-08-07",30
"2017-08-08",29
"2017-08-09",31
"2017-08-10",27
"2017-08-11",24
"2017-08-12",22
"2017-08-13",23
"2017-08-14",27
"2017-08-15",33
"2017-08-16",29
"2017-08-17",32
"2017-08-18",29
"2017-08-19",24
"2017-08-20",31
"2017-08-21",37
"2017-08-22",36
"2017-08-23",30
"2017-08-24",31
"2017-08-25",28
"2017-08-26",28
"2017-08-27",31
"2017-08-28",30
"2017-08-29",33
"2017-08-30",35
"2017-08-31",32
"2017-09-01",24
"2017-09-02",30
"2017-09-03",26
"2017-09-04",36
"2017-09-05",35
"2017-09-06",30
"2017-09-07",28
"2017-09-08",24
"2017-09-09",24
"2017-09-10",29
"2017-09-11",32
"2017-09-12",32
"2017-09-13",32
"2017-09-14",27
"2017-09-15",26
"2017-09-16",23
"2017-09-17",30
"2017-09-18",36
"2017-09-19",33
"2017-09-20",34
"2017-09-21",30
"2017-09-22",29
"2017-09-23",23
"2017-09-24",28
"2017-09-25",30
"2017-09-26",26
"2017-09-27",27
"2017-09-28",20
"2017-09-29",16
"2017-09-30",14
"2017-10-01",19
"2017-10-02",18
"2017-10-03",15
"2017-10-04",12
"2017-10-05",14
"2017-10-06",18
"2017-10-07",19
"2017-10-08",24
"2017-10-09",25
"2017-10-10",30
"2017-10-11",28
"2017-10-12",29
"2017-10-13",24
"2017-10-14",23
"2017-10-15",32
"2017-10-16",36
"2017-10-17",34
"2017-10-18",37
"2017-10-19",27
"2017-10-20",28
"2017-10-21",24
"2017-10-22",33
"2017-10-23",37
"2017-10-24",37
"2017-10-25",34
"2017-10-26",32
"2017-10-27",29
"2017-10-28",28
"2017-10-29",34
"2017-10-30",36
"2017-10-31",38
"2017-11-01",45
"2017-11-02",44
"2017-11-03",47
"2017-11-04",43
"2017-11-05",46
"2017-11-06",64
"2017-11-07",69
"2017-11-08",55
"2017-11-09",50
"2017-11-10",41
"2017-11-11",35
"2017-11-12",38
"2017-11-13",37
"2017-11-14",38
"2017-11-15",34
"2017-11-16",37
"2017-11-17",30
"2017-11-18",29
"2017-11-19",31
"2017-11-20",40
"2017-11-21",37
"2017-11-22",38
"2017-11-23",33
"2017-11-24",28
"2017-11-25",23
"2017-11-26",31
"2017-11-27",40
"2017-11-28",33
"2017-11-29",33
"2017-11-30",35
"2017-12-01",28
"2017-12-02",25
"2017-12-03",37
"2017-12-04",41
"2017-12-05",44
"2017-12-06",34
"2017-12-07",33
"2017-12-08",28
"2017-12-09",27
"2017-12-10",35
"2017-12-11",43
"2017-12-12",36
"2017-12-13",38
"2017-12-14",42
"2017-12-15",30
"2017-12-16",30
"2017-12-17",37
"2017-12-18",39
"2017-12-19",44
"2017-12-20",33
"2017-12-21",30
"2017-12-22",25
"2017-12-23",21
"2017-12-24",20
"2017-12-25",28
"2017-12-26",34
"2017-12-27",29
"2017-12-28",31
"2017-12-29",26
"2017-12-30",27
"2017-12-31",27
"2018-01-01",27
"2018-01-02",39
"2018-01-03",36
"2018-01-04",35
"2018-01-05",32
"2018-01-06",34
"2018-01-07",38
"2018-01-08",38
"2018-01-09",42
"2018-01-10",38
"2018-01-11",35
"2018-01-12",36
"2018-01-13",38
"2018-01-14",35
"2018-01-15",40
"2018-01-16",39
"2018-01-17",41
"2018-01-18",39
"2018-01-19",38
"2018-01-20",35
"2018-01-21",39
"2018-01-22",50
"2018-01-23",48
"2018-01-24",51
"2018-01-25",47
"2018-01-26",43
"2018-01-27",51
"2018-01-28",46
"2018-01-29",64
"2018-01-30",65
"2018-01-31",65
"2018-02-01",81
"2018-02-02",68
"2018-02-03",68
"2018-02-04",64
"2018-02-05",100
"2018-02-06",78
"2018-02-07",72
"2018-02-08",60
"2018-02-09",38
"2018-02-10",31
"2018-02-11",43
"2018-02-12",36
"2018-02-13",31
"2018-02-14",26
"2018-02-15",20
"2018-02-16",22
"2018-02-17",22
"2018-02-18",34
"2018-02-19",46
"2018-02-20",43
"2018-02-21",41
"2018-02-22",36
"2018-02-23",26
"2018-02-24",26
"2018-02-25",25
"2018-02-26",23
"2018-02-27",23
"2018-02-28",24
"2018-03-01",22
"2018-03-02",24
"2018-03-03",26
"2018-03-04",30
"2018-03-05",35
"2018-03-06",35
"2018-03-07",32
"2018-03-08",43
"2018-03-09",29
"2018-03-10",25
"2018-03-11",31
"2018-03-12",40
"2018-03-13",40
"2018-03-14",35
"2018-03-15",28
"2018-03-16",25
"2018-03-17",23
"2018-03-18",29
"2018-03-19",31
"2018-03-20",29
"2018-03-21",30
"2018-03-22",22
"2018-03-23",24
"2018-03-24",23
"2018-03-25",24
"2018-03-26",28
"2018-03-27",30
"2018-03-28",27
"2018-03-29",23
"2018-03-30",21
"2018-03-31",22
"2018-04-01",25
"2018-04-02",30
"2018-04-03",24
"2018-04-04",26
"2018-04-05",28
"2018-04-06",23
"2018-04-07",23
"2018-04-08",26
"2018-04-09",31
"2018-04-10",33
"2018-04-11",27
"2018-04-12",26
"2018-04-13",23
"2018-04-14",26
"2018-04-15",29
"2018-04-16",35
"2018-04-17",38
"2018-04-18",40
"2018-04-19",33
