네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","보온도시락"
"2017-08-01",16
"2017-08-02",14
"2017-08-03",14
"2017-08-04",11
"2017-08-05",10
"2017-08-06",12
"2017-08-07",19
"2017-08-08",15
"2017-08-09",12
"2017-08-10",17
"2017-08-11",10
"2017-08-12",10
"2017-08-13",12
"2017-08-14",17
"2017-08-15",17
"2017-08-16",20
"2017-08-17",16
"2017-08-18",18
"2017-08-19",15
"2017-08-20",13
"2017-08-21",24
"2017-08-22",19
"2017-08-23",20
"2017-08-24",17
"2017-08-25",14
"2017-08-26",12
"2017-08-27",20
"2017-08-28",23
"2017-08-29",32
"2017-08-30",27
"2017-08-31",29
"2017-09-01",23
"2017-09-02",22
"2017-09-03",28
"2017-09-04",29
"2017-09-05",38
"2017-09-06",35
"2017-09-07",31
"2017-09-08",22
"2017-09-09",19
"2017-09-10",23
"2017-09-11",29
"2017-09-12",28
"2017-09-13",26
"2017-09-14",24
"2017-09-15",20
"2017-09-16",21
"2017-09-17",26
"2017-09-18",32
"2017-09-19",33
"2017-09-20",27
"2017-09-21",29
"2017-09-22",23
"2017-09-23",21
"2017-09-24",23
"2017-09-25",28
"2017-09-26",27
"2017-09-27",29
"2017-09-28",24
"2017-09-29",18
"2017-09-30",15
"2017-10-01",19
"2017-10-02",15
"2017-10-03",13
"2017-10-04",18
"2017-10-05",27
"2017-10-06",25
"2017-10-07",30
"2017-10-08",32
"2017-10-09",45
"2017-10-10",49
"2017-10-11",58
"2017-10-12",58
"2017-10-13",47
"2017-10-14",49
"2017-10-15",51
"2017-10-16",69
"2017-10-17",74
"2017-10-18",70
"2017-10-19",63
"2017-10-20",55
"2017-10-21",62
"2017-10-22",65
"2017-10-23",99
"2017-10-24",92
"2017-10-25",80
"2017-10-26",68
"2017-10-27",58
"2017-10-28",47
"2017-10-29",63
"2017-10-30",78
"2017-10-31",97
"2017-11-01",100
"2017-11-02",89
"2017-11-03",71
"2017-11-04",61
"2017-11-05",89
"2017-11-06",97
"2017-11-07",96
"2017-11-08",88
"2017-11-09",82
"2017-11-10",74
"2017-11-11",60
"2017-11-12",69
"2017-11-13",91
"2017-11-14",64
"2017-11-15",68
"2017-11-16",79
"2017-11-17",50
"2017-11-18",44
"2017-11-19",61
"2017-11-20",69
"2017-11-21",62
"2017-11-22",64
"2017-11-23",51
"2017-11-24",38
"2017-11-25",37
"2017-11-26",44
"2017-11-27",51
"2017-11-28",54
"2017-11-29",61
"2017-11-30",57
"2017-12-01",48
"2017-12-02",36
"2017-12-03",50
"2017-12-04",58
"2017-12-05",70
"2017-12-06",60
"2017-12-07",47
"2017-12-08",43
"2017-12-09",35
"2017-12-10",43
"2017-12-11",56
"2017-12-12",61
"2017-12-13",58
"2017-12-14",48
"2017-12-15",33
"2017-12-16",32
"2017-12-17",44
"2017-12-18",54
"2017-12-19",53
"2017-12-20",46
"2017-12-21",48
"2017-12-22",33
"2017-12-23",26
"2017-12-24",40
"2017-12-25",46
"2017-12-26",71
"2017-12-27",68
"2017-12-28",65
"2017-12-29",44
"2017-12-30",35
"2017-12-31",38
"2018-01-01",60
"2018-01-02",91
"2018-01-03",81
"2018-01-04",64
"2018-01-05",46
"2018-01-06",43
"2018-01-07",63
"2018-01-08",70
"2018-01-09",65
"2018-01-10",60
"2018-01-11",55
"2018-01-12",40
"2018-01-13",34
"2018-01-14",43
"2018-01-15",48
"2018-01-16",52
"2018-01-17",42
"2018-01-18",38
"2018-01-19",29
"2018-01-20",24
"2018-01-21",31
"2018-01-22",40
"2018-01-23",53
"2018-01-24",39
"2018-01-25",44
"2018-01-26",34
"2018-01-27",31
"2018-01-28",48
"2018-01-29",47
"2018-01-30",48
"2018-01-31",38
"2018-02-01",37
"2018-02-02",34
"2018-02-03",36
"2018-02-04",40
"2018-02-05",53
"2018-02-06",47
"2018-02-07",44
"2018-02-08",35
"2018-02-09",26
"2018-02-10",20
"2018-02-11",26
"2018-02-12",28
"2018-02-13",25
"2018-02-14",15
"2018-02-15",15
"2018-02-16",12
"2018-02-17",19
"2018-02-18",32
"2018-02-19",37
"2018-02-20",40
"2018-02-21",37
"2018-02-22",34
"2018-02-23",31
"2018-02-24",25
"2018-02-25",28
"2018-02-26",38
"2018-02-27",33
"2018-02-28",32
"2018-03-01",32
"2018-03-02",29
"2018-03-03",31
"2018-03-04",34
"2018-03-05",41
"2018-03-06",39
"2018-03-07",40
"2018-03-08",33
"2018-03-09",23
"2018-03-10",19
"2018-03-11",25
"2018-03-12",33
"2018-03-13",31
"2018-03-14",22
"2018-03-15",22
"2018-03-16",21
"2018-03-17",20
"2018-03-18",25
"2018-03-19",34
"2018-03-20",39
"2018-03-21",32
"2018-03-22",23
"2018-03-23",18
"2018-03-24",22
"2018-03-25",22
"2018-03-26",27
"2018-03-27",24
"2018-03-28",22
"2018-03-29",25
"2018-03-30",17
"2018-03-31",17
"2018-04-01",30
"2018-04-02",29
"2018-04-03",23
"2018-04-04",27
"2018-04-05",39
"2018-04-06",27
"2018-04-07",22
"2018-04-08",30
"2018-04-09",32
"2018-04-10",31
"2018-04-11",34
"2018-04-12",28
"2018-04-13",26
"2018-04-14",25
"2018-04-15",29
"2018-04-16",31
"2018-04-17",32
"2018-04-18",25
"2018-04-19",23
