네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","차량용휴대폰거치대"
"2017-08-01",33
"2017-08-02",37
"2017-08-03",33
"2017-08-04",39
"2017-08-05",36
"2017-08-06",37
"2017-08-07",44
"2017-08-08",42
"2017-08-09",32
"2017-08-10",38
"2017-08-11",28
"2017-08-12",27
"2017-08-13",37
"2017-08-14",30
"2017-08-15",40
"2017-08-16",34
"2017-08-17",29
"2017-08-18",27
"2017-08-19",25
"2017-08-20",36
"2017-08-21",33
"2017-08-22",30
"2017-08-23",33
"2017-08-24",37
"2017-08-25",30
"2017-08-26",31
"2017-08-27",40
"2017-08-28",36
"2017-08-29",44
"2017-08-30",40
"2017-08-31",38
"2017-09-01",25
"2017-09-02",31
"2017-09-03",39
"2017-09-04",34
"2017-09-05",27
"2017-09-06",27
"2017-09-07",28
"2017-09-08",28
"2017-09-09",27
"2017-09-10",32
"2017-09-11",31
"2017-09-12",31
"2017-09-13",31
"2017-09-14",31
"2017-09-15",24
"2017-09-16",42
"2017-09-17",53
"2017-09-18",56
"2017-09-19",53
"2017-09-20",45
"2017-09-21",47
"2017-09-22",36
"2017-09-23",41
"2017-09-24",57
"2017-09-25",51
"2017-09-26",53
"2017-09-27",41
"2017-09-28",37
"2017-09-29",27
"2017-09-30",28
"2017-10-01",32
"2017-10-02",34
"2017-10-03",29
"2017-10-04",34
"2017-10-05",39
"2017-10-06",45
"2017-10-07",32
"2017-10-08",45
"2017-10-09",56
"2017-10-10",52
"2017-10-11",51
"2017-10-12",48
"2017-10-13",31
"2017-10-14",40
"2017-10-15",53
"2017-10-16",40
"2017-10-17",38
"2017-10-18",47
"2017-10-19",40
"2017-10-20",41
"2017-10-21",34
"2017-10-22",44
"2017-10-23",54
"2017-10-24",50
"2017-10-25",43
"2017-10-26",34
"2017-10-27",37
"2017-10-28",36
"2017-10-29",58
"2017-10-30",38
"2017-10-31",34
"2017-11-01",39
"2017-11-02",38
"2017-11-03",39
"2017-11-04",46
"2017-11-05",54
"2017-11-06",51
"2017-11-07",48
"2017-11-08",59
"2017-11-09",40
"2017-11-10",38
"2017-11-11",30
"2017-11-12",52
"2017-11-13",50
"2017-11-14",45
"2017-11-15",44
"2017-11-16",52
"2017-11-17",35
"2017-11-18",38
"2017-11-19",54
"2017-11-20",41
"2017-11-21",59
"2017-11-22",45
"2017-11-23",33
"2017-11-24",33
"2017-11-25",43
"2017-11-26",53
"2017-11-27",39
"2017-11-28",43
"2017-11-29",49
"2017-11-30",40
"2017-12-01",36
"2017-12-02",42
"2017-12-03",60
"2017-12-04",44
"2017-12-05",53
"2017-12-06",61
"2017-12-07",44
"2017-12-08",36
"2017-12-09",38
"2017-12-10",64
"2017-12-11",49
"2017-12-12",47
"2017-12-13",49
"2017-12-14",41
"2017-12-15",35
"2017-12-16",30
"2017-12-17",41
"2017-12-18",38
"2017-12-19",38
"2017-12-20",38
"2017-12-21",36
"2017-12-22",29
"2017-12-23",35
"2017-12-24",37
"2017-12-25",45
"2017-12-26",43
"2017-12-27",39
"2017-12-28",38
"2017-12-29",32
"2017-12-30",36
"2017-12-31",38
"2018-01-01",44
"2018-01-02",56
"2018-01-03",70
"2018-01-04",44
"2018-01-05",44
"2018-01-06",54
"2018-01-07",68
"2018-01-08",68
"2018-01-09",56
"2018-01-10",41
"2018-01-11",54
"2018-01-12",45
"2018-01-13",42
"2018-01-14",53
"2018-01-15",57
"2018-01-16",65
"2018-01-17",56
"2018-01-18",58
"2018-01-19",57
"2018-01-20",49
"2018-01-21",81
"2018-01-22",78
"2018-01-23",69
"2018-01-24",73
"2018-01-25",66
"2018-01-26",51
"2018-01-27",52
"2018-01-28",64
"2018-01-29",66
"2018-01-30",65
"2018-01-31",62
"2018-02-01",54
"2018-02-02",50
"2018-02-03",62
"2018-02-04",81
"2018-02-05",76
"2018-02-06",72
"2018-02-07",60
"2018-02-08",63
"2018-02-09",61
"2018-02-10",60
"2018-02-11",99
"2018-02-12",66
"2018-02-13",64
"2018-02-14",56
"2018-02-15",48
"2018-02-16",48
"2018-02-17",62
"2018-02-18",75
"2018-02-19",68
"2018-02-20",64
"2018-02-21",63
"2018-02-22",71
"2018-02-23",65
"2018-02-24",66
"2018-02-25",68
"2018-02-26",72
"2018-02-27",81
"2018-02-28",73
"2018-03-01",80
"2018-03-02",77
"2018-03-03",68
"2018-03-04",88
"2018-03-05",66
"2018-03-06",60
"2018-03-07",54
"2018-03-08",56
"2018-03-09",59
"2018-03-10",72
"2018-03-11",100
"2018-03-12",79
"2018-03-13",73
"2018-03-14",72
"2018-03-15",74
"2018-03-16",66
"2018-03-17",71
"2018-03-18",80
"2018-03-19",67
"2018-03-20",59
"2018-03-21",67
"2018-03-22",64
"2018-03-23",52
"2018-03-24",56
"2018-03-25",80
"2018-03-26",71
"2018-03-27",67
"2018-03-28",73
"2018-03-29",61
"2018-03-30",61
"2018-03-31",69
"2018-04-01",76
"2018-04-02",76
"2018-04-03",67
"2018-04-04",63
"2018-04-05",64
"2018-04-06",66
"2018-04-07",63
"2018-04-08",76
"2018-04-09",71
"2018-04-10",67
"2018-04-11",67
"2018-04-12",62
"2018-04-13",61
"2018-04-14",59
"2018-04-15",70
"2018-04-16",66
"2018-04-17",86
"2018-04-18",65
"2018-04-19",58
