네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","빨래건조대"
"2017-08-01",39
"2017-08-02",39
"2017-08-03",40
"2017-08-04",34
"2017-08-05",31
"2017-08-06",39
"2017-08-07",38
"2017-08-08",37
"2017-08-09",35
"2017-08-10",34
"2017-08-11",33
"2017-08-12",30
"2017-08-13",40
"2017-08-14",37
"2017-08-15",50
"2017-08-16",46
"2017-08-17",41
"2017-08-18",33
"2017-08-19",34
"2017-08-20",50
"2017-08-21",51
"2017-08-22",47
"2017-08-23",48
"2017-08-24",43
"2017-08-25",35
"2017-08-26",36
"2017-08-27",43
"2017-08-28",38
"2017-08-29",43
"2017-08-30",36
"2017-08-31",33
"2017-09-01",33
"2017-09-02",32
"2017-09-03",44
"2017-09-04",42
"2017-09-05",36
"2017-09-06",33
"2017-09-07",32
"2017-09-08",27
"2017-09-09",32
"2017-09-10",41
"2017-09-11",40
"2017-09-12",39
"2017-09-13",31
"2017-09-14",28
"2017-09-15",24
"2017-09-16",25
"2017-09-17",38
"2017-09-18",36
"2017-09-19",32
"2017-09-20",32
"2017-09-21",29
"2017-09-22",26
"2017-09-23",28
"2017-09-24",35
"2017-09-25",41
"2017-09-26",37
"2017-09-27",34
"2017-09-28",25
"2017-09-29",23
"2017-09-30",21
"2017-10-01",27
"2017-10-02",27
"2017-10-03",22
"2017-10-04",22
"2017-10-05",37
"2017-10-06",42
"2017-10-07",46
"2017-10-08",58
"2017-10-09",69
"2017-10-10",58
"2017-10-11",48
"2017-10-12",43
"2017-10-13",39
"2017-10-14",39
"2017-10-15",53
"2017-10-16",46
"2017-10-17",45
"2017-10-18",43
"2017-10-19",38
"2017-10-20",35
"2017-10-21",37
"2017-10-22",50
"2017-10-23",50
"2017-10-24",40
"2017-10-25",40
"2017-10-26",37
"2017-10-27",34
"2017-10-28",35
"2017-10-29",53
"2017-10-30",52
"2017-10-31",43
"2017-11-01",42
"2017-11-02",44
"2017-11-03",41
"2017-11-04",38
"2017-11-05",57
"2017-11-06",52
"2017-11-07",44
"2017-11-08",45
"2017-11-09",39
"2017-11-10",35
"2017-11-11",38
"2017-11-12",55
"2017-11-13",49
"2017-11-14",49
"2017-11-15",43
"2017-11-16",40
"2017-11-17",37
"2017-11-18",39
"2017-11-19",60
"2017-11-20",55
"2017-11-21",55
"2017-11-22",53
"2017-11-23",63
"2017-11-24",45
"2017-11-25",44
"2017-11-26",61
"2017-11-27",60
"2017-11-28",53
"2017-11-29",49
"2017-11-30",46
"2017-12-01",44
"2017-12-02",47
"2017-12-03",63
"2017-12-04",59
"2017-12-05",55
"2017-12-06",49
"2017-12-07",47
"2017-12-08",40
"2017-12-09",47
"2017-12-10",68
"2017-12-11",56
"2017-12-12",51
"2017-12-13",51
"2017-12-14",45
"2017-12-15",38
"2017-12-16",41
"2017-12-17",59
"2017-12-18",52
"2017-12-19",51
"2017-12-20",45
"2017-12-21",36
"2017-12-22",28
"2017-12-23",38
"2017-12-24",40
"2017-12-25",55
"2017-12-26",56
"2017-12-27",47
"2017-12-28",38
"2017-12-29",36
"2017-12-30",37
"2017-12-31",42
"2018-01-01",63
"2018-01-02",62
"2018-01-03",55
"2018-01-04",49
"2018-01-05",42
"2018-01-06",48
"2018-01-07",60
"2018-01-08",59
"2018-01-09",51
"2018-01-10",49
"2018-01-11",43
"2018-01-12",41
"2018-01-13",50
"2018-01-14",66
"2018-01-15",59
"2018-01-16",57
"2018-01-17",50
"2018-01-18",50
"2018-01-19",45
"2018-01-20",48
"2018-01-21",62
"2018-01-22",58
"2018-01-23",54
"2018-01-24",47
"2018-01-25",41
"2018-01-26",37
"2018-01-27",68
"2018-01-28",68
"2018-01-29",59
"2018-01-30",56
"2018-01-31",50
"2018-02-01",49
"2018-02-02",47
"2018-02-03",47
"2018-02-04",71
"2018-02-05",59
"2018-02-06",54
"2018-02-07",52
"2018-02-08",46
"2018-02-09",36
"2018-02-10",44
"2018-02-11",73
"2018-02-12",46
"2018-02-13",39
"2018-02-14",34
"2018-02-15",38
"2018-02-16",37
"2018-02-17",61
"2018-02-18",92
"2018-02-19",100
"2018-02-20",65
"2018-02-21",56
"2018-02-22",56
"2018-02-23",46
"2018-02-24",57
"2018-02-25",85
"2018-02-26",88
"2018-02-27",72
"2018-02-28",63
"2018-03-01",84
"2018-03-02",71
"2018-03-03",68
"2018-03-04",96
"2018-03-05",78
"2018-03-06",68
"2018-03-07",65
"2018-03-08",49
"2018-03-09",49
"2018-03-10",54
"2018-03-11",80
"2018-03-12",66
"2018-03-13",57
"2018-03-14",55
"2018-03-15",51
"2018-03-16",44
"2018-03-17",57
"2018-03-18",69
"2018-03-19",64
"2018-03-20",51
"2018-03-21",50
"2018-03-22",50
"2018-03-23",41
"2018-03-24",47
"2018-03-25",71
"2018-03-26",68
"2018-03-27",56
"2018-03-28",58
"2018-03-29",52
"2018-03-30",43
"2018-03-31",46
"2018-04-01",73
"2018-04-02",67
"2018-04-03",65
"2018-04-04",55
"2018-04-05",52
"2018-04-06",44
"2018-04-07",44
"2018-04-08",69
"2018-04-09",61
"2018-04-10",51
"2018-04-11",52
"2018-04-12",46
"2018-04-13",37
"2018-04-14",39
"2018-04-15",57
"2018-04-16",50
"2018-04-17",44
"2018-04-18",44
"2018-04-19",40
