네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","멀티탭"
"2017-08-01",55
"2017-08-02",54
"2017-08-03",51
"2017-08-04",44
"2017-08-05",40
"2017-08-06",55
"2017-08-07",57
"2017-08-08",59
"2017-08-09",57
"2017-08-10",47
"2017-08-11",40
"2017-08-12",37
"2017-08-13",46
"2017-08-14",49
"2017-08-15",57
"2017-08-16",57
"2017-08-17",51
"2017-08-18",36
"2017-08-19",44
"2017-08-20",48
"2017-08-21",60
"2017-08-22",53
"2017-08-23",52
"2017-08-24",56
"2017-08-25",38
"2017-08-26",36
"2017-08-27",54
"2017-08-28",46
"2017-08-29",65
"2017-08-30",44
"2017-08-31",49
"2017-09-01",38
"2017-09-02",36
"2017-09-03",56
"2017-09-04",57
"2017-09-05",53
"2017-09-06",48
"2017-09-07",45
"2017-09-08",35
"2017-09-09",30
"2017-09-10",41
"2017-09-11",51
"2017-09-12",55
"2017-09-13",51
"2017-09-14",38
"2017-09-15",38
"2017-09-16",32
"2017-09-17",49
"2017-09-18",52
"2017-09-19",45
"2017-09-20",45
"2017-09-21",48
"2017-09-22",37
"2017-09-23",30
"2017-09-24",36
"2017-09-25",42
"2017-09-26",41
"2017-09-27",38
"2017-09-28",32
"2017-09-29",23
"2017-09-30",25
"2017-10-01",27
"2017-10-02",21
"2017-10-03",20
"2017-10-04",17
"2017-10-05",24
"2017-10-06",27
"2017-10-07",29
"2017-10-08",37
"2017-10-09",57
"2017-10-10",57
"2017-10-11",48
"2017-10-12",55
"2017-10-13",46
"2017-10-14",37
"2017-10-15",55
"2017-10-16",68
"2017-10-17",55
"2017-10-18",64
"2017-10-19",52
"2017-10-20",47
"2017-10-21",42
"2017-10-22",51
"2017-10-23",63
"2017-10-24",53
"2017-10-25",60
"2017-10-26",58
"2017-10-27",45
"2017-10-28",43
"2017-10-29",60
"2017-10-30",76
"2017-10-31",60
"2017-11-01",63
"2017-11-02",50
"2017-11-03",44
"2017-11-04",51
"2017-11-05",57
"2017-11-06",66
"2017-11-07",62
"2017-11-08",64
"2017-11-09",53
"2017-11-10",45
"2017-11-11",41
"2017-11-12",56
"2017-11-13",74
"2017-11-14",67
"2017-11-15",66
"2017-11-16",62
"2017-11-17",52
"2017-11-18",49
"2017-11-19",62
"2017-11-20",81
"2017-11-21",67
"2017-11-22",73
"2017-11-23",62
"2017-11-24",48
"2017-11-25",53
"2017-11-26",61
"2017-11-27",84
"2017-11-28",75
"2017-11-29",71
"2017-11-30",76
"2017-12-01",63
"2017-12-02",52
"2017-12-03",64
"2017-12-04",79
"2017-12-05",71
"2017-12-06",64
"2017-12-07",58
"2017-12-08",48
"2017-12-09",45
"2017-12-10",68
"2017-12-11",69
"2017-12-12",64
"2017-12-13",62
"2017-12-14",55
"2017-12-15",42
"2017-12-16",43
"2017-12-17",57
"2017-12-18",62
"2017-12-19",53
"2017-12-20",57
"2017-12-21",50
"2017-12-22",39
"2017-12-23",33
"2017-12-24",32
"2017-12-25",43
"2017-12-26",66
"2017-12-27",60
"2017-12-28",50
"2017-12-29",47
"2017-12-30",38
"2017-12-31",44
"2018-01-01",45
"2018-01-02",63
"2018-01-03",60
"2018-01-04",54
"2018-01-05",51
"2018-01-06",46
"2018-01-07",58
"2018-01-08",65
"2018-01-09",59
"2018-01-10",68
"2018-01-11",57
"2018-01-12",48
"2018-01-13",46
"2018-01-14",59
"2018-01-15",66
"2018-01-16",65
"2018-01-17",56
"2018-01-18",55
"2018-01-19",51
"2018-01-20",51
"2018-01-21",69
"2018-01-22",63
"2018-01-23",67
"2018-01-24",61
"2018-01-25",54
"2018-01-26",49
"2018-01-27",45
"2018-01-28",58
"2018-01-29",69
"2018-01-30",78
"2018-01-31",77
"2018-02-01",67
"2018-02-02",54
"2018-02-03",53
"2018-02-04",81
"2018-02-05",77
"2018-02-06",68
"2018-02-07",68
"2018-02-08",54
"2018-02-09",44
"2018-02-10",42
"2018-02-11",57
"2018-02-12",52
"2018-02-13",49
"2018-02-14",43
"2018-02-15",36
"2018-02-16",29
"2018-02-17",40
"2018-02-18",73
"2018-02-19",83
"2018-02-20",77
"2018-02-21",74
"2018-02-22",72
"2018-02-23",60
"2018-02-24",51
"2018-02-25",79
"2018-02-26",89
"2018-02-27",84
"2018-02-28",67
"2018-03-01",83
"2018-03-02",70
"2018-03-03",69
"2018-03-04",100
"2018-03-05",84
"2018-03-06",78
"2018-03-07",74
"2018-03-08",72
"2018-03-09",65
"2018-03-10",58
"2018-03-11",77
"2018-03-12",81
"2018-03-13",70
"2018-03-14",60
"2018-03-15",59
"2018-03-16",60
"2018-03-17",47
"2018-03-18",67
"2018-03-19",77
"2018-03-20",69
"2018-03-21",74
"2018-03-22",51
"2018-03-23",43
"2018-03-24",42
"2018-03-25",56
"2018-03-26",65
"2018-03-27",62
"2018-03-28",58
"2018-03-29",60
"2018-03-30",45
"2018-03-31",54
"2018-04-01",62
"2018-04-02",63
"2018-04-03",58
"2018-04-04",60
"2018-04-05",54
"2018-04-06",49
"2018-04-07",42
"2018-04-08",54
"2018-04-09",62
"2018-04-10",62
"2018-04-11",62
"2018-04-12",51
"2018-04-13",47
"2018-04-14",46
"2018-04-15",54
"2018-04-16",64
"2018-04-17",59
"2018-04-18",56
"2018-04-19",53
