네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","그릇세트"
"2017-08-01",34
"2017-08-02",36
"2017-08-03",37
"2017-08-04",37
"2017-08-05",33
"2017-08-06",41
"2017-08-07",36
"2017-08-08",38
"2017-08-09",53
"2017-08-10",40
"2017-08-11",33
"2017-08-12",49
"2017-08-13",56
"2017-08-14",56
"2017-08-15",71
"2017-08-16",51
"2017-08-17",37
"2017-08-18",41
"2017-08-19",35
"2017-08-20",57
"2017-08-21",47
"2017-08-22",61
"2017-08-23",50
"2017-08-24",52
"2017-08-25",40
"2017-08-26",34
"2017-08-27",44
"2017-08-28",34
"2017-08-29",42
"2017-08-30",39
"2017-08-31",29
"2017-09-01",31
"2017-09-02",40
"2017-09-03",48
"2017-09-04",40
"2017-09-05",39
"2017-09-06",39
"2017-09-07",43
"2017-09-08",35
"2017-09-09",34
"2017-09-10",50
"2017-09-11",40
"2017-09-12",43
"2017-09-13",40
"2017-09-14",30
"2017-09-15",34
"2017-09-16",28
"2017-09-17",45
"2017-09-18",46
"2017-09-19",49
"2017-09-20",42
"2017-09-21",40
"2017-09-22",36
"2017-09-23",37
"2017-09-24",47
"2017-09-25",43
"2017-09-26",32
"2017-09-27",35
"2017-09-28",24
"2017-09-29",20
"2017-09-30",30
"2017-10-01",34
"2017-10-02",33
"2017-10-03",40
"2017-10-04",43
"2017-10-05",43
"2017-10-06",56
"2017-10-07",60
"2017-10-08",56
"2017-10-09",55
"2017-10-10",53
"2017-10-11",47
"2017-10-12",39
"2017-10-13",33
"2017-10-14",42
"2017-10-15",40
"2017-10-16",39
"2017-10-17",34
"2017-10-18",34
"2017-10-19",40
"2017-10-20",44
"2017-10-21",40
"2017-10-22",46
"2017-10-23",34
"2017-10-24",38
"2017-10-25",40
"2017-10-26",34
"2017-10-27",26
"2017-10-28",34
"2017-10-29",40
"2017-10-30",44
"2017-10-31",30
"2017-11-01",33
"2017-11-02",45
"2017-11-03",39
"2017-11-04",36
"2017-11-05",49
"2017-11-06",39
"2017-11-07",51
"2017-11-08",49
"2017-11-09",52
"2017-11-10",43
"2017-11-11",46
"2017-11-12",57
"2017-11-13",49
"2017-11-14",48
"2017-11-15",39
"2017-11-16",42
"2017-11-17",44
"2017-11-18",36
"2017-11-19",58
"2017-11-20",48
"2017-11-21",50
"2017-11-22",49
"2017-11-23",40
"2017-11-24",31
"2017-11-25",47
"2017-11-26",47
"2017-11-27",48
"2017-11-28",42
"2017-11-29",42
"2017-11-30",40
"2017-12-01",42
"2017-12-02",49
"2017-12-03",62
"2017-12-04",41
"2017-12-05",56
"2017-12-06",59
"2017-12-07",41
"2017-12-08",37
"2017-12-09",44
"2017-12-10",63
"2017-12-11",59
"2017-12-12",47
"2017-12-13",44
"2017-12-14",46
"2017-12-15",50
"2017-12-16",41
"2017-12-17",63
"2017-12-18",52
"2017-12-19",54
"2017-12-20",61
"2017-12-21",49
"2017-12-22",36
"2017-12-23",40
"2017-12-24",52
"2017-12-25",67
"2017-12-26",59
"2017-12-27",53
"2017-12-28",51
"2017-12-29",55
"2017-12-30",48
"2017-12-31",46
"2018-01-01",67
"2018-01-02",61
"2018-01-03",54
"2018-01-04",58
"2018-01-05",53
"2018-01-06",60
"2018-01-07",65
"2018-01-08",64
"2018-01-09",79
"2018-01-10",59
"2018-01-11",62
"2018-01-12",58
"2018-01-13",52
"2018-01-14",68
"2018-01-15",54
"2018-01-16",56
"2018-01-17",58
"2018-01-18",62
"2018-01-19",60
"2018-01-20",62
"2018-01-21",80
"2018-01-22",72
"2018-01-23",78
"2018-01-24",65
"2018-01-25",72
"2018-01-26",65
"2018-01-27",58
"2018-01-28",77
"2018-01-29",83
"2018-01-30",75
"2018-01-31",70
"2018-02-01",64
"2018-02-02",61
"2018-02-03",61
"2018-02-04",100
"2018-02-05",81
"2018-02-06",80
"2018-02-07",77
"2018-02-08",54
"2018-02-09",54
"2018-02-10",64
"2018-02-11",72
"2018-02-12",65
"2018-02-13",62
"2018-02-14",48
"2018-02-15",56
"2018-02-16",70
"2018-02-17",75
"2018-02-18",99
"2018-02-19",93
"2018-02-20",68
"2018-02-21",66
"2018-02-22",58
"2018-02-23",51
"2018-02-24",55
"2018-02-25",66
"2018-02-26",69
"2018-02-27",57
"2018-02-28",57
"2018-03-01",63
"2018-03-02",58
"2018-03-03",56
"2018-03-04",76
"2018-03-05",62
"2018-03-06",64
"2018-03-07",50
"2018-03-08",58
"2018-03-09",43
"2018-03-10",43
"2018-03-11",71
"2018-03-12",59
"2018-03-13",55
"2018-03-14",44
"2018-03-15",54
"2018-03-16",59
"2018-03-17",55
"2018-03-18",70
"2018-03-19",75
"2018-03-20",55
"2018-03-21",60
"2018-03-22",64
"2018-03-23",62
"2018-03-24",60
"2018-03-25",65
"2018-03-26",63
"2018-03-27",67
"2018-03-28",56
"2018-03-29",54
"2018-03-30",47
"2018-03-31",38
"2018-04-01",60
"2018-04-02",40
"2018-04-03",43
"2018-04-04",47
"2018-04-05",52
"2018-04-06",42
"2018-04-07",52
"2018-04-08",70
"2018-04-09",55
"2018-04-10",55
"2018-04-11",48
"2018-04-12",47
"2018-04-13",39
"2018-04-14",50
"2018-04-15",63
"2018-04-16",48
"2018-04-17",41
"2018-04-18",43
"2018-04-19",40
