네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이코스"
"2017-08-01",22
"2017-08-02",21
"2017-08-03",20
"2017-08-04",14
"2017-08-05",16
"2017-08-06",14
"2017-08-07",20
"2017-08-08",23
"2017-08-09",23
"2017-08-10",19
"2017-08-11",20
"2017-08-12",14
"2017-08-13",13
"2017-08-14",18
"2017-08-15",19
"2017-08-16",23
"2017-08-17",28
"2017-08-18",20
"2017-08-19",17
"2017-08-20",22
"2017-08-21",28
"2017-08-22",27
"2017-08-23",24
"2017-08-24",29
"2017-08-25",25
"2017-08-26",19
"2017-08-27",25
"2017-08-28",36
"2017-08-29",44
"2017-08-30",34
"2017-08-31",40
"2017-09-01",37
"2017-09-02",27
"2017-09-03",24
"2017-09-04",29
"2017-09-05",30
"2017-09-06",24
"2017-09-07",20
"2017-09-08",24
"2017-09-09",23
"2017-09-10",24
"2017-09-11",28
"2017-09-12",22
"2017-09-13",18
"2017-09-14",18
"2017-09-15",13
"2017-09-16",13
"2017-09-17",14
"2017-09-18",18
"2017-09-19",19
"2017-09-20",18
"2017-09-21",17
"2017-09-22",16
"2017-09-23",14
"2017-09-24",16
"2017-09-25",19
"2017-09-26",21
"2017-09-27",26
"2017-09-28",26
"2017-09-29",12
"2017-09-30",12
"2017-10-01",19
"2017-10-02",18
"2017-10-03",19
"2017-10-04",21
"2017-10-05",22
"2017-10-06",29
"2017-10-07",33
"2017-10-08",40
"2017-10-09",46
"2017-10-10",65
"2017-10-11",47
"2017-10-12",36
"2017-10-13",32
"2017-10-14",30
"2017-10-15",34
"2017-10-16",40
"2017-10-17",43
"2017-10-18",40
"2017-10-19",38
"2017-10-20",100
"2017-10-21",71
"2017-10-22",48
"2017-10-23",50
"2017-10-24",45
"2017-10-25",45
"2017-10-26",53
"2017-10-27",51
"2017-10-28",41
"2017-10-29",43
"2017-10-30",60
"2017-10-31",54
"2017-11-01",43
"2017-11-02",54
"2017-11-03",37
"2017-11-04",36
"2017-11-05",35
"2017-11-06",42
"2017-11-07",44
"2017-11-08",44
"2017-11-09",74
"2017-11-10",37
"2017-11-11",32
"2017-11-12",48
"2017-11-13",34
"2017-11-14",60
"2017-11-15",30
"2017-11-16",25
"2017-11-17",28
"2017-11-18",34
"2017-11-19",43
"2017-11-20",44
"2017-11-21",39
"2017-11-22",42
"2017-11-23",41
"2017-11-24",45
"2017-11-25",27
"2017-11-26",27
"2017-11-27",33
"2017-11-28",28
"2017-11-29",35
"2017-11-30",37
"2017-12-01",35
"2017-12-02",27
"2017-12-03",32
"2017-12-04",35
"2017-12-05",37
"2017-12-06",30
"2017-12-07",36
"2017-12-08",43
"2017-12-09",40
"2017-12-10",44
"2017-12-11",36
"2017-12-12",32
"2017-12-13",32
"2017-12-14",34
"2017-12-15",54
"2017-12-16",29
"2017-12-17",30
"2017-12-18",38
"2017-12-19",38
"2017-12-20",35
"2017-12-21",29
"2017-12-22",26
"2017-12-23",27
"2017-12-24",30
"2017-12-25",30
"2017-12-26",35
"2017-12-27",29
"2017-12-28",28
"2017-12-29",29
"2017-12-30",31
"2017-12-31",26
"2018-01-01",34
"2018-01-02",46
"2018-01-03",46
"2018-01-04",46
"2018-01-05",48
"2018-01-06",42
"2018-01-07",44
"2018-01-08",57
"2018-01-09",65
"2018-01-10",65
"2018-01-11",65
"2018-01-12",58
"2018-01-13",58
"2018-01-14",68
"2018-01-15",71
"2018-01-16",76
"2018-01-17",72
"2018-01-18",65
"2018-01-19",58
"2018-01-20",61
"2018-01-21",69
"2018-01-22",64
"2018-01-23",66
"2018-01-24",66
"2018-01-25",64
"2018-01-26",54
"2018-01-27",41
"2018-01-28",45
"2018-01-29",41
"2018-01-30",56
"2018-01-31",54
"2018-02-01",46
"2018-02-02",54
"2018-02-03",58
"2018-02-04",61
"2018-02-05",61
"2018-02-06",59
"2018-02-07",45
"2018-02-08",30
"2018-02-09",21
"2018-02-10",23
"2018-02-11",28
"2018-02-12",28
"2018-02-13",23
"2018-02-14",21
"2018-02-15",27
"2018-02-16",35
"2018-02-17",36
"2018-02-18",47
"2018-02-19",49
"2018-02-20",39
"2018-02-21",40
"2018-02-22",37
"2018-02-23",25
"2018-02-24",22
"2018-02-25",27
"2018-02-26",55
"2018-02-27",32
"2018-02-28",32
"2018-03-01",25
"2018-03-02",25
"2018-03-03",22
"2018-03-04",23
"2018-03-05",27
"2018-03-06",26
"2018-03-07",25
"2018-03-08",27
"2018-03-09",24
"2018-03-10",20
"2018-03-11",25
"2018-03-12",27
"2018-03-13",27
"2018-03-14",30
"2018-03-15",33
"2018-03-16",31
"2018-03-17",23
"2018-03-18",25
"2018-03-19",27
"2018-03-20",28
"2018-03-21",34
"2018-03-22",30
"2018-03-23",25
"2018-03-24",22
"2018-03-25",25
"2018-03-26",24
"2018-03-27",23
"2018-03-28",30
"2018-03-29",27
"2018-03-30",25
"2018-03-31",22
"2018-04-01",21
"2018-04-02",24
"2018-04-03",23
"2018-04-04",31
"2018-04-05",41
"2018-04-06",33
"2018-04-07",26
"2018-04-08",30
"2018-04-09",31
"2018-04-10",31
"2018-04-11",29
"2018-04-12",27
"2018-04-13",27
"2018-04-14",27
"2018-04-15",29
"2018-04-16",31
"2018-04-17",27
"2018-04-18",23
"2018-04-19",28
