네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","이동식욕조"
"2017-08-01",31
"2017-08-02",38
"2017-08-03",38
"2017-08-04",41
"2017-08-05",31
"2017-08-06",39
"2017-08-07",34
"2017-08-08",33
"2017-08-09",26
"2017-08-10",29
"2017-08-11",28
"2017-08-12",32
"2017-08-13",45
"2017-08-14",47
"2017-08-15",54
"2017-08-16",32
"2017-08-17",34
"2017-08-18",30
"2017-08-19",37
"2017-08-20",46
"2017-08-21",42
"2017-08-22",39
"2017-08-23",36
"2017-08-24",28
"2017-08-25",27
"2017-08-26",22
"2017-08-27",36
"2017-08-28",28
"2017-08-29",40
"2017-08-30",31
"2017-08-31",26
"2017-09-01",47
"2017-09-02",42
"2017-09-03",49
"2017-09-04",46
"2017-09-05",33
"2017-09-06",35
"2017-09-07",44
"2017-09-08",29
"2017-09-09",35
"2017-09-10",50
"2017-09-11",44
"2017-09-12",41
"2017-09-13",35
"2017-09-14",28
"2017-09-15",30
"2017-09-16",39
"2017-09-17",49
"2017-09-18",53
"2017-09-19",72
"2017-09-20",63
"2017-09-21",48
"2017-09-22",43
"2017-09-23",56
"2017-09-24",60
"2017-09-25",37
"2017-09-26",38
"2017-09-27",34
"2017-09-28",23
"2017-09-29",21
"2017-09-30",27
"2017-10-01",35
"2017-10-02",33
"2017-10-03",24
"2017-10-04",32
"2017-10-05",32
"2017-10-06",37
"2017-10-07",41
"2017-10-08",34
"2017-10-09",41
"2017-10-10",33
"2017-10-11",25
"2017-10-12",30
"2017-10-13",28
"2017-10-14",33
"2017-10-15",39
"2017-10-16",37
"2017-10-17",41
"2017-10-18",29
"2017-10-19",27
"2017-10-20",28
"2017-10-21",33
"2017-10-22",38
"2017-10-23",38
"2017-10-24",35
"2017-10-25",35
"2017-10-26",36
"2017-10-27",30
"2017-10-28",33
"2017-10-29",42
"2017-10-30",34
"2017-10-31",34
"2017-11-01",49
"2017-11-02",46
"2017-11-03",51
"2017-11-04",53
"2017-11-05",69
"2017-11-06",71
"2017-11-07",62
"2017-11-08",68
"2017-11-09",56
"2017-11-10",53
"2017-11-11",56
"2017-11-12",100
"2017-11-13",81
"2017-11-14",71
"2017-11-15",64
"2017-11-16",90
"2017-11-17",46
"2017-11-18",57
"2017-11-19",64
"2017-11-20",60
"2017-11-21",56
"2017-11-22",47
"2017-11-23",43
"2017-11-24",39
"2017-11-25",58
"2017-11-26",64
"2017-11-27",49
"2017-11-28",42
"2017-11-29",37
"2017-11-30",41
"2017-12-01",44
"2017-12-02",38
"2017-12-03",54
"2017-12-04",48
"2017-12-05",43
"2017-12-06",43
"2017-12-07",37
"2017-12-08",29
"2017-12-09",38
"2017-12-10",45
"2017-12-11",47
"2017-12-12",44
"2017-12-13",48
"2017-12-14",41
"2017-12-15",31
"2017-12-16",36
"2017-12-17",47
"2017-12-18",39
"2017-12-19",29
"2017-12-20",39
"2017-12-21",29
"2017-12-22",27
"2017-12-23",28
"2017-12-24",35
"2017-12-25",39
"2017-12-26",35
"2017-12-27",39
"2017-12-28",37
"2017-12-29",33
"2017-12-30",38
"2017-12-31",33
"2018-01-01",67
"2018-01-02",56
"2018-01-03",41
"2018-01-04",41
"2018-01-05",40
"2018-01-06",46
"2018-01-07",56
"2018-01-08",51
"2018-01-09",52
"2018-01-10",45
"2018-01-11",36
"2018-01-12",35
"2018-01-13",44
"2018-01-14",62
"2018-01-15",44
"2018-01-16",41
"2018-01-17",42
"2018-01-18",31
"2018-01-19",35
"2018-01-20",40
"2018-01-21",55
"2018-01-22",47
"2018-01-23",37
"2018-01-24",41
"2018-01-25",39
"2018-01-26",34
"2018-01-27",43
"2018-01-28",47
"2018-01-29",42
"2018-01-30",43
"2018-01-31",37
"2018-02-01",48
"2018-02-02",38
"2018-02-03",53
"2018-02-04",80
"2018-02-05",61
"2018-02-06",55
"2018-02-07",49
"2018-02-08",54
"2018-02-09",40
"2018-02-10",49
"2018-02-11",69
"2018-02-12",52
"2018-02-13",39
"2018-02-14",38
"2018-02-15",35
"2018-02-16",33
"2018-02-17",40
"2018-02-18",55
"2018-02-19",60
"2018-02-20",40
"2018-02-21",66
"2018-02-22",37
"2018-02-23",36
"2018-02-24",39
"2018-02-25",67
"2018-02-26",47
"2018-02-27",54
"2018-02-28",39
"2018-03-01",74
"2018-03-02",47
"2018-03-03",56
"2018-03-04",63
"2018-03-05",47
"2018-03-06",48
"2018-03-07",45
"2018-03-08",44
"2018-03-09",35
"2018-03-10",46
"2018-03-11",49
"2018-03-12",41
"2018-03-13",43
"2018-03-14",36
"2018-03-15",42
"2018-03-16",25
"2018-03-17",39
"2018-03-18",42
"2018-03-19",36
"2018-03-20",30
"2018-03-21",40
"2018-03-22",32
"2018-03-23",27
"2018-03-24",37
"2018-03-25",39
"2018-03-26",32
"2018-03-27",28
"2018-03-28",23
"2018-03-29",25
"2018-03-30",24
"2018-03-31",23
"2018-04-01",34
"2018-04-02",30
"2018-04-03",26
"2018-04-04",27
"2018-04-05",23
"2018-04-06",25
"2018-04-07",24
"2018-04-08",36
"2018-04-09",27
"2018-04-10",22
"2018-04-11",27
"2018-04-12",22
"2018-04-13",20
"2018-04-14",25
"2018-04-15",33
"2018-04-16",35
"2018-04-17",35
"2018-04-18",33
"2018-04-19",33
