네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","강아지옷"
"2017-08-01",11
"2017-08-02",14
"2017-08-03",8
"2017-08-04",10
"2017-08-05",9
"2017-08-06",8
"2017-08-07",8
"2017-08-08",9
"2017-08-09",12
"2017-08-10",12
"2017-08-11",11
"2017-08-12",11
"2017-08-13",14
"2017-08-14",19
"2017-08-15",21
"2017-08-16",16
"2017-08-17",16
"2017-08-18",17
"2017-08-19",16
"2017-08-20",18
"2017-08-21",21
"2017-08-22",20
"2017-08-23",14
"2017-08-24",17
"2017-08-25",15
"2017-08-26",16
"2017-08-27",21
"2017-08-28",19
"2017-08-29",32
"2017-08-30",46
"2017-08-31",38
"2017-09-01",33
"2017-09-02",38
"2017-09-03",34
"2017-09-04",36
"2017-09-05",37
"2017-09-06",39
"2017-09-07",39
"2017-09-08",36
"2017-09-09",33
"2017-09-10",40
"2017-09-11",38
"2017-09-12",38
"2017-09-13",41
"2017-09-14",42
"2017-09-15",42
"2017-09-16",49
"2017-09-17",45
"2017-09-18",50
"2017-09-19",50
"2017-09-20",50
"2017-09-21",54
"2017-09-22",49
"2017-09-23",54
"2017-09-24",54
"2017-09-25",65
"2017-09-26",58
"2017-09-27",43
"2017-09-28",50
"2017-09-29",49
"2017-09-30",44
"2017-10-01",53
"2017-10-02",42
"2017-10-03",44
"2017-10-04",57
"2017-10-05",73
"2017-10-06",86
"2017-10-07",62
"2017-10-08",70
"2017-10-09",64
"2017-10-10",62
"2017-10-11",67
"2017-10-12",100
"2017-10-13",92
"2017-10-14",88
"2017-10-15",82
"2017-10-16",91
"2017-10-17",84
"2017-10-18",90
"2017-10-19",71
"2017-10-20",63
"2017-10-21",61
"2017-10-22",80
"2017-10-23",78
"2017-10-24",80
"2017-10-25",79
"2017-10-26",76
"2017-10-27",66
"2017-10-28",58
"2017-10-29",82
"2017-10-30",97
"2017-10-31",84
"2017-11-01",68
"2017-11-02",69
"2017-11-03",66
"2017-11-04",71
"2017-11-05",79
"2017-11-06",78
"2017-11-07",72
"2017-11-08",70
"2017-11-09",68
"2017-11-10",60
"2017-11-11",58
"2017-11-12",77
"2017-11-13",74
"2017-11-14",72
"2017-11-15",78
"2017-11-16",91
"2017-11-17",71
"2017-11-18",78
"2017-11-19",82
"2017-11-20",93
"2017-11-21",81
"2017-11-22",77
"2017-11-23",72
"2017-11-24",68
"2017-11-25",58
"2017-11-26",70
"2017-11-27",69
"2017-11-28",61
"2017-11-29",60
"2017-11-30",61
"2017-12-01",64
"2017-12-02",66
"2017-12-03",69
"2017-12-04",64
"2017-12-05",68
"2017-12-06",62
"2017-12-07",63
"2017-12-08",64
"2017-12-09",54
"2017-12-10",60
"2017-12-11",68
"2017-12-12",66
"2017-12-13",64
"2017-12-14",63
"2017-12-15",48
"2017-12-16",60
"2017-12-17",62
"2017-12-18",65
"2017-12-19",63
"2017-12-20",62
"2017-12-21",50
"2017-12-22",38
"2017-12-23",41
"2017-12-24",40
"2017-12-25",43
"2017-12-26",44
"2017-12-27",48
"2017-12-28",44
"2017-12-29",42
"2017-12-30",39
"2017-12-31",35
"2018-01-01",40
"2018-01-02",46
"2018-01-03",46
"2018-01-04",41
"2018-01-05",36
"2018-01-06",41
"2018-01-07",48
"2018-01-08",42
"2018-01-09",42
"2018-01-10",52
"2018-01-11",47
"2018-01-12",38
"2018-01-13",45
"2018-01-14",44
"2018-01-15",43
"2018-01-16",48
"2018-01-17",44
"2018-01-18",43
"2018-01-19",44
"2018-01-20",47
"2018-01-21",47
"2018-01-22",46
"2018-01-23",51
"2018-01-24",57
"2018-01-25",46
"2018-01-26",44
"2018-01-27",48
"2018-01-28",61
"2018-01-29",55
"2018-01-30",57
"2018-01-31",49
"2018-02-01",51
"2018-02-02",44
"2018-02-03",53
"2018-02-04",59
"2018-02-05",53
"2018-02-06",56
"2018-02-07",56
"2018-02-08",48
"2018-02-09",43
"2018-02-10",46
"2018-02-11",54
"2018-02-12",38
"2018-02-13",31
"2018-02-14",28
"2018-02-15",30
"2018-02-16",39
"2018-02-17",38
"2018-02-18",51
"2018-02-19",47
"2018-02-20",49
"2018-02-21",39
"2018-02-22",43
"2018-02-23",35
"2018-02-24",36
"2018-02-25",50
"2018-02-26",48
"2018-02-27",45
"2018-02-28",44
"2018-03-01",52
"2018-03-02",42
"2018-03-03",45
"2018-03-04",56
"2018-03-05",43
"2018-03-06",51
"2018-03-07",49
"2018-03-08",47
"2018-03-09",35
"2018-03-10",39
"2018-03-11",51
"2018-03-12",50
"2018-03-13",49
"2018-03-14",47
"2018-03-15",47
"2018-03-16",39
"2018-03-17",39
"2018-03-18",48
"2018-03-19",52
"2018-03-20",45
"2018-03-21",49
"2018-03-22",44
"2018-03-23",43
"2018-03-24",39
"2018-03-25",43
"2018-03-26",45
"2018-03-27",39
"2018-03-28",39
"2018-03-29",39
"2018-03-30",40
"2018-03-31",41
"2018-04-01",46
"2018-04-02",39
"2018-04-03",40
"2018-04-04",40
"2018-04-05",33
"2018-04-06",37
"2018-04-07",37
"2018-04-08",46
"2018-04-09",46
"2018-04-10",41
"2018-04-11",40
"2018-04-12",41
"2018-04-13",36
"2018-04-14",38
"2018-04-15",36
"2018-04-16",33
"2018-04-17",39
"2018-04-18",40
"2018-04-19",39
