네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","머그컵"
"2017-08-01",22
"2017-08-02",20
"2017-08-03",25
"2017-08-04",17
"2017-08-05",19
"2017-08-06",27
"2017-08-07",23
"2017-08-08",25
"2017-08-09",29
"2017-08-10",26
"2017-08-11",21
"2017-08-12",17
"2017-08-13",34
"2017-08-14",35
"2017-08-15",34
"2017-08-16",38
"2017-08-17",34
"2017-08-18",25
"2017-08-19",22
"2017-08-20",40
"2017-08-21",29
"2017-08-22",29
"2017-08-23",26
"2017-08-24",30
"2017-08-25",21
"2017-08-26",24
"2017-08-27",25
"2017-08-28",30
"2017-08-29",26
"2017-08-30",35
"2017-08-31",28
"2017-09-01",23
"2017-09-02",29
"2017-09-03",27
"2017-09-04",31
"2017-09-05",38
"2017-09-06",35
"2017-09-07",27
"2017-09-08",22
"2017-09-09",27
"2017-09-10",29
"2017-09-11",29
"2017-09-12",35
"2017-09-13",36
"2017-09-14",31
"2017-09-15",23
"2017-09-16",26
"2017-09-17",34
"2017-09-18",38
"2017-09-19",32
"2017-09-20",33
"2017-09-21",34
"2017-09-22",25
"2017-09-23",26
"2017-09-24",35
"2017-09-25",30
"2017-09-26",25
"2017-09-27",27
"2017-09-28",27
"2017-09-29",20
"2017-09-30",21
"2017-10-01",25
"2017-10-02",27
"2017-10-03",23
"2017-10-04",33
"2017-10-05",33
"2017-10-06",35
"2017-10-07",35
"2017-10-08",36
"2017-10-09",38
"2017-10-10",34
"2017-10-11",38
"2017-10-12",40
"2017-10-13",43
"2017-10-14",41
"2017-10-15",36
"2017-10-16",44
"2017-10-17",38
"2017-10-18",46
"2017-10-19",38
"2017-10-20",33
"2017-10-21",49
"2017-10-22",54
"2017-10-23",45
"2017-10-24",44
"2017-10-25",48
"2017-10-26",51
"2017-10-27",48
"2017-10-28",42
"2017-10-29",61
"2017-10-30",56
"2017-10-31",65
"2017-11-01",58
"2017-11-02",58
"2017-11-03",42
"2017-11-04",47
"2017-11-05",60
"2017-11-06",56
"2017-11-07",59
"2017-11-08",59
"2017-11-09",51
"2017-11-10",53
"2017-11-11",44
"2017-11-12",63
"2017-11-13",52
"2017-11-14",60
"2017-11-15",53
"2017-11-16",57
"2017-11-17",54
"2017-11-18",60
"2017-11-19",67
"2017-11-20",64
"2017-11-21",49
"2017-11-22",74
"2017-11-23",52
"2017-11-24",54
"2017-11-25",56
"2017-11-26",69
"2017-11-27",58
"2017-11-28",64
"2017-11-29",59
"2017-11-30",51
"2017-12-01",50
"2017-12-02",42
"2017-12-03",62
"2017-12-04",63
"2017-12-05",63
"2017-12-06",66
"2017-12-07",51
"2017-12-08",48
"2017-12-09",59
"2017-12-10",78
"2017-12-11",79
"2017-12-12",81
"2017-12-13",80
"2017-12-14",70
"2017-12-15",63
"2017-12-16",65
"2017-12-17",78
"2017-12-18",72
"2017-12-19",62
"2017-12-20",71
"2017-12-21",61
"2017-12-22",45
"2017-12-23",51
"2017-12-24",71
"2017-12-25",68
"2017-12-26",58
"2017-12-27",51
"2017-12-28",63
"2017-12-29",41
"2017-12-30",57
"2017-12-31",58
"2018-01-01",66
"2018-01-02",65
"2018-01-03",85
"2018-01-04",69
"2018-01-05",63
"2018-01-06",61
"2018-01-07",100
"2018-01-08",77
"2018-01-09",80
"2018-01-10",80
"2018-01-11",74
"2018-01-12",67
"2018-01-13",73
"2018-01-14",78
"2018-01-15",72
"2018-01-16",77
"2018-01-17",69
"2018-01-18",65
"2018-01-19",73
"2018-01-20",59
"2018-01-21",63
"2018-01-22",58
"2018-01-23",60
"2018-01-24",70
"2018-01-25",61
"2018-01-26",50
"2018-01-27",63
"2018-01-28",79
"2018-01-29",69
"2018-01-30",69
"2018-01-31",63
"2018-02-01",68
"2018-02-02",62
"2018-02-03",60
"2018-02-04",83
"2018-02-05",86
"2018-02-06",76
"2018-02-07",72
"2018-02-08",60
"2018-02-09",50
"2018-02-10",58
"2018-02-11",67
"2018-02-12",64
"2018-02-13",53
"2018-02-14",39
"2018-02-15",42
"2018-02-16",42
"2018-02-17",55
"2018-02-18",67
"2018-02-19",63
"2018-02-20",51
"2018-02-21",56
"2018-02-22",54
"2018-02-23",53
"2018-02-24",51
"2018-02-25",57
"2018-02-26",56
"2018-02-27",47
"2018-02-28",60
"2018-03-01",68
"2018-03-02",48
"2018-03-03",53
"2018-03-04",75
"2018-03-05",59
"2018-03-06",59
"2018-03-07",55
"2018-03-08",63
"2018-03-09",53
"2018-03-10",78
"2018-03-11",68
"2018-03-12",59
"2018-03-13",57
"2018-03-14",42
"2018-03-15",51
"2018-03-16",44
"2018-03-17",50
"2018-03-18",74
"2018-03-19",69
"2018-03-20",47
"2018-03-21",72
"2018-03-22",61
"2018-03-23",55
"2018-03-24",59
"2018-03-25",75
"2018-03-26",58
"2018-03-27",57
"2018-03-28",58
"2018-03-29",39
"2018-03-30",34
"2018-03-31",38
"2018-04-01",47
"2018-04-02",40
"2018-04-03",43
"2018-04-04",39
"2018-04-05",46
"2018-04-06",51
"2018-04-07",44
"2018-04-08",58
"2018-04-09",49
"2018-04-10",40
"2018-04-11",37
"2018-04-12",35
"2018-04-13",39
"2018-04-14",43
"2018-04-15",58
"2018-04-16",51
"2018-04-17",41
"2018-04-18",43
"2018-04-19",44
