네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","화분"
"2017-08-01",37
"2017-08-02",33
"2017-08-03",32
"2017-08-04",30
"2017-08-05",31
"2017-08-06",39
"2017-08-07",39
"2017-08-08",40
"2017-08-09",43
"2017-08-10",41
"2017-08-11",44
"2017-08-12",41
"2017-08-13",39
"2017-08-14",41
"2017-08-15",57
"2017-08-16",44
"2017-08-17",42
"2017-08-18",38
"2017-08-19",44
"2017-08-20",46
"2017-08-21",46
"2017-08-22",43
"2017-08-23",46
"2017-08-24",40
"2017-08-25",36
"2017-08-26",38
"2017-08-27",49
"2017-08-28",40
"2017-08-29",43
"2017-08-30",41
"2017-08-31",36
"2017-09-01",31
"2017-09-02",31
"2017-09-03",41
"2017-09-04",43
"2017-09-05",37
"2017-09-06",34
"2017-09-07",32
"2017-09-08",32
"2017-09-09",34
"2017-09-10",45
"2017-09-11",38
"2017-09-12",33
"2017-09-13",37
"2017-09-14",39
"2017-09-15",31
"2017-09-16",32
"2017-09-17",46
"2017-09-18",38
"2017-09-19",40
"2017-09-20",38
"2017-09-21",37
"2017-09-22",30
"2017-09-23",30
"2017-09-24",40
"2017-09-25",37
"2017-09-26",39
"2017-09-27",38
"2017-09-28",37
"2017-09-29",27
"2017-09-30",27
"2017-10-01",31
"2017-10-02",29
"2017-10-03",23
"2017-10-04",27
"2017-10-05",30
"2017-10-06",42
"2017-10-07",49
"2017-10-08",52
"2017-10-09",64
"2017-10-10",50
"2017-10-11",42
"2017-10-12",38
"2017-10-13",43
"2017-10-14",40
"2017-10-15",50
"2017-10-16",51
"2017-10-17",38
"2017-10-18",42
"2017-10-19",37
"2017-10-20",39
"2017-10-21",44
"2017-10-22",57
"2017-10-23",43
"2017-10-24",44
"2017-10-25",48
"2017-10-26",43
"2017-10-27",38
"2017-10-28",37
"2017-10-29",51
"2017-10-30",51
"2017-10-31",47
"2017-11-01",38
"2017-11-02",42
"2017-11-03",34
"2017-11-04",37
"2017-11-05",51
"2017-11-06",43
"2017-11-07",43
"2017-11-08",43
"2017-11-09",39
"2017-11-10",38
"2017-11-11",35
"2017-11-12",50
"2017-11-13",45
"2017-11-14",38
"2017-11-15",39
"2017-11-16",39
"2017-11-17",33
"2017-11-18",33
"2017-11-19",43
"2017-11-20",38
"2017-11-21",39
"2017-11-22",39
"2017-11-23",39
"2017-11-24",28
"2017-11-25",37
"2017-11-26",45
"2017-11-27",42
"2017-11-28",41
"2017-11-29",42
"2017-11-30",32
"2017-12-01",29
"2017-12-02",35
"2017-12-03",35
"2017-12-04",35
"2017-12-05",35
"2017-12-06",30
"2017-12-07",31
"2017-12-08",30
"2017-12-09",32
"2017-12-10",40
"2017-12-11",32
"2017-12-12",31
"2017-12-13",28
"2017-12-14",24
"2017-12-15",20
"2017-12-16",25
"2017-12-17",31
"2017-12-18",30
"2017-12-19",28
"2017-12-20",23
"2017-12-21",24
"2017-12-22",22
"2017-12-23",24
"2017-12-24",26
"2017-12-25",28
"2017-12-26",31
"2017-12-27",28
"2017-12-28",27
"2017-12-29",22
"2017-12-30",27
"2017-12-31",30
"2018-01-01",29
"2018-01-02",37
"2018-01-03",32
"2018-01-04",35
"2018-01-05",29
"2018-01-06",33
"2018-01-07",40
"2018-01-08",33
"2018-01-09",32
"2018-01-10",31
"2018-01-11",33
"2018-01-12",26
"2018-01-13",28
"2018-01-14",40
"2018-01-15",34
"2018-01-16",42
"2018-01-17",35
"2018-01-18",34
"2018-01-19",39
"2018-01-20",41
"2018-01-21",49
"2018-01-22",48
"2018-01-23",40
"2018-01-24",41
"2018-01-25",34
"2018-01-26",31
"2018-01-27",35
"2018-01-28",44
"2018-01-29",32
"2018-01-30",37
"2018-01-31",42
"2018-02-01",36
"2018-02-02",31
"2018-02-03",34
"2018-02-04",43
"2018-02-05",40
"2018-02-06",39
"2018-02-07",31
"2018-02-08",31
"2018-02-09",28
"2018-02-10",35
"2018-02-11",38
"2018-02-12",30
"2018-02-13",31
"2018-02-14",26
"2018-02-15",22
"2018-02-16",26
"2018-02-17",34
"2018-02-18",47
"2018-02-19",46
"2018-02-20",38
"2018-02-21",38
"2018-02-22",46
"2018-02-23",33
"2018-02-24",49
"2018-02-25",54
"2018-02-26",59
"2018-02-27",49
"2018-02-28",48
"2018-03-01",63
"2018-03-02",47
"2018-03-03",53
"2018-03-04",73
"2018-03-05",57
"2018-03-06",48
"2018-03-07",59
"2018-03-08",52
"2018-03-09",41
"2018-03-10",60
"2018-03-11",78
"2018-03-12",83
"2018-03-13",71
"2018-03-14",72
"2018-03-15",69
"2018-03-16",60
"2018-03-17",76
"2018-03-18",92
"2018-03-19",73
"2018-03-20",69
"2018-03-21",68
"2018-03-22",63
"2018-03-23",66
"2018-03-24",76
"2018-03-25",100
"2018-03-26",92
"2018-03-27",77
"2018-03-28",84
"2018-03-29",85
"2018-03-30",75
"2018-03-31",83
"2018-04-01",100
"2018-04-02",85
"2018-04-03",80
"2018-04-04",81
"2018-04-05",79
"2018-04-06",66
"2018-04-07",74
"2018-04-08",91
"2018-04-09",75
"2018-04-10",75
"2018-04-11",71
"2018-04-12",73
"2018-04-13",64
"2018-04-14",75
"2018-04-15",87
"2018-04-16",79
"2018-04-17",76
"2018-04-18",78
"2018-04-19",75
