네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","게르마늄팔찌"
"2017-08-01",22
"2017-08-02",22
"2017-08-03",22
"2017-08-04",19
"2017-08-05",18
"2017-08-06",28
"2017-08-07",22
"2017-08-08",25
"2017-08-09",26
"2017-08-10",25
"2017-08-11",23
"2017-08-12",20
"2017-08-13",22
"2017-08-14",25
"2017-08-15",22
"2017-08-16",21
"2017-08-17",22
"2017-08-18",24
"2017-08-19",21
"2017-08-20",22
"2017-08-21",21
"2017-08-22",23
"2017-08-23",22
"2017-08-24",26
"2017-08-25",22
"2017-08-26",21
"2017-08-27",22
"2017-08-28",19
"2017-08-29",21
"2017-08-30",26
"2017-08-31",22
"2017-09-01",22
"2017-09-02",18
"2017-09-03",22
"2017-09-04",21
"2017-09-05",27
"2017-09-06",20
"2017-09-07",22
"2017-09-08",21
"2017-09-09",23
"2017-09-10",22
"2017-09-11",22
"2017-09-12",22
"2017-09-13",23
"2017-09-14",27
"2017-09-15",21
"2017-09-16",25
"2017-09-17",23
"2017-09-18",26
"2017-09-19",30
"2017-09-20",23
"2017-09-21",27
"2017-09-22",25
"2017-09-23",26
"2017-09-24",26
"2017-09-25",24
"2017-09-26",25
"2017-09-27",24
"2017-09-28",24
"2017-09-29",21
"2017-09-30",20
"2017-10-01",21
"2017-10-02",31
"2017-10-03",25
"2017-10-04",30
"2017-10-05",29
"2017-10-06",25
"2017-10-07",26
"2017-10-08",26
"2017-10-09",29
"2017-10-10",44
"2017-10-11",44
"2017-10-12",35
"2017-10-13",26
"2017-10-14",26
"2017-10-15",26
"2017-10-16",24
"2017-10-17",22
"2017-10-18",24
"2017-10-19",23
"2017-10-20",22
"2017-10-21",27
"2017-10-22",28
"2017-10-23",23
"2017-10-24",26
"2017-10-25",23
"2017-10-26",24
"2017-10-27",22
"2017-10-28",27
"2017-10-29",25
"2017-10-30",26
"2017-10-31",21
"2017-11-01",24
"2017-11-02",24
"2017-11-03",22
"2017-11-04",25
"2017-11-05",27
"2017-11-06",43
"2017-11-07",40
"2017-11-08",33
"2017-11-09",47
"2017-11-10",40
"2017-11-11",28
"2017-11-12",34
"2017-11-13",33
"2017-11-14",31
"2017-11-15",48
"2017-11-16",37
"2017-11-17",36
"2017-11-18",30
"2017-11-19",40
"2017-11-20",36
"2017-11-21",46
"2017-11-22",33
"2017-11-23",34
"2017-11-24",32
"2017-11-25",50
"2017-11-26",47
"2017-11-27",34
"2017-11-28",40
"2017-11-29",38
"2017-11-30",33
"2017-12-01",34
"2017-12-02",49
"2017-12-03",51
"2017-12-04",41
"2017-12-05",40
"2017-12-06",45
"2017-12-07",53
"2017-12-08",50
"2017-12-09",41
"2017-12-10",61
"2017-12-11",44
"2017-12-12",52
"2017-12-13",46
"2017-12-14",53
"2017-12-15",46
"2017-12-16",53
"2017-12-17",49
"2017-12-18",55
"2017-12-19",54
"2017-12-20",47
"2017-12-21",51
"2017-12-22",43
"2017-12-23",51
"2017-12-24",57
"2017-12-25",68
"2017-12-26",59
"2017-12-27",59
"2017-12-28",76
"2017-12-29",59
"2017-12-30",75
"2017-12-31",73
"2018-01-01",72
"2018-01-02",66
"2018-01-03",57
"2018-01-04",70
"2018-01-05",60
"2018-01-06",66
"2018-01-07",74
"2018-01-08",71
"2018-01-09",72
"2018-01-10",63
"2018-01-11",54
"2018-01-12",61
"2018-01-13",82
"2018-01-14",84
"2018-01-15",77
"2018-01-16",82
"2018-01-17",79
"2018-01-18",71
"2018-01-19",71
"2018-01-20",76
"2018-01-21",100
"2018-01-22",78
"2018-01-23",71
"2018-01-24",80
"2018-01-25",64
"2018-01-26",72
"2018-01-27",77
"2018-01-28",84
"2018-01-29",79
"2018-01-30",65
"2018-01-31",40
"2018-02-01",48
"2018-02-02",44
"2018-02-03",42
"2018-02-04",40
"2018-02-05",37
"2018-02-06",41
"2018-02-07",35
"2018-02-08",33
"2018-02-09",32
"2018-02-10",30
"2018-02-11",37
"2018-02-12",29
"2018-02-13",25
"2018-02-14",26
"2018-02-15",31
"2018-02-16",41
"2018-02-17",41
"2018-02-18",34
"2018-02-19",31
"2018-02-20",25
"2018-02-21",25
"2018-02-22",27
"2018-02-23",22
"2018-02-24",18
"2018-02-25",18
"2018-02-26",15
"2018-02-27",14
"2018-02-28",13
"2018-03-01",14
"2018-03-02",12
"2018-03-03",10
"2018-03-04",11
"2018-03-05",11
"2018-03-06",8
"2018-03-07",11
"2018-03-08",7
"2018-03-09",6
"2018-03-10",7
"2018-03-11",7
"2018-03-12",8
"2018-03-13",8
"2018-03-14",7
"2018-03-15",8
"2018-03-16",7
"2018-03-17",8
"2018-03-18",6
"2018-03-19",5
"2018-03-20",5
"2018-03-21",7
"2018-03-22",5
"2018-03-23",5
"2018-03-24",5
"2018-03-25",5
"2018-03-26",5
"2018-03-27",4
"2018-03-28",4
"2018-03-29",5
"2018-03-30",4
"2018-03-31",4
"2018-04-01",5
"2018-04-02",4
"2018-04-03",5
"2018-04-04",3
"2018-04-05",4
"2018-04-06",3
"2018-04-07",5
"2018-04-08",5
"2018-04-09",4
"2018-04-10",4
"2018-04-11",3
"2018-04-12",4
"2018-04-13",3
"2018-04-14",4
"2018-04-15",4
"2018-04-16",4
"2018-04-17",4
"2018-04-18",4
"2018-04-19",5
